TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-06-12,2026-06-12,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,6786.00,6843.35,6723.05,6766.10,6766.10,6723.00,,6770.50,,,11347,76961491.00,2619,F1,1,,,,,
2026-06-12,2026-06-12,CM,BSE,STK,500003,INE208C01025,AEGISLOG,A,,,,,AEGIS LOGISTICS LTD.,959.90,975.95,913.35,944.55,944.55,927.75,,944.40,,,1912968,1817725259.00,38233,F1,1,,,,,
2026-06-12,2026-06-12,CM,BSE,STK,500008,INE885A01032,ARE&M,A,,,,,Amara Raja Energy & Mobility L,812.00,825.00,806.90,823.45,823.45,796.05,,823.65,,,27167,22178074.00,1556,F1,1,,,,,
2026-06-12,2026-06-12,CM,BSE,STK,500009,INE432A01017,AMBALALSA,B,,,,,AMBALAL SARABHAI ENTERPRISES L,31.99,33.30,31.51,32.40,32.40,31.52,,32.52,,,47964,1561225.00,283,F1,1,,,,,
2026-06-12,2026-06-12,CM,BSE,STK,500012,INE714B01016,ANDHRAPET,X,,,,,ANDHRA PETROCHEMICALS LTD.,49.49,51.90,47.50,49.74,49.74,47.46,,49.74,,,225638,11272763.00,962,F1,1,,,,,
2026-06-12,2026-06-12,CM,BSE,STK,500014,INE096A01010,UTIQUE,X,,,,,UTIQUE ENTERPRISES LIMITED,3.86,4.08,3.86,3.91,4.02,3.96,,3.91,,,4479,17690.00,47,F1,1,,,,,
2026-06-12,2026-06-12,CM,BSE,STK,500016,INE957C01019,ARUNAHTEL,X,,,,,ARUNA HOTELS LTD.,8.04,8.04,7.46,7.85,7.85,7.71,,7.85,,,1390,10616.00,26,F1,1,,,,,
2026-06-12,2026-06-12,CM,BSE,STK,500020,INE032A01023,BOMDYEING,A,,,,,BOMBAY DYEING & MFG.CO.LTD.,123.05,127.50,123.05,127.10,126.95,122.70,,127.15,,,54275,6833182.00,541,F1,1,,,,,
2026-06-12,2026-06-12,CM,BSE,STK,500023,INE363A01022,ASIANHOTNR,B,,,,,ASIAN HOTELS (NORTH) LIMITED,270.05,299.15,270.05,295.80,295.80,293.65,,297.60,,,808,227167.00,74,F1,1,,,,,
2026-06-12,2026-06-12,CM,BSE,STK,500027,INE100A01010,ATUL,A,,,,,ATUL LTD.,6585.00,6610.80,6500.00,6513.55,6513.55,6499.35,,6517.50,,,756,4953880.00,283,F1,1,,,,,
