Positions Over Time - Kotak Contra Fund - Direct (G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,HDFC Bank,Banks,5.61,5.86,5.82,6.26,6.61,6.89,6.87,6.32,6.63,7.07,6.96
Equity,ICICI Bank,Banks,4.52,4.75,4.61,4.66,4.57,4.85,4.78,5.0,5.44,5.79,5.61
Equity,SBI,Banks,3.63,3.67,4.18,4.02,3.63,3.71,3.61,3.51,3.39,3.38,-
Equity,Reliance Industr,Refineries,3.28,3.39,3.02,3.1,3.08,3.15,3.04,2.91,3.19,3.28,3.52
Equity,NTPC,Power Generation & Distribution,2.93,2.99,2.62,2.51,1.99,1.82,1.92,2.02,2.04,2.09,2.08
Equity,Larsen & Toubro,Infrastructure Developers & Operators,2.69,2.4,2.62,1.25,0.98,1.0,1.01,0.96,0.99,1.0,1.01
Equity,Bharti Airtel,Telecom-Service,2.63,2.73,2.58,2.78,2.94,3.01,2.99,2.86,3.01,-,-
Equity,Hero Motocorp,Automobile,2.62,2.86,2.89,2.88,2.97,3.26,2.98,3.07,2.51,1.6,1.58
Equity,Shriram Finance,Finance,2.61,2.68,3.26,3.17,3.06,2.68,2.4,2.06,2.04,2.23,2.48
Equity,Fortis Health.,Healthcare,2.39,2.27,2.41,2.09,2.02,2.05,2.32,2.29,2.26,2.14,1.97
Equity,Maruti Suzuki,Automobile,2.35,2.39,2.58,2.61,2.95,2.88,2.99,3.09,2.63,2.26,2.2
Equity,Axis Bank,Banks,2.15,1.89,2.02,2.06,1.89,1.95,1.91,1.83,1.77,1.82,2.03
Equity,Tech Mahindra,IT - Software,2.09,2.17,1.9,3.21,3.09,2.88,2.64,2.71,3.01,2.56,2.93
Equity,Mphasis,IT - Software,2.0,1.98,1.99,2.45,2.45,2.53,2.54,2.54,3.06,2.86,2.78
Equity,Poonawalla Fin,Finance,1.98,1.93,2.13,1.92,2.16,2.2,2.25,2.68,2.44,2.4,2.63
Equity,Bajaj Finance,Finance,1.97,1.85,2.06,1.98,1.94,2.09,2.14,2.13,1.88,-,-
Equity,UltraTech Cem.,Cement,1.97,2.01,2.13,2.19,1.86,1.88,1.97,2.1,2.28,2.22,2.18
Equity,Park Medi World,Healthcare,1.9,1.73,1.46,1.19,1.13,-,-,-,-,-,-
Equity,Swiggy,E-Commerce/App based Aggregator,1.84,1.78,1.85,1.95,2.41,2.42,2.67,2.87,2.92,2.6,2.36
Equity,Infosys,IT - Software,1.81,3.03,2.82,3.66,3.57,3.22,3.19,3.24,3.46,3.18,3.36
Equity,GE Vernova T&D,Capital Goods - Electrical Equipment,1.81,2.12,2.14,2.29,2.2,2.07,2.22,2.26,2.23,2.2,1.89
Equity,Bharat Electron,Aerospace & Defence,1.68,1.72,1.71,1.77,1.56,1.65,1.74,1.72,1.65,1.72,1.88
Equity,Radico Khaitan,Alcoholic Beverages,1.62,1.37,1.11,1.22,1.4,1.4,1.51,1.45,1.5,1.45,1.38
Equity,Ipca Labs.,Pharmaceuticals,1.51,1.74,1.49,1.47,1.4,1.47,1.21,1.33,1.45,1.55,-
Equity,Jindal Steel,Steel,1.5,1.51,1.51,1.41,1.04,1.06,1.1,1.15,1.07,0.62,0.6
Equity,Indus Towers,Telecom Equipment & Infra Services,1.49,1.45,1.41,-,-,-,-,-,-,-,-
Equity,IndusInd Bank,Banks,1.47,1.33,1.51,1.31,1.12,1.14,0.96,0.92,0.98,1.27,1.38
Equity,Dalmia BharatLtd,Cement,1.46,1.5,1.5,1.6,1.39,1.0,0.96,0.92,-,-,-
Equity,Piramal Finance.,Finance,1.42,1.4,0.84,0.82,0.71,0.57,-,-,-,-,-
Equity,Bank of Maha,Banks,1.4,1.21,1.32,1.18,1.11,-,-,-,-,-,-
Equity,Bank of Baroda,Banks,1.33,1.38,1.61,1.53,1.37,1.38,1.35,1.15,1.09,0.8,0.83
Equity,SRF,Chemicals,1.33,1.42,1.34,1.51,1.63,1.59,1.62,1.63,1.72,1.86,1.45
Equity,Coal India,Mining & Mineral products,1.32,1.36,-,-,-,-,-,-,-,-,-
Equity,Aptus Value Hou.,Finance,1.29,0.93999,0.87,1.01,1.01,1.01,1.01,1.06,-,-,-
Equity,Tata Steel,Steel,1.27,1.0,0.99,-,-,-,-,-,-,-,-
Equity,Century Plyboard,Plywood Boards/Laminates,1.23,1.19,1.12,1.26,1.29,1.27,1.22,1.37,1.23,1.21,1.25
Equity,Global Health,Healthcare,1.21,1.15,1.1,1.04,1.16,1.25,1.34,1.28,1.4,1.35,0.92
Equity,Hindalco Inds.,Non Ferrous Metals,1.2,1.12,1.05,1.28,1.17,0.95,1.02,-,-,-,-
Equity,Godrej Consumer,FMCG,1.2,1.22,1.35,1.32,1.38,1.33,1.32,1.44,1.6,1.63,1.52
Equity,Ashok Leyland,Automobile,1.18,1.23,1.51,0.59,-,-,-,-,-,-,-
Equity,KEI Industries,Cables,1.17,0.2,-,-,-,-,-,-,-,-,-
Equity,Interglobe Aviat,Air Transport Service,1.14,1.16,1.27,1.24,1.35,1.45,1.41,1.46,1.55,1.63,1.64
Equity,Indian Bank,Banks,1.14,1.03,1.4,1.74,1.58,1.93,2.37,2.46,2.25,1.96,2.01
Equity,Voltas,Consumer Durables,1.09,1.07,1.17,1.02,1.04,1.08,1.1,1.13,1.2,1.16,0.96
Equity,Kalpataru Proj.,Infrastructure Developers & Operators,1.08,1.01,1.06,1.0,1.04,1.07,1.14,1.19,1.24,1.14,1.22
Equity,Jubilant Pharmo,Pharmaceuticals,1.04,1.01,0.96,1.12,1.21,1.26,1.29,1.32,1.32,1.44,1.45
Equity,Astra Microwave,Aerospace & Defence,1.04,-,-,-,-,-,-,-,-,-,-
Equity,Uno Minda,Auto Ancillaries,1.03,0.62,-,-,-,-,-,-,-,-,-
Equity,J & K Bank,Banks,1.0,-,-,-,-,-,-,-,-,-,-
Equity,J B Chemicals &,Pharmaceuticals,0.99,1.11,0.99,0.92,0.89,0.89,0.86,0.91,0.96,0.99,0.93999
Equity,Metropolis Healt,Healthcare,0.97,0.98,0.96,0.97,0.99,1.01,1.05,1.14,1.28,1.17,0.85
Equity,Power Fin.Corpn.,Finance,0.96,-,-,-,-,-,-,1.09,1.57,1.82,2.07
Equity,Ajanta Pharma,Pharmaceuticals,0.93999,1.03,0.98,0.93999,0.92,0.88,0.64,0.65,0.71,0.79,0.73
Equity,Vishal Mega Mart,Retail,0.81,0.58,0.58,0.64,0.68999,0.7,0.76,0.82,0.86,0.81,0.77
Equity,LG Electronics,Consumer Durables,0.73,0.85,0.84,0.79,0.82,0.91,0.93,-,-,-,-
Equity,ITC,Tobacco Products,0.67,0.68,0.8,0.85,1.05,1.08,1.14,1.14,1.01,1.02,1.02
