Positions Over Time - Motilal Oswal Contra Fund - Direct (G)
Type,Name,Sector,31-May-26
Equity,Sun Pharma.Inds.,Pharmaceuticals,2.29
Equity,Tech Mahindra,IT - Software,2.26
Equity,Garware Hi Tech,Packaging,2.09
Equity,Polycab India,Cables,2.07
Equity,Hexaware Tech.,IT - Software,2.03
Equity,Bosch,Auto Ancillaries,2.01
Equity,Suzlon Energy,Capital Goods - Electrical Equipment,1.98
Equity,Tube Investments,Capital Goods-Non Electrical Equipment,1.94
Equity,Power Grid Corpn,Power Generation & Distribution,1.93
Equity,HDFC AMC,Finance,1.89
Equity,Schneider Elect.,Capital Goods - Electrical Equipment,1.89
Equity,Solar Industries,Aerospace & Defence,1.87
Equity,Va Tech Wabag,Infrastructure Developers & Operators,1.84
Equity,Triveni Turbine,Capital Goods - Electrical Equipment,1.63
Equity,J & K Bank,Banks,1.61
Equity,ICICI Bank,Banks,1.53
Equity,Godrej Consumer,FMCG,1.29
Equity,A B B,Capital Goods - Electrical Equipment,1.1
Equity,Reliance Industr,Refineries,1.08
Equity,Britannia Inds.,FMCG,0.99
Equity,Ashok Leyland,Automobile,0.88
Equity,Uno Minda,Auto Ancillaries,0.83
Equity,Firstsour.Solu.,IT - Software,0.57
Equity,Apollo Tyres,Tyres,0.54
Equity,Rubicon Research,Pharmaceuticals,0.3
Equity,PNB Housing,Finance,0.26
Equity,Interglobe Aviat,Air Transport Service,0.25
Equity,Coromandel Inter,Fertilizers,0.25
