Positions Over Time - Bajaj Finserv ELSS Tax Saver Fund - Direct (G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,HDFC Bank,Banks,6.19,6.77,7.41,7.01,7.99,7.94,5.32,5.64,5.97,5.99,5.98
Equity,Reliance Industr,Refineries,6.17,6.7,6.5,6.71,8.15,7.92,5.81,4.37,3.59,3.99,6.03
Equity,ICICI Bank,Banks,5.67,6.25,5.78,5.86,2.98,3.14,3.07,2.69,2.96,3.18,3.13
Equity,SBI,Banks,4.7,4.37,5.85,4.34,3.93,5.33,5.02,2.85,2.38,2.4,-
Equity,Nitin Spinners,Textiles,3.9,2.81,1.74,-,-,-,-,-,-,-,-
Equity,Zydus Wellness,FMCG,3.09,2.99,2.53,3.04,-,-,-,-,-,-,-
Equity,Bandhan Bank,Banks,2.96,2.42,-,-,-,-,-,-,-,-,-
Equity,Larsen & Toubro,Infrastructure Developers & Operators,2.9,2.92,3.25,3.08,3.18,3.0,3.01,2.69,2.55,0.88,0.9
Equity,Glenmark Pharma.,Pharmaceuticals,2.81,1.86,1.74,2.74,2.75,-,-,-,-,-,-
Equity,Divi's Lab.,Pharmaceuticals,2.76,2.92,3.64,3.55,3.72,3.84,4.04,3.2,2.43,2.03,2.3
Equity,Timken India,Bearings,2.74,2.98,2.74,0.84,0.85,0.91,0.92,0.97,0.98,1.83,1.94
Equity,J K Cements,Cement,2.59,2.87,0.99,-,-,-,-,-,-,-,-
Equity,Infosys,IT - Software,2.57,3.14,3.05,3.97,3.88,3.57,3.43,3.68,3.7,3.86,3.74
Equity,Five-Star Bus.Fi,Finance,2.53,-,-,-,-,-,-,-,-,-,-
Equity,TD Power Systems,Capital Goods - Electrical Equipment,2.46,1.63,1.01,-,-,2.04,1.6,1.35,0.98,1.02,-
Equity,Tata Steel,Steel,2.37,2.48,2.04,1.72,1.59,2.72,3.0,2.09,1.31,1.06,1.08
Equity,Eternal,E-Commerce/App based Aggregator,2.05,2.19,2.02,2.79,1.93,-,-,-,-,-,-
Equity,Crompton Gr. Con,Consumer Durables,1.94,1.84,1.98,-,-,-,-,-,-,-,-
Equity,ZF Commercial,Auto Ancillaries,1.75,1.9,1.95,1.99,1.96,1.77,1.69,1.93,2.02,1.02,0.91
Equity,Sun Pharma.Inds.,Pharmaceuticals,1.68,2.47,1.85,1.75,1.88,2.04,1.9,1.98,1.46,1.58,1.57
Equity,Kotak Mah. Bank,Banks,1.62,1.73,1.9,1.92,2.06,2.02,3.19,3.03,2.03,1.56,1.72
Equity,Glaxosmi. Pharma,Pharmaceuticals,1.55,1.76,1.85,1.78,1.82,1.93,1.98,1.47,1.11,1.03,1.33
Equity,SJS Enterprises,Auto Ancillaries,1.42,1.41,1.49,1.46,1.47,0.42,0.4,-,-,-,-
Equity,Arvind Fashions.,Retail,1.35,-,-,-,-,-,-,-,-,-,-
Equity,K P R Mill Ltd,Readymade Garments/ Apparells,1.35,1.38,0.92,0.92,0.99,1.15,1.16,1.27,1.24,1.46,1.47
Equity,KNR Construct.,Infrastructure Developers & Operators,1.33,1.39,1.43,1.64,1.79,-,-,-,-,-,-
Equity,Gabriel India,Auto Ancillaries,1.32,1.23,1.39,1.34,1.43,0.74,0.93,0.95,0.98,0.51,-
Equity,Bajaj Finserv,Finance,1.24,1.33,1.52,1.54,1.59,1.67,1.68,1.78,1.8,1.86,1.98
Equity,Pricol Ltd,Auto Ancillaries,1.23,1.88,1.57,-,-,-,-,-,-,-,-
Equity,Bharat Dynamics,Aerospace & Defence,1.2,1.11,-,-,-,-,-,-,-,-,-
Equity,Indigo Paints,Paints/Varnish,1.16,1.11,1.37,1.57,1.71,1.95,-,-,-,-,-
Equity,Go Digit General,Insurance,1.14,1.38,1.33,1.33,1.4,1.48,0.98,0.58,0.63,0.67,0.65
Equity,S A I L,Steel,1.09,1.03,1.05,0.57,0.55,0.22,-,-,-,-,-
Equity,Whirlpool India,Consumer Durables,1.02,0.93999,1.03,-,-,-,-,-,-,-,-
Equity,Nestle India,FMCG,1.01,0.93999,0.96,1.02,0.98,0.98,0.45,0.45,1.77,1.36,1.5
Equity,Thangamayil Jew.,"Diamond, Gems and Jewellery",0.96,0.96,1.04,-,-,-,-,-,-,-,-
Equity,RHI Magnesita,Refractories,0.95,0.92,1.11,1.17,1.2,1.24,0.47,0.47,0.54,0.58,0.43
Equity,MTAR Technologie,Aerospace & Defence,0.9,2.79,2.12,2.24,1.84,1.96,3.11,2.49,-,-,-
Equity,Balkrishna Inds,Tyres,0.88,0.97,0.86,-,-,-,-,-,-,-,-
Equity,Sanofi Consumer,Pharmaceuticals,0.81,0.84,0.38,0.14,0.15,-,-,-,-,-,-
Equity,Vedanta,Non Ferrous Metals,0.68999,2.76,-,-,-,-,-,-,-,-,-
Equity,Century Plyboard,Plywood Boards/Laminates,0.53,0.53,0.52,0.59,0.6,0.59,0.57,0.67,0.65,0.65,0.56
Equity,City Union Bank,Banks,0.33,1.44,1.59,2.07,1.98,2.69,0.95,0.47,0.45,1.93,1.98
Equity,MALCO Energy,Other,0.31,-,-,-,-,-,-,-,-,-,-
Equity,Vedanta Iron & S,Other,0.31,-,-,-,-,-,-,-,-,-,-
Equity,Vedanta Aluminiu,Other,0.31,-,-,-,-,-,-,-,-,-,-
Equity,Talwandi Sabo,Other,0.31,-,-,-,-,-,-,-,-,-,-
Equity,Pfizer,Pharmaceuticals,0.28,0.33,0.33,0.3,0.33,0.33,0.35,0.38,0.41,0.42,0.46
Equity,SBI Cards,Finance,-,-,-,-,-,-,-,-,-,-,0.53
Equity,eClerx Services,IT - Software,-,-,-,3.04,1.01,0.99,0.49,0.46,0.51,-,-
Equity,Marico,FMCG,-,-,1.37,1.31,1.34,1.3,1.32,1.41,1.55,1.54,1.58
Equity,Maruti Suzuki,Automobile,-,-,-,-,-,-,1.87,2.04,2.34,2.03,2.01
Equity,Natl. Aluminium,Non Ferrous Metals,-,-,-,-,-,-,-,-,0.9,0.91,0.95
Equity,Vedanta,Mining & Mineral products,-,-,2.83,2.77,2.44,-,-,-,-,1.38,0.48
Equity,United Spirits,Alcoholic Beverages,-,-,-,-,-,-,0.96,0.98,1.28,1.33,1.84
Equity,UltraTech Cem.,Cement,-,-,-,-,-,-,-,1.01,2.01,2.73,2.72
Equity,One 97,E-Commerce/App based Aggregator,-,-,-,1.77,-,-,-,-,-,-,-
Equity,Oracle Fin.Serv.,IT - Software,-,-,-,-,-,-,-,1.64,1.71,1.77,1.89
Equity,Ujjivan Small,Banks,-,-,-,0.63,0.51,0.53,0.51,0.5,0.49,0.52,0.49
Equity,Time Technoplast,Plastic products,-,-,-,-,0.68999,0.75,0.81,0.87,1.0,1.04,-
Equity,Pondy Oxides,Non Ferrous Metals,-,-,0.44,0.47,0.57,0.51,0.55,0.51,0.49,-,-
Equity,Power Grid Corpn,Power Generation & Distribution,-,-,-,-,-,-,-,-,-,-,0.79
Equity,Prestige Estates,Realty,-,-,-,-,-,1.0,1.06,0.84,-,-,-
Equity,Swiggy,E-Commerce/App based Aggregator,-,-,-,-,-,-,-,1.93,1.98,1.99,-
Equity,Star Cement,Cement,-,-,-,-,-,-,-,-,1.54,1.32,1.18
Equity,Punjab Natl.Bank,Banks,-,-,-,-,-,2.13,2.13,-,-,-,-
Equity,St Bk of India,Banks,-,-,-,-,-,-,-,-,-,-,1.01
Equity,Sobha,Realty,-,-,-,-,-,0.86,0.92,0.96,-,-,-
Equity,Siemens Ener.Ind,Power Generation & Distribution,-,-,-,-,-,-,1.72,2.04,2.13,1.26,0.79
Equity,Shriram Finance,Finance,-,-,-,-,2.33,-,-,-,-,-,-
Equity,Schneider Elect.,Capital Goods - Electrical Equipment,-,-,-,-,-,0.5,0.59,0.63,0.7,0.83,0.55
Equity,SBI Life Insuran,Insurance,-,-,-,-,-,-,-,-,0.49,1.23,1.44
Equity,3M India,Diversified,-,-,-,-,-,-,-,-,-,-,0.45
Equity,JK Lakshmi Cem.,Cement,-,-,-,-,0.72,0.71,0.83,0.9,1.02,1.09,0.92
Equity,LTIMindtree,IT - Software,-,-,-,1.01,2.42,2.04,0.79,0.79,0.83,0.84,0.88
Equity,Cera Sanitary.,Ceramic Products,-,-,-,-,-,0.38,0.43,0.47,0.51,0.54,0.45
Equity,Can Fin Homes,Finance,-,-,-,-,-,-,0.79,0.76,0.76,0.81,0.86
