Positions Over Time - Baroda BNP Paribas ELSS Tax Saver Fund - Direct (G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,HDFC Bank,Banks,5.71,5.94,6.43,6.7,6.91,6.94,6.93,6.97,6.96,7.27,7.03
Equity,ICICI Bank,Banks,4.7,4.92,5.02,4.91,4.71,4.81,4.75,4.96,6.4,6.68,6.36
Equity,Reliance Industr,Refineries,4.55,4.68,3.93,3.92,4.27,4.21,4.07,3.89,3.87,3.9,4.57
Equity,SBI,Banks,3.35,3.37,3.69,3.29,2.9,2.86,2.79,2.71,2.49,2.12,-
Equity,Hitachi Energy,Capital Goods - Electrical Equipment,3.32,2.63,2.75,2.02,1.9,2.26,2.07,2.18,2.31,2.4,2.59
Equity,B H E L,Capital Goods - Electrical Equipment,3.26,2.49,2.4,2.37,2.51,2.51,2.33,1.58,1.16,1.31,1.43
Equity,Bharti Airtel,Telecom-Service,3.08,3.2,3.01,3.13,3.24,3.2,3.19,3.04,3.05,-,-
Equity,Larsen & Toubro,Infrastructure Developers & Operators,2.72,2.6,2.65,2.7,2.71,2.67,2.7,2.55,2.51,1.96,1.93
Equity,Cummins India,Capital Goods-Non Electrical Equipment,2.7,2.53,2.46,2.05,2.14,2.14,2.25,2.12,2.06,1.88,1.76
Equity,Hindalco Inds.,Non Ferrous Metals,2.57,2.41,2.24,2.33,2.07,1.87,2.0,1.87,1.73,1.65,1.63
Equity,Navin Fluo.Intl.,Chemicals,2.44,2.41,2.19,2.22,2.08,2.0,2.14,1.81,1.67,1.77,1.65
Equity,Titan Company,"Diamond, Gems and Jewellery",2.4,2.37,2.32,2.12,2.09,1.44,1.4,1.32,1.42,1.29,1.38
Equity,TVS Motor Co.,Automobile,2.38,2.52,2.58,2.44,2.39,2.24,2.27,2.32,2.21,1.86,1.89
Equity,Linde India,Chemicals,2.33,2.39,2.1,1.86,1.79,1.77,1.82,1.97,2.01,2.04,2.01
Equity,Radico Khaitan,Alcoholic Beverages,2.32,1.95,2.13,2.27,2.56,2.46,2.45,2.35,2.32,2.19,2.05
Equity,Sagility,IT - Software,2.25,2.36,1.99,2.5,2.51,2.39,2.56,2.17,-,-,-
Equity,Tech Mahindra,IT - Software,2.23,2.3,2.01,2.57,2.27,2.14,2.04,2.1,2.21,1.53,1.72
Equity,Eternal,E-Commerce/App based Aggregator,2.2,2.24,2.15,2.38,2.34,-,-,-,-,-,-
Equity,Infosys,IT - Software,2.12,2.46,2.28,2.86,2.73,2.83,2.74,2.78,2.83,2.87,2.97
Equity,Sun Pharma.Inds.,Pharmaceuticals,2.07,2.21,1.95,1.78,1.85,1.95,1.84,1.81,1.8,1.9,1.82
Equity,Britannia Inds.,FMCG,1.95,2.02,2.0,1.94,1.93,1.85,1.88,2.02,1.69,1.65,1.63
Equity,Maruti Suzuki,Automobile,1.88,1.9,2.05,2.0,1.77,1.67,1.73,1.43,-,-,-
Equity,Nippon Life Ind.,Finance,1.82,1.59,1.64,1.54,1.49,1.47,1.5,1.55,1.4,-,-
Equity,Axis Bank,Banks,1.72,1.72,1.83,1.81,1.35,1.34,1.32,1.26,1.17,1.17,1.28
Equity,Max Financial,Miscellaneous,1.62,1.67,1.81,1.61,1.61,1.62,2.0,2.13,2.16,1.99,-
Equity,Kotak Mah. Bank,Banks,1.62,1.64,1.72,2.02,2.1,2.01,2.02,2.0,1.73,1.72,1.83
Equity,Federal Bank,Banks,1.62,1.6,1.65,1.58,1.42,1.35,-,-,-,-,-
Equity,Travel Food,Quick Service Restaurant,1.61,1.84,1.61,1.73,1.84,2.09,2.09,2.18,2.06,1.32,-
Equity,M & M,Automobile,1.57,1.64,1.69,1.7,1.97,1.97,1.87,1.91,1.78,1.76,1.7
Equity,Tata Motors,Automobile,1.53,1.61,1.84,1.66,1.46,-,-,-,-,-,-
Equity,PB Fintech.,IT - Software,1.5,1.41,1.66,2.06,2.2,2.16,2.16,2.15,2.24,2.25,2.21
Equity,Tata Capital,Finance,1.5,1.51,1.47,1.5,-,-,-,-,-,-,-
Equity,Ujjivan Small,Banks,1.44,1.4,1.44,1.61,1.5,1.52,1.47,1.31,-,-,-
Equity,NTPC,Power Generation & Distribution,1.42,1.44,1.33,1.23,1.1,1.77,1.86,1.96,1.88,1.89,1.85
Equity,Vishal Mega Mart,Retail,1.42,1.34,1.33,1.42,1.49,1.46,1.59,1.71,1.71,1.57,1.47
Equity,LTM,IT - Software,1.38,-,-,-,-,-,-,-,-,-,-
Equity,One 97,E-Commerce/App based Aggregator,1.36,1.3,1.33,1.37,1.52,1.53,1.53,1.25,1.35,1.2,0.99
Equity,UltraTech Cem.,Cement,1.31,1.33,1.75,1.74,1.56,1.52,1.6,1.7,1.76,1.68,1.62
Equity,Aditya Birla Cap,Finance,1.28,1.18,1.25,1.36,1.71,1.69,1.56,1.47,1.39,1.27,1.33
Equity,Cholaman.Inv.&Fn,Finance,1.22,1.16,1.33,1.24,1.26,1.27,1.26,1.25,1.51,1.51,1.66
Equity,Divi's Lab.,Pharmaceuticals,1.19,1.19,1.15,1.2,1.22,1.22,1.3,1.14,1.23,1.3,1.31
Equity,AU Small Finance,Banks,1.08,0.98,1.0,1.13,1.24,1.17,1.1,0.96,0.93999,0.95,1.14
Equity,Bharat Electron,Aerospace & Defence,1.06,1.08,1.07,1.07,-,-,-,-,-,-,-
Equity,Tata Elxsi,IT - Software,0.84,0.89,0.75,0.88,-,-,-,-,-,-,-
Equity,Cams Services,Financial Services,0.83,0.77,1.18,1.2,1.24,1.28,1.33,1.32,1.3,1.29,1.45
Equity,Amagi Media Labs,IT - Software,0.68999,0.61,0.63,-,-,-,-,-,-,-,-
Equity,Trans. India.Com,Other,-,-,-,0.0,-,-,0.0,-,-,-,-
Equity,Trent,Retail,-,-,-,-,-,-,-,-,1.66,1.55,1.87
Equity,St Bk of India,Banks,-,-,-,-,-,-,-,-,-,-,2.13
Equity,Tega Inds.,Engineering,-,-,-,-,-,0.26,0.27,1.43,1.81,1.83,1.54
Equity,Varun Beverages,FMCG,-,-,-,-,-,-,-,-,-,-,1.0
Equity,V-Guard Industri,Capital Goods - Electrical Equipment,-,-,-,-,-,-,-,-,-,-,0.78
Equity,Max Financial,Finance,-,-,-,-,-,-,-,-,-,-,2.13
Equity,Rainbow Child.,Healthcare,-,-,-,0.89,1.41,1.43,1.48,1.53,1.69,1.69,1.69
Equity,Bank of Baroda,Banks,-,-,-,-,-,-,-,-,-,1.31,1.33
Equity,Bharti Airtel,Telecomm-Service,-,-,-,-,-,-,-,-,-,3.05,3.28
Equity,Concord Biotech,Pharmaceuticals,-,-,-,-,-,-,-,1.08,1.1,1.14,1.16
Equity,DSQ Software,Other,-,-,-,0.0,-,-,0.0,-,-,-,-
Equity,Eternal Ltd,E-Commerce/App based Aggregator,-,-,-,-,-,2.49,2.69,2.87,2.77,2.67,2.24
Equity,Hexaware Tech.,IT - Software,-,-,-,-,0.95,0.92,1.19,1.21,1.37,1.25,1.1
Equity,Indian Hotels Co,Hotels & Restaurants,-,-,-,-,0.98,1.41,1.43,1.45,1.52,1.46,1.47
Equity,Sagility India,IT - Software,-,-,-,-,-,-,-,-,2.23,2.33,2.01
Equity,Interglobe Aviat,Air Transport Service,-,-,1.55,1.34,1.42,1.64,1.59,1.65,1.67,1.07,1.06
Equity,LG Electronics,Consumer Durables,-,0.8,0.79,0.72,0.73,0.78,0.8,-,-,-,-
Equity,LTIMindtree,IT - Software,-,1.42,1.41,1.88,1.85,1.84,1.44,1.36,1.36,1.33,1.35
Equity,Mrs Bectors,FMCG,-,-,-,-,-,-,-,0.26,1.22,1.94,1.71
Equity,NLC India,Power Generation & Distribution,-,-,-,-,-,1.25,1.37,1.56,1.23,1.3,1.21
Equity,PNB Housing,Finance,-,-,-,-,-,-,-,-,-,2.03,2.23
Equity,Punjab Natl.Bank,Banks,-,-,-,-,1.42,1.42,1.43,1.37,0.88,-,-
Equity,Jyoti CNC Auto.,Capital Goods-Non Electrical Equipment,-,-,-,-,-,-,-,-,-,1.06,1.43
Reverse Repo,C C I,Debt Others,5.03,5.81,3.58,0.67,2.43,1.82,2.9,3.17,3.27,3.82,3.04
Preference Shares,TVS Motor Co.,Preference n Warrants,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,-,-
Net CA & Others,Net CA & Others,Debt Others,-0.22,-0.86,-0.15,1.45,-0.17,0.06,-0.13,-0.17,-0.12,0.03,-0.02
