Positions Over Time - Groww ELSS Tax Saver Fund - Direct (G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,HDFC Bank,Banks,7.01675,7.49877,8.04667,8.50216,8.69226,7.85076,7.742,7.68431,7.69368,7.49371,6.94403
Equity,Reliance Industr,Refineries,5.82958,5.96471,5.45778,5.52087,5.95516,4.94415,4.71846,4.4617,4.44206,4.46259,2.99694
Equity,ICICI Bank,Banks,5.56001,5.7811,5.75212,5.70566,5.46233,4.93737,5.31955,5.49245,5.6987,7.31804,7.1079
Equity,Bharti Airtel,Telecom-Service,3.34429,3.4415,3.22833,3.41376,3.49948,2.64144,2.59882,2.87506,3.39872,-,-
Equity,SBI,Banks,3.33614,3.33131,3.53079,3.19465,2.92508,2.89972,2.12013,2.03415,1.87216,1.82255,-
Equity,Larsen & Toubro,Infrastructure Developers & Operators,3.2775,3.11678,3.35148,3.10945,3.09488,2.2967,2.28947,2.14149,2.10878,2.08863,2.3964
Equity,Cipla,Pharmaceuticals,2.43752,-,-,-,-,-,-,-,-,-,-
Equity,Infosys,IT - Software,2.33832,2.69552,2.4931,3.06163,2.88868,2.04532,2.12799,2.13284,2.17525,1.67268,-
Equity,Ashok Leyland,Automobile,2.22721,1.27061,1.43472,1.25554,1.28979,-,-,-,-,-,-
Equity,Kotak Mah. Bank,Banks,2.19495,2.20454,2.23142,2.21338,2.28897,1.48312,1.47705,1.44272,1.4201,1.4058,1.52979
Equity,M & M,Automobile,2.09539,2.17737,2.34519,2.39125,2.55964,0.74553,0.69638,0.70519,0.65876,1.9924,1.97052
Equity,Federal Bank,Banks,2.02003,1.98923,2.10708,1.8751,1.66824,-,-,-,-,-,-
Equity,Dr Reddy's Labs,Pharmaceuticals,1.94957,-,-,-,-,-,-,-,-,-,-
Equity,Axis Bank,Banks,1.93306,2.44992,2.59748,2.59637,2.30511,1.86713,1.81026,1.71223,1.58242,1.58645,1.40345
Equity,Tata Steel,Steel,1.62409,1.60596,1.55711,1.42964,1.27767,0.7607,0.83341,0.26569,0.24334,0.244,-
Equity,ITC,Tobacco Products,1.59296,1.58539,1.53749,1.75727,2.10698,0.4865,0.50912,0.50115,0.25556,0.252,-
Equity,AU Small Finance,Banks,1.55967,1.40929,1.33595,1.38231,1.34128,-,-,-,-,-,-
Equity,Hindalco Inds.,Non Ferrous Metals,1.53763,1.54202,1.66357,1.74806,1.54334,-,-,-,-,-,-
Equity,IndusInd Bank,Banks,1.53496,-,-,-,-,-,-,-,0.28309,-,-
Equity,Multi Comm. Exc.,Financial Services,1.52717,1.33772,1.21701,0.64596,1.08463,-,-,-,-,-,-
Equity,Maruti Suzuki,Automobile,1.48996,1.5002,1.76761,1.75328,1.92194,2.46377,2.52419,0.80357,1.2337,1.0314,1.00951
Equity,Bajaj Finance,Finance,1.47368,1.51292,1.67162,1.57546,1.6025,1.72642,1.74639,1.72378,2.17459,3.11535,3.29496
Equity,Max Healthcare,Healthcare,1.41758,1.49641,0.67849,1.144,-,-,-,-,0.46209,0.99267,1.0117
Equity,Bharat Forge,"Castings, Forgings & Fastners",1.38779,1.34546,1.26085,0.6808,0.66565,-,-,-,-,-,-
Equity,TVS Motor Co.,Automobile,1.24846,1.30973,1.3601,1.06037,1.07359,1.16524,1.16515,-,-,-,-
Equity,Hind. Unilever,FMCG,1.22014,1.21359,1.2889,1.32046,1.32896,1.64438,1.6542,1.73836,1.32283,-,-
Equity,Shriram Finance,Finance,1.21904,1.23551,1.36051,0.80134,-,-,-,-,-,-,-
Equity,Titan Company,"Diamond, Gems and Jewellery",1.21321,1.33096,1.26736,0.98348,0.96019,-,-,-,-,-,-
Equity,JSW Steel,Steel,1.21033,1.1704,1.0912,1.23168,1.1323,-,-,-,-,-,-
Equity,Indian Hotels Co,Hotels & Restaurants,1.18719,1.16126,1.05938,1.08074,-,-,-,-,-,-,-
Equity,Grasim Inds,Textiles,1.17007,1.1666,1.13616,1.15473,1.11069,-,-,-,-,-,-
Equity,FSN E-Commerce,E-Commerce/App based Aggregator,1.16469,1.32888,1.43515,1.29599,1.42358,1.99481,1.86214,1.38483,-,-,-
Equity,NTPC,Power Generation & Distribution,1.15593,1.1693,0.70252,-,-,0.83773,0.87023,0.90603,0.87221,0.52455,-
Equity,Interglobe Aviat,Air Transport Service,1.14691,1.38095,1.50394,1.44555,1.52507,-,-,-,-,-,-
Equity,Sun Pharma.Inds.,Pharmaceuticals,1.11392,1.17915,1.03702,0.96139,0.99331,0.36274,0.33699,0.32744,0.32768,0.34399,-
Equity,Fortis Health.,Healthcare,1.10537,1.0372,1.22046,1.11283,1.19724,1.579,1.76887,1.05735,0.69647,-,-
Equity,PB Fintech.,IT - Software,1.08363,1.01155,0.82424,0.9291,0.9826,-,-,-,-,-,-
Equity,Power Fin.Corpn.,Finance,1.07811,-,-,1.02935,1.2718,-,-,0.37012,0.84446,0.89421,0.9278
Equity,UltraTech Cem.,Cement,1.06148,1.07238,0.99973,1.01051,1.00788,1.29539,1.34271,1.41543,1.46469,1.3921,1.36777
Equity,Godrej Propert.,Realty,1.05269,0.91935,0.96231,0.88484,1.11169,-,-,-,-,-,-
Equity,TCS,IT - Software,1.04727,1.0878,1.08207,1.21024,1.19052,1.80123,1.76687,1.71967,1.58752,1.01165,-
Equity,Natl. Aluminium,Non Ferrous Metals,1.02319,1.2079,0.98697,-,-,-,-,-,-,-,-
Equity,Persistent Syste,IT - Software,1.02129,1.13043,0.51518,-,1.1166,-,-,-,-,-,-
Equity,Max Financial,Miscellaneous,0.99527,1.01924,0.99929,0.89757,0.89131,1.4935,1.36569,1.43401,0.942,0.86576,-
Equity,One 97,E-Commerce/App based Aggregator,0.98808,1.03267,1.05221,1.10003,1.13419,2.13194,2.11736,1.56133,1.34537,-,-
Equity,IDFC First Bank,Banks,0.98719,0.76656,-,1.31075,1.18518,0.33781,0.34693,-,-,-,-
Equity,ICICI Lombard,Insurance,0.98411,1.04006,1.02859,0.99055,1.02687,-,-,-,-,-,-
Equity,Hero Motocorp,Automobile,0.98041,-,-,0.97135,1.08938,0.86073,0.77781,0.79114,1.46992,1.20732,1.19487
Equity,Eicher Motors,Automobile,0.96124,0.97009,0.99516,1.16058,1.14204,2.53352,2.01766,0.53769,0.46869,0.87175,0.8974
Equity,Laurus Labs,Pharmaceuticals,0.9465,1.21822,1.17457,1.06352,1.17039,-,-,-,-,-,-
Equity,Swiggy,E-Commerce/App based Aggregator,0.91154,0.95533,1.02461,1.06168,-,-,-,-,-,-,1.77432
Equity,UPL,Agro Chemicals,0.88645,0.85446,-,1.09696,1.18761,-,-,-,-,-,-
