Positions Over Time - ITI ELSS Tax Saver Fund - Direct (G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,HDFC Bank,Banks,3.83,4.28,4.58,4.85,4.86,4.93,4.78,6.26,6.47,6.69,6.41
Equity,Axis Bank,Banks,2.85,3.07,3.23,3.24,3.25,3.27,3.12,3.02,2.88,2.87,3.11
Equity,Cholaman.Inv.&Fn,Finance,2.77,2.83,3.19,3.04,2.98,3.03,2.93,2.93,2.67,2.65,2.88
Equity,SBI,Banks,2.67,2.88,3.12,3.22,2.76,2.75,2.6,2.55,2.42,2.34,-
Equity,Bajaj Finance,Finance,2.55,2.57,2.81,2.66,2.65,2.78,2.76,2.79,2.53,2.48,2.54
Equity,TVS Motor Co.,Automobile,2.52,2.86,2.91,2.79,2.66,3.47,3.41,3.52,3.46,2.89,2.9
Equity,A B Real Estate,Realty,2.17,1.93,1.95,1.94,2.41,2.55,2.66,2.53,2.71,2.84,3.54
Equity,Bharti Airtel,Telecom-Service,2.17,2.42,-,-,-,-,-,-,-,-,-
Equity,Cohance Life,Pharmaceuticals,1.99,1.71,1.55,1.93,-,-,-,-,-,-,-
Equity,Kirl.Pneumatic,Capital Goods-Non Electrical Equipment,1.98,1.61,1.59,1.58,1.38,1.01,-,-,-,-,-
Equity,KEI Industries,Cables,1.97,1.93,2.14,1.71,1.79,1.65,1.59,1.69,1.64,1.61,1.53
Equity,PNB Housing,Finance,1.97,2.73,2.63,2.65,2.88,2.73,2.77,2.72,2.64,2.01,2.19
Equity,Sansera Enginee.,Auto Ancillaries,1.85,1.8,1.79,1.8,1.63,1.7,1.45,1.39,1.33,1.36,1.36
Equity,NTPC,Power Generation & Distribution,1.85,2.02,1.84,1.73,1.51,1.49,1.52,1.62,1.61,1.6,1.55
Equity,ICICI Bank,Banks,1.82,2.04,2.06,2.05,1.45,1.5,1.44,1.52,1.62,1.68,1.58
Equity,Bikaji Foods,FMCG,1.77,1.92,1.73,1.81,1.03,0.99,0.99,1.07,1.17,1.08,1.03
Equity,IIFL Finance,Finance,1.72,1.1,1.12,1.21,1.31,1.24,1.13,-,-,-,-
Equity,Usha Martin,Steel,1.71,1.24,1.17,1.16,1.21,1.13,1.22,1.27,1.35,1.3,1.22
Equity,Sobha,Realty,1.7,1.66,1.72,1.81,2.19,2.3,2.39,2.4,2.3,2.51,2.22
Equity,Welspun Corp,Capital Goods-Non Electrical Equipment,1.7,2.7,2.42,2.16,2.27,2.38,2.65,2.48,2.52,2.71,2.6
Equity,CSB Bank,Banks,1.7,0.86,0.88,0.98,0.97,0.87,0.86,0.81,0.82,0.61,-
Equity,Larsen & Toubro,Infrastructure Developers & Operators,1.69,1.74,1.87,1.74,1.7,1.19,1.17,1.12,1.14,1.12,1.09
Equity,M & M,Automobile,1.67,1.88,1.91,1.95,1.98,2.0,1.83,1.9,1.83,1.79,1.72
Equity,Sanghvi Movers,Miscellaneous,1.62,1.39,1.37,1.61,1.73,1.66,1.95,1.87,1.75,0.75,0.74
Equity,Aptus Value Hou.,Finance,1.5,1.32,1.46,1.67,1.59,1.58,1.08,1.15,-,-,-
Equity,P N Gadgil Jewe.,"Diamond, Gems and Jewellery",1.49,0.7,0.64,-,-,-,-,-,-,-,-
Equity,Supriya Lifesci.,Pharmaceuticals,1.47,1.4,1.44,1.5,1.56,1.55,1.6,1.58,1.46,1.44,1.49
Equity,H U D C O,Finance,1.4,1.19,1.23,1.27,1.42,1.49,1.46,1.45,1.37,1.39,1.5
Equity,Volt.Transform.,Capital Goods - Electrical Equipment,1.35,1.18,1.09,0.89,0.89,0.93,0.83,-,-,-,-
Equity,Kaveri Seed Co.,FMCG,1.35,0.93999,0.81,1.0,0.99,0.83,0.86,0.92,-,-,-
Equity,Tata Power Co.,Power Generation & Distribution,1.34,1.35,1.18,1.16,1.13,1.16,1.19,1.2,1.2,1.24,1.22
Equity,Standard Engineering Technology,Capital Goods-Non Electrical Equipment,1.34,1.19,-,1.16,-,-,-,-,-,-,-
Equity,Supreme Petroch.,Petrochemicals,1.3,1.49,1.28,1.03,1.09,1.08,1.25,1.47,1.66,1.71,1.82
Equity,Manappuram Fin.,Finance,1.28,1.29,1.28,1.3,1.33,1.22,1.15,1.26,1.21,1.14,1.2
Equity,Fusion Finance,Finance,1.27,1.0,1.2,1.19,0.48,0.51,0.55,-,-,-,-
Equity,Zaggle Prepaid,IT - Software,1.24,1.13,1.22,1.53,1.76,1.98,1.86,1.83,2.14,2.01,2.12
Equity,KEC International,Infrastructure Developers & Operators,1.18,1.27,-,1.47,-,-,-,-,-,-,-
Equity,Tega Inds.,Capital Goods-Non Electrical Equipment,1.17,1.38,1.33,-,-,-,-,-,-,-,-
Equity,Bandhan Bank,Banks,1.11,-,-,-,-,-,-,-,-,-,-
Equity,CMS Info Systems,Miscellaneous,1.11,1.19,1.2,1.26,1.63,1.7,1.24,0.7,0.79,0.87,0.91
Equity,Karur Vysya Bank,Banks,1.11,1.29,1.28,1.2,0.99,0.92,0.9,0.82,0.86,0.86,0.84
Equity,Urban Company,E-Commerce/App based Aggregator,1.1,1.92,1.53,0.73,0.74,-,-,-,-,-,-
Equity,BEML Ltd,Aerospace & Defence,1.07,0.95,1.03,1.11,1.08,-,-,-,-,-,-
Equity,Divi's Lab.,Pharmaceuticals,1.07,1.16,1.1,1.05,1.04,0.56,0.57,0.51,0.57,0.59,0.59
Equity,Lemon Tree Hotel,Hotels & Restaurants,1.07,0.88,0.88,1.01,0.95,-,-,-,-,-,-
Equity,IndusInd Bank,Banks,1.05,1.02,1.14,1.08,0.98,0.97,0.89,0.87,0.9,0.95,-
Equity,RBL Bank,Banks,1.02,1.04,1.01,0.95,-,-,-,-,-,-,-
Equity,ITC Hotels,Hotels & Restaurants,0.99,0.81,0.91,0.95,0.97,0.54,0.56,0.61,0.67,0.63,0.58
Equity,Engineers India,Infrastructure Developers & Operators,0.97,1.01,1.08,1.33,1.46,1.43,1.24,1.25,1.33,1.4,1.52
Equity,Shriram Finance,Finance,0.96,-,-,-,-,-,-,-,-,-,-
Equity,PG Electroplast,Consumer Durables,0.96,1.0,1.18,1.04,1.03,0.74,0.71,0.66,0.72,0.8,0.72
Equity,Elecon Engg.Co,Capital Goods-Non Electrical Equipment,0.93999,0.77,0.8,0.79,0.88,0.61,0.67,-,-,-,-
Equity,GMM Pfaudler,Capital Goods-Non Electrical Equipment,0.91,0.93999,0.97,1.03,1.1,1.11,1.26,0.68,0.79,0.91,-
Equity,Shakti Pumps,Capital Goods-Non Electrical Equipment,0.9,0.87,0.86,1.04,1.14,0.86,0.8,0.84,0.86,0.92,-
Equity,KFin Technolog.,Financial Services,0.89,1.03,0.99,1.06,1.06,0.54,0.56,0.57,0.57,0.59,0.36
Equity,Jubilant Ingrev.,Chemicals,0.87,0.78,0.74,0.81,0.84,0.85,0.41,0.4,0.47,0.5,0.47
Equity,C D S L,Financial Services,0.86,0.89,0.89,0.93,0.96,1.07,1.04,1.01,1.02,1.03,1.2
Equity,CreditAcc. Gram.,Finance,0.85,0.68,0.65,0.68999,-,-,-,-,-,-,-
Equity,JSW Energy,Power Generation & Distribution,0.84,0.83,0.76,0.72,0.71,-,-,-,-,-,-
Equity,Kotak Mah. Bank,Banks,0.78,0.84,0.88,0.87,0.88,0.85,0.83,0.83,0.84,0.83,0.88
Equity,Cummins India,Capital Goods-Non Electrical Equipment,0.73,0.74,0.71,0.6,0.61,0.62,0.59,0.56,0.57,0.51,0.47
Equity,Titagarh Rail,Capital Goods-Non Electrical Equipment,0.71,0.62,0.67,0.79,0.81,0.75,0.79,0.83,0.81,0.71,0.76
Equity,NBCC,Miscellaneous,0.7,0.7,0.74,0.8,0.92,1.7,1.69,1.62,1.54,1.65,1.81
Equity,LG Electronics,Consumer Durables,0.68,0.73,0.71,0.66,0.64,-,-,-,-,-,-
Equity,Mrs Bectors,FMCG,0.67,0.72,0.74,0.8,0.77,0.87,0.89,0.62,-,-,-
Equity,ITC,Tobacco Products,0.62,0.67,0.64,0.66,0.78,0.78,0.8,0.81,0.85,0.84,0.82
Equity,Eternal,E-Commerce/App based Aggregator,0.59,0.64,0.61,0.68999,0.66,-,-,-,-,-,-
Equity,Dodla Dairy,FMCG,0.59,0.61,0.65,0.67,-,-,-,-,-,-,-
Equity,Five-Star Bus.Fi,Finance,0.58,-,-,-,-,-,-,-,-,-,-
Equity,Park Medi World,Healthcare,0.51,-,-,-,-,-,-,-,-,-,-
Equity,SJS Enterprises,Auto Ancillaries,0.05,-,-,-,-,-,-,-,-,-,-
Equity,Standard Enginee,Capital Goods-Non Electrical Equipment,-,-,1.24,-,-,-,-,-,-,-,-
Equity,Vedanta,Mining & Mineral products,-,-,1.58,1.51,1.26,1.09,1.02,-,-,-,-
Equity,TCS,IT - Software,-,0.79,0.78,0.93999,0.9,0.88,0.85,0.85,0.93999,0.9,0.99
Equity,Vedanta,Non Ferrous Metals,-,1.63,-,-,-,-,-,-,-,-,-
Equity,Supreme Inds.,Plastic products,-,-,-,-,-,-,-,-,-,-,0.58
Equity,eClerx Services,IT - Software,-,-,-,-,-,-,-,-,-,1.04,1.82
Equity,Power Fin.Corpn.,Finance,-,-,-,-,-,0.54,0.59,0.63,0.61,0.64,0.64
Equity,St Bk of India,Banks,-,-,-,-,-,-,-,-,-,-,2.33
Equity,Standard Glass,Capital Goods-Non Electrical Equipment,-,-,-,-,0.78,0.83,0.93,0.93,1.0,1.01,0.89
Equity,Zensar Tech.,IT - Software,-,-,-,-,-,-,-,0.59,0.62,0.63,0.64
Equity,Wockhardt,Pharmaceuticals,-,-,-,-,-,0.46,0.47,-,-,-,-
Equity,Siemens Ener.Ind,Power Generation & Distribution,-,-,-,-,-,-,-,0.24,0.25,0.23,0.21
Equity,Tega Inds.,Engineering,-,-,-,1.26,1.36,1.34,1.33,1.37,1.38,1.39,1.1
Equity,Trent,Retail,-,0.39,0.4,0.4,0.42,0.42,0.46,0.48,0.56,0.52,0.62
Equity,TD Power Systems,Capital Goods - Electrical Equipment,-,-,-,-,-,-,-,0.72,0.63,0.63,-
Equity,Juniper Hotels,Hotels & Restaurants,-,-,-,-,-,-,-,-,0.12,0.54,0.51
Equity,Kaynes Tech,Consumer Durables,-,-,-,-,-,0.56,0.68,0.75,0.67,0.66,-
Equity,City Union Bank,Banks,-,-,-,-,-,-,0.49,0.48,-,-,-
Equity,Cartrade Tech,Retail,-,-,-,-,-,-,-,-,1.05,0.93,-
Equity,Canara Bank,Banks,-,-,-,-,-,-,-,-,-,-,0.5
Equity,CG Power & Ind,Capital Goods - Electrical Equipment,-,-,-,-,-,-,-,-,-,-,0.47
Equity,Bharti Airtel PP,Telecomm-Service,-,-,-,-,-,-,-,-,-,1.71,1.76
Equity,Bharti Airtel PP,Telecom-Service,-,-,1.77,1.89,1.92,1.81,1.76,1.66,1.77,-,-
Equity,Bharat Bijlee,Capital Goods - Electrical Equipment,-,-,-,-,-,-,-,0.35,0.42,0.41,1.1
Equity,Bank of Baroda,Banks,-,-,-,-,-,-,-,-,-,-,0.49
Equity,Arvind Ltd,Textiles,-,-,-,-,-,-,-,0.72,0.68999,0.75,0.81
Equity,Anant Raj,Realty,-,-,-,-,-,-,-,-,0.75,0.8,0.78
Equity,Anand Rathi Shar,Stock/ Commodity Brokers,-,-,-,-,-,0.97,0.7,-,-,-,-
Equity,Anand Rathi Shar,Finance,-,-,-,-,-,-,-,0.65,-,-,-
Equity,Allied Blenders,Alcoholic Beverages,-,-,-,-,-,-,-,-,-,-,0.85
Equity,Ajax Engineering,Capital Goods-Non Electrical Equipment,-,-,-,-,0.54,0.56,0.55,0.61,0.7,0.66,0.58
Equity,Adani Energy Sol,Power Generation & Distribution,-,-,-,-,1.53,1.48,1.45,1.35,1.22,1.26,1.33
Equity,Dam Capital Advi,Finance,-,-,-,-,-,-,-,0.35,0.66,0.65,0.73
Equity,One 97,E-Commerce/App based Aggregator,-,-,-,-,-,-,-,-,-,0.55,0.78
Equity,Dredging Corpn.,Miscellaneous,-,-,-,-,-,0.58,0.5,0.44,0.43,0.63,0.71
Equity,Finolex Inds.,Plastic products,-,-,-,-,-,-,-,0.5,0.55,0.52,0.53
Equity,KPIT Technologi.,IT - Software,-,-,-,-,-,-,0.79,0.78,0.88,0.88,0.87
Equity,KPI Green Energy,Power Generation & Distribution,-,-,-,-,-,1.71,2.1,1.81,2.06,2.14,2.07
Equity,KEC Internationa,Infrastructure Developers & Operators,-,-,1.28,-,1.53,1.04,-,-,-,-,-
Equity,K E C Intl.,Infrastructure Developers & Operators,-,-,-,-,-,-,1.23,1.38,1.32,1.37,1.41
Equity,Jana Small Finan,Banks,-,-,-,-,-,-,1.01,1.86,1.98,1.86,1.94
Equity,JSW Infrast,Marine Port & Services,-,-,-,-,-,-,-,-,-,-,0.73
Equity,EID Parry,Sugar,-,-,-,-,-,0.77,0.79,0.8,0.91,0.97,0.84
Equity,J & K Bank,Banks,-,-,0.99,1.06,0.95,1.01,-,-,-,-,-
Equity,Indus Towers,Telecomm Equipment & Infra Services,-,-,-,-,-,-,-,-,-,0.99,1.11
Equity,Indus Towers,Telecom Equipment & Infra Services,-,-,-,-,-,-,-,0.93,0.95,-,-
Equity,Hariom Pipe,Steel,-,-,-,-,-,-,-,-,0.68999,0.62,0.54
Equity,H P C L,Refineries,-,-,-,-,-,-,-,-,-,-,1.05
Equity,Godrej Propert.,Realty,-,-,-,-,1.05,1.11,1.19,1.08,1.1,1.16,1.25
Equity,GNG Electronics,Trading,-,-,-,-,-,0.66,0.66,0.47,-,-,-
Equity,Interglobe Aviat,Air Transport Service,-,-,-,2.05,4.2,4.89,4.61,4.83,5.04,4.12,4.02
Net CA & Others,Net CA & Others,Debt Others,3.18,3.81,2.83,0.74,1.05,0.83,2.31,1.84,1.95,2.42,0.93
Preference Shares,TVS Motor Co.,Preference n Warrants,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,-,-
