Positions Over Time - JM ELSS Tax Saver Fund - Direct (G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,Reliance Industr,Refineries,3.47961,3.66605,3.42572,3.45232,3.70269,3.66792,3.54044,3.42206,3.45662,3.59084,3.83751
Equity,HDFC Bank,Banks,3.45338,3.67215,4.01472,4.23048,4.30043,4.33856,4.32728,4.39033,4.45971,4.7962,4.70929
Equity,Bharti Airtel,Telecom-Service,2.83134,3.00021,2.8499,3.00543,2.36608,2.34374,2.33225,2.24599,2.76561,-,-
Equity,ICICI Bank,Banks,2.79057,2.98775,3.07789,3.04475,2.87575,3.408,3.36037,3.54658,3.73336,4.01271,4.84674
Equity,Larsen & Toubro,Infrastructure Developers & Operators,2.73239,3.30212,3.63225,3.57943,3.54237,3.50364,3.53247,3.37746,3.54607,5.09172,5.08733
Equity,Karur Vysya Bank,Banks,2.65994,2.942,2.98755,2.77887,2.31816,2.36879,2.36435,2.16016,1.83762,1.91255,1.92187
Equity,Lupin,Pharmaceuticals,2.62458,2.95512,2.64853,2.49353,2.32855,2.28104,1.97058,1.79593,1.80752,1.86622,1.85621
Equity,Syrma SGS Tech.,Electronics,2.59663,2.34817,2.25002,2.09633,1.92469,2.35274,2.61199,2.59434,3.04471,2.84315,2.74348
Equity,Adani Power,Power Generation & Distribution,2.51576,1.03743,-,-,-,-,-,-,-,-,-
Equity,Travel Food,Quick Service Restaurant,2.38663,2.68135,2.59006,2.45188,2.56769,2.27009,2.2637,2.39358,2.29934,1.94709,-
Equity,Max Healthcare,Healthcare,2.25674,2.18265,2.23133,1.76431,1.83657,1.56938,1.34649,1.37735,1.44791,1.68754,1.71101
Equity,United Spirits,Alcoholic Beverages,2.23974,2.30992,2.35767,2.34214,2.14181,1.91463,1.69833,1.65501,1.42562,-,-
Equity,Jindal Steel,Steel,2.22809,2.34842,2.36493,2.16605,1.47962,1.23567,1.28478,1.34938,1.21795,1.26028,1.21764
Equity,OneSource Speci.,Pharmaceuticals,2.20015,2.09194,1.9336,1.7264,2.49386,2.09446,2.33177,2.4379,2.54452,2.69213,2.96759
Equity,Maruti Suzuki,Automobile,2.18648,2.26691,2.46567,2.67578,2.91649,2.75629,2.85612,2.48966,2.33221,2.01617,2.55705
Equity,Bajaj Auto,Automobile,2.1847,2.15328,2.20305,2.13437,1.5676,1.51088,1.50726,1.54939,1.56436,1.47192,2.52709
Equity,Polycab India,Cables,2.17927,2.27239,2.57585,2.11212,2.18664,2.12768,2.23362,2.22502,2.1983,2.14456,-
Equity,Wework India,Co-Working,2.08235,1.94514,1.91002,2.21025,-,-,-,-,-,-,-
