Positions Over Time - Motilal Oswal ELSS Tax Saver Fund-Dir (G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,Multi Comm. Exc.,Financial Services,7.629108,7.80298,7.58561,7.82304,6.64875,5.87534,5.30728,4.61694,4.53555,4.34177,4.93147
Equity,Piramal Finance.,Finance,5.571189,6.00262,6.32461,5.83614,4.87522,4.45781,3.18552,3.28569,-,-,-
Equity,Jain Resource,Non Ferrous Metals,4.936833,5.76401,4.49367,3.79727,2.72475,2.18738,2.08656,-,-,-,-
Equity,Apar Inds.,Capital Goods - Electrical Equipment,4.837462,5.369,4.93784,3.70992,3.74609,3.80521,3.54616,3.31136,3.24138,3.22896,2.9922
Equity,Ather Energy,Automobile,4.618483,4.3725,3.6295,3.07344,3.38041,2.82934,2.06871,-,-,-,-
Equity,OneSource Speci.,Pharmaceuticals,4.55642,4.53358,2.98763,2.64116,3.5376,2.74873,3.2744,3.35241,3.36339,3.01079,3.27488
Equity,Billionbrains,Stock/ Commodity Brokers,4.384449,4.4296,4.28509,4.62514,3.64889,3.42494,-,-,-,-,-
Equity,Zen Technologies,Aerospace & Defence,4.371095,3.92699,2.95806,2.32585,2.16889,2.17805,2.06868,2.34344,2.47404,2.24274,2.96505
Equity,Amber Enterp.,Consumer Durables,4.243344,4.56036,4.94745,3.53494,3.81039,3.88359,4.27857,4.44194,4.13587,4.34812,3.611
Equity,Waaree Energies,Capital Goods - Electrical Equipment,4.202468,4.9187,3.79009,3.8868,3.99244,4.16873,4.43353,4.44085,4.15729,3.31087,3.39346
Equity,Muthoot Finance,Finance,4.019747,4.35453,4.3932,5.00059,4.8014,4.60735,3.85056,3.8447,2.96067,2.33812,0.98616
Equity,PTC Industries,"Castings, Forgings & Fastners",3.972784,4.34902,4.60544,4.42515,4.29385,4.10316,3.84059,3.55911,3.32812,3.30556,3.2123
Equity,Suzlon Energy,Capital Goods - Electrical Equipment,3.875504,3.23793,2.52497,2.81166,2.99684,3.00204,3.24474,3.10691,3.30054,3.45678,3.71263
Equity,Bharat Electron,Aerospace & Defence,3.628569,3.9566,3.58329,3.85738,3.31172,3.33353,3.39598,3.32068,3.14702,3.33563,3.69506
Equity,Gujarat Fluoroch,Chemicals,3.570602,3.52369,3.33769,2.91634,3.37793,3.08131,3.56631,3.64328,3.47661,3.51134,3.36818
Equity,Bharat Dynamics,Aerospace & Defence,3.473605,3.27781,3.01498,3.75708,3.45543,3.48396,3.46663,3.48987,3.47743,3.88502,4.55552
Equity,Shriram Finance,Finance,3.471998,3.7918,3.46691,3.06856,2.29911,-,-,-,-,-,-
Equity,Premier Energies,Trading,3.39797,3.49304,2.45749,2.23458,2.52171,2.85407,3.16639,3.0519,3.07783,3.06586,-
Equity,One 97,E-Commerce/App based Aggregator,3.276165,3.36554,3.5567,3.67166,4.04453,3.73508,3.62846,3.22735,3.59227,2.40427,1.99233
Equity,KSB,Capital Goods-Non Electrical Equipment,2.774679,2.46859,2.26854,2.079,2.13739,2.12422,2.15323,2.30788,2.40427,2.26637,2.15988
Equity,Ola Electric,Automobile,2.67445,1.95778,1.81158,2.31474,2.21272,2.23071,2.67183,3.13014,1.01102,-,-
Equity,International Gemological Instit,Miscellaneous,2.440783,-,-,-,-,-,-,-,-,-,-
Equity,Religare Enterp.,Finance,2.135609,2.28638,2.27817,2.55221,2.55138,2.50281,2.62446,2.5752,2.52425,2.74929,2.21381
Equity,Eternal,E-Commerce/App based Aggregator,2.03896,-,4.72008,5.2262,5.1236,-,-,-,-,-,-
Equity,K P R Mill Ltd,Readymade Garments/ Apparells,1.929168,2.00543,2.06366,1.94335,2.03177,2.27354,2.2172,2.27719,2.18608,2.42401,0.45872
Equity,Nippon Life Ind.,Finance,1.595031,-,-,-,-,-,-,-,-,-,-
Equity,Shaily Engineer.,Plastic products,1.004098,-,-,-,-,-,-,-,-,-,-
Equity,Premier Energies,Capital Goods - Electrical Equipment,-,-,-,-,-,-,-,-,-,-,3.07936
Equity,Radico Khaitan,Alcoholic Beverages,-,-,-,-,-,-,-,0.77643,1.33656,-,-
Equity,Samvardh. Mothe.,Auto Ancillaries,-,-,-,-,-,-,2.01834,2.08694,1.89871,2.1181,2.19812
Equity,Trent,Retail,-,-,-,-,-,-,-,-,-,-,4.75047
Equity,Prestige Estates,Realty,-,2.90397,3.41393,3.75985,3.95786,4.06637,4.1639,3.71733,4.34964,4.55163,3.88142
Equity,Piramal Enterp.,Finance,-,-,-,-,-,-,-,-,3.39299,3.32257,2.96698
Equity,Affle 3i,IT - Software,-,-,-,-,-,0.38197,1.86684,1.9426,1.59043,1.56623,0.61494
Equity,PB Fintech.,IT - Software,-,-,-,1.8659,1.98614,-,-,2.75056,2.96575,2.01971,1.18973
Equity,Kaynes Tech,Consumer Durables,-,-,-,-,-,3.45888,4.30073,4.66588,4.19846,4.06038,4.02767
Equity,Kalyan Jewellers,"Diamond, Gems and Jewellery",-,-,-,-,-,-,-,-,2.16716,2.68428,2.4511
Equity,International Ge,Miscellaneous,-,2.63315,2.25884,2.12118,2.20487,1.96004,1.98657,2.09394,2.09176,2.37794,2.18338
Equity,Inox Wind,Capital Goods - Electrical Equipment,-,-,-,-,1.13797,2.76702,3.14173,2.92948,2.99006,2.79901,3.18076
