Positions Over Time - Nippon India ELSS Tax Saver Fund - Direct (G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,ICICI Bank,Banks,7.11,7.46,7.65,7.36,6.95,7.07,6.85,7.7,8.05,8.5,8.7
Equity,HDFC Bank,Banks,6.39,6.65,6.65,6.99,7.27,7.27,7.13,7.07,7.14,7.37,7.17
Equity,Axis Bank,Banks,4.22,4.24,4.72,4.7,4.66,4.62,4.45,4.21,3.92,3.9,3.91
Equity,NTPC,Power Generation & Distribution,3.79,3.87,3.57,3.35,3.02,2.94,3.04,3.16,3.07,3.16,3.11
Equity,SBI,Banks,3.55,3.58,4.1,3.91,3.6,3.53,3.38,3.24,3.01,2.91,-
Equity,Reliance Industr,Refineries,3.3,3.65,3.4,3.42,3.76,3.69,3.5,2.73,2.74,2.74,2.98
Equity,Samvardh. Mothe.,Auto Ancillaries,3.15,3.0,3.42,2.91,3.01,2.87,2.6,2.69,2.38,2.43,2.58
Equity,Infosys,IT - Software,3.05,3.54,3.3,3.86,3.99,4.12,3.92,3.93,4.29,3.95,3.48
Equity,Bharti Airtel,Telecom-Service,2.93,3.04,-,-,-,-,-,-,-,-,-
Equity,Power Fin.Corpn.,Finance,2.77,2.58,2.52,2.32,2.12,2.13,2.37,2.48,2.32,2.44,2.49
Equity,TVS Holdings,Finance,2.57,2.95,2.87,2.87,2.57,2.67,2.83,2.45,2.3,2.17,2.1
Equity,Radico Khaitan,Alcoholic Beverages,2.32,2.17,1.97,2.11,2.4,2.29,2.24,2.13,2.12,1.98,1.86
Equity,Coal India,Mining & Mineral products,2.22,2.28,1.96,2.01,1.78,1.65,1.7,1.76,1.71,1.67,1.71
Equity,Eternal,E-Commerce/App based Aggregator,2.01,1.83,1.76,1.97,1.95,-,-,-,-,-,-
Equity,Avenue Super.,Retail,1.77,1.68,1.47,1.41,1.41,1.47,1.53,1.69,1.82,1.59,1.6
Equity,KSB,Capital Goods-Non Electrical Equipment,1.76,1.57,1.36,1.26,1.31,1.31,1.35,1.45,1.47,1.45,1.39
Equity,GE Vernova T&D,Capital Goods - Electrical Equipment,1.74,1.56,1.48,1.25,1.18,1.07,1.13,1.17,1.27,1.21,1.03
Equity,Divi's Lab.,Pharmaceuticals,1.63,1.64,1.59,1.5,1.55,1.54,1.43,1.13,0.66,-,-
Equity,Tata Power Co.,Power Generation & Distribution,1.6,1.5,1.34,1.3,1.32,1.33,1.38,1.37,1.33,1.37,1.38
Equity,NLC India,Power Generation & Distribution,1.6,1.49,1.29,1.3,1.22,1.17,1.26,1.41,1.12,1.18,1.1
Equity,Varun Beverages,FMCG,1.57,1.29,1.36,1.43,1.44,1.4,1.36,1.25,1.3,1.36,1.05
Equity,ICICI Lombard,Insurance,1.55,1.66,1.65,1.58,1.8,1.78,1.93,1.88,1.85,1.88,1.96
Equity,REC Ltd,Finance,1.49,1.41,1.45,1.52,1.45,1.44,1.5,1.54,1.45,1.6,1.6
Equity,Chola Financial,Finance,1.48,1.42,1.53,1.56,1.66,1.67,1.83,1.85,1.71,1.82,2.05
Equity,Health.Global,Healthcare,1.44,1.45,1.35,1.39,1.52,1.65,1.69,1.5,1.58,1.42,1.23
Equity,United Spirits,Alcoholic Beverages,1.44,1.45,1.48,1.47,1.51,1.5,1.48,1.41,1.4,1.4,1.46
Equity,Larsen & Toubro,Infrastructure Developers & Operators,1.36,1.31,1.43,1.37,1.39,1.52,1.82,1.7,2.17,2.72,2.7
Equity,Indian Hotels Co,Hotels & Restaurants,1.33,1.31,1.37,1.39,1.49,1.48,1.47,1.47,1.56,1.49,1.61
Equity,Linde India,Chemicals,1.33,1.39,1.22,1.1,1.06,1.04,1.05,1.13,1.16,1.16,1.16
Equity,Gland Pharma,Pharmaceuticals,1.31,1.39,1.34,1.36,1.24,1.25,1.37,1.45,1.38,1.48,1.29
Equity,Max Financial,Miscellaneous,1.29,1.55,1.7,1.52,1.86,1.95,1.89,1.99,2.04,1.86,-
Equity,BSE,Financial Services,1.23,1.0,0.9,0.93999,0.86,0.93999,0.93,0.79,0.82,0.95,1.06
Equity,3M India,Diversified,1.1,1.09,1.22,1.12,1.12,1.09,0.93,0.95,1.0,0.97,0.89
