Positions Over Time - Samco ELSS Tax Saver Fund - Direct (G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,Nippon Life Ind.,Finance,6.47,5.8,5.99,5.75,5.5,5.4,5.27,5.38,4.86,4.73,4.29
Equity,Muthoot Finance,Finance,6.25,6.51,6.08,7.06,6.73,6.52,5.44,5.42,3.75,3.51,3.34
Equity,Karur Vysya Bank,Banks,3.83,4.16,4.13,3.89,3.3,3.0,2.91,2.6,2.83,2.71,-
Equity,Cummins India,Capital Goods-Non Electrical Equipment,3.37,3.31,3.17,2.7,2.84,2.77,2.61,-,-,-,-
Equity,Aditya AMC,Finance,3.19,3.09,2.77,2.4,-,-,-,-,-,-,-
Equity,Bank of Maha,Banks,3.09,2.8,3.01,2.67,-,-,-,-,-,-,-
Equity,Godawari Power,Steel,3.05,3.17,2.76,2.62,2.69,2.3,2.75,2.11,-,-,1.85
Equity,Angel One,Stock/ Commodity Brokers,3.03,-,-,-,-,-,-,-,-,-,-
Equity,KEI Industries,Cables,3.02,2.83,3.19,2.55,2.73,2.46,2.37,1.67,-,-,-
Equity,Engineers India,Infrastructure Developers & Operators,2.97,2.42,2.6,2.06,2.33,2.21,2.25,2.21,2.45,2.47,-
Equity,Apar Inds.,Capital Goods - Electrical Equipment,2.85,1.35,-,-,2.57,2.73,2.51,1.66,-,-,-
Equity,J B Chemicals &,Pharmaceuticals,2.84,3.24,2.84,2.62,-,-,-,-,-,-,-
Equity,Polycab India,Cables,2.83,2.7,2.99,2.48,2.62,2.49,2.46,2.2,-,-,-
Equity,Sona BLW Precis.,Auto Ancillaries,2.83,1.0,-,-,-,-,-,-,-,-,-
Equity,Elgi Equipments,Capital Goods-Non Electrical Equipment,2.69,-,-,-,-,-,-,-,-,-,-
Equity,L T Foods,FMCG,2.67,-,-,-,-,-,-,2.3,2.55,2.85,-
Equity,Ajanta Pharma,Pharmaceuticals,2.58,2.89,2.72,2.56,-,-,-,-,-,-,-
Equity,NMDC,Mining & Mineral products,2.55,2.37,2.24,2.21,-,-,-,-,-,-,-
Equity,APL Apollo Tubes,Capital Goods-Non Electrical Equipment,2.49,2.92,2.97,2.75,2.46,2.22,2.29,2.22,2.11,2.03,2.13
Equity,Alkem Lab,Pharmaceuticals,2.45,2.73,2.56,2.62,-,-,-,-,-,-,-
Equity,AIA Engineering,"Castings, Forgings & Fastners",2.45,2.58,2.4,2.53,-,-,-,-,-,-,-
Equity,Timken India,Bearings,2.45,-,-,-,-,-,-,-,-,-,-
Equity,Schaeffler India,Bearings,2.44,2.64,2.63,2.24,2.28,2.22,2.27,0.86,-,-,2.23
Equity,Sun TV Network,Entertainment,2.42,-,-,-,-,-,-,-,-,-,-
Equity,Bayer Crop Sci.,Agro Chemicals,2.42,-,-,-,-,-,-,-,-,-,-
Equity,Marico,FMCG,2.4,2.6,2.46,2.31,2.25,2.19,2.18,2.17,2.25,2.13,2.09
Equity,3M India,Diversified,2.39,2.46,2.7,2.47,-,-,-,-,-,-,-
Equity,Metropolis Healt,Healthcare,2.36,2.46,2.37,2.38,2.39,2.32,2.35,-,-,-,-
Equity,Can Fin Homes,Finance,2.34,2.43,2.28,2.56,-,-,-,-,-,-,-
Equity,Pfizer,Pharmaceuticals,2.29,-,-,-,2.44,2.36,2.45,2.43,2.68,2.61,-
Equity,360 ONE,Stock/ Commodity Brokers,2.24,2.26,2.32,2.43,-,-,-,-,-,-,-
Equity,Supreme Inds.,Plastic products,2.22,-,-,-,-,-,-,-,-,-,-
Equity,Hero Motocorp,Automobile,2.2,2.49,2.48,2.44,-,-,-,-,-,-,-
Equity,Astral,Plastic products,2.19,1.3,-,-,-,-,-,-,-,-,-
Equity,Persistent Syste,IT - Software,1.97,-,1.88,-,-,-,-,-,-,-,-
Equity,Mahanagar Gas,Gas Distribution,-,-,-,-,-,-,-,-,2.47,2.59,-
Equity,eClerx Services,IT - Software,-,2.9,2.92,4.32,4.24,3.98,4.1,3.58,4.06,3.45,2.92
Equity,Manappuram Fin.,Finance,-,-,-,-,2.06,2.35,2.21,2.43,2.26,2.12,2.22
Equity,Zensar Tech.,IT - Software,-,-,-,-,2.0,2.06,2.17,2.23,2.25,2.28,2.3
Equity,UTI AMC,Finance,-,-,-,-,2.38,2.33,2.53,2.72,2.5,2.49,2.14
