Positions Over Time - Abakkus Flexi Cap Fund - Dir (G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25
Equity,ICICI Bank,Banks,4.37,4.22,3.9,4.2,2.42
Equity,HDFC Bank,Banks,3.96,4.66,5.2,4.86,2.78
Equity,Reliance Industr,Refineries,3.67,4.28,4.2,3.86,-
Equity,SBI,Banks,3.36,3.43,3.52,3.45,1.69
Equity,Oracle Fin.Serv.,IT - Software,2.99,2.57,2.23,2.74,1.39
Equity,Bank of Baroda,Banks,2.85,2.44,2.72,1.87,-
Equity,Federal Bank,Banks,2.57,2.68,2.93,2.36,1.47
Equity,ICICI AMC,Finance,2.53,2.23,2.33,2.12,-
Equity,Indus Towers,Telecom Equipment & Infra Services,2.52,2.4,2.46,2.37,-
Equity,Tata Steel,Steel,2.44,2.26,1.93,1.93,0.72
Equity,Inox India,Packaging,2.42,2.24,2.07,1.71,0.73
Equity,M & M,Automobile,2.38,2.21,-,-,-
Equity,360 ONE,Stock/ Commodity Brokers,2.36,2.33,2.33,2.05,-
Equity,United Spirits,Alcoholic Beverages,2.33,2.33,2.36,2.18,1.59
Equity,Bajaj Auto,Automobile,2.32,1.87,1.93,1.78,-
Equity,Divi's Lab.,Pharmaceuticals,2.25,2.56,2.29,2.15,-
Equity,Lupin,Pharmaceuticals,2.24,2.47,2.29,1.92,-
Equity,Avalon Tech,Consumer Durables,2.02,2.09,2.11,1.88,-
Equity,CG Power & Ind,Capital Goods - Electrical Equipment,1.98,2.15,2.44,1.91,-
Equity,Larsen & Toubro,Infrastructure Developers & Operators,1.95,2.51,3.13,3.15,1.47
Equity,PNB Housing,Finance,1.9,1.71,1.74,1.9,-
Equity,NTPC,Power Generation & Distribution,1.89,2.65,2.79,2.54,0.93
Equity,Tata Motors,Automobile,1.89,2.01,2.3,2.29,-
Equity,IIFL Finance,Finance,1.84,1.78,2.1,2.07,-
Equity,Aether Industri.,Chemicals,1.77,2.06,1.5,1.42,-
Equity,Urban Company,E-Commerce/App based Aggregator,1.75,1.7,1.43,1.81,0.96
Equity,ZF Commercial,Auto Ancillaries,1.71,1.58,1.58,1.32,-
Equity,PB Fintech.,IT - Software,1.71,1.82,1.93,1.48,-
Equity,Cyient DLM,Electronics,1.69,1.45,1.58,1.35,-
Equity,Emmvee Photovol.,Capital Goods - Electrical Equipment,1.68,2.04,1.71,1.79,0.86
Equity,Kirl.Pneumatic,Capital Goods-Non Electrical Equipment,1.68,1.45,1.58,1.55,-
Equity,ICICI Pru Life,Insurance,1.65,1.87,2.45,2.0,-
Equity,Arvind Fashions.,Retail,1.65,-,-,-,-
Equity,Kajaria Ceramics,Ceramic Products,1.59,1.46,1.44,1.48,-
Equity,DLF,Realty,1.58,1.52,1.87,1.91,-
Equity,Ajanta Pharma,Pharmaceuticals,1.44,1.78,1.94,1.73,-
Equity,Deepak Fertilis.,Chemicals,1.41,1.26,1.41,1.64,0.3
Equity,BEML Ltd,Aerospace & Defence,1.4,1.32,1.0,-,-
Equity,Dixon Technolog.,Consumer Durables,1.2,-,-,-,-
Equity,Heritage Foods,FMCG,1.19,1.22,1.35,1.66,0.4
Equity,Leela Palaces Ho,Hotels & Restaurants,1.1,1.03,0.82,0.25,-
Equity,Vedanta,Non Ferrous Metals,1.01,2.29,-,-,-
Equity,Supriya Lifesci.,Pharmaceuticals,0.96,0.93999,1.12,1.26,0.08
Equity,Edelweiss.Fin.,Finance,0.82,0.81,0.95,0.97,-
Equity,Vedanta Aluminiu,Other,0.45,-,-,-,-
Equity,MALCO Energy,Other,0.45,-,-,-,-
Equity,Vedanta Iron & S,Other,0.45,-,-,-,-
Equity,Talwandi Sabo,Other,0.45,-,-,-,-
Equity,Fractal Analyt.,IT - Software,0.4,0.4,0.42,-,-
Equity,Arvind Fashions.,Trading,-,1.61,1.59,1.21,-
Equity,B P C L,Refineries,-,-,2.01,1.95,-
Equity,Vedanta,Mining & Mineral products,-,-,2.22,2.31,1.45
Reverse Repo,C C I,Debt Others,6.91,4.86,5.2,11.55,80.17
Commercial Paper,Kotak Securities,Debt Others,0.89,1.1,1.12,-,-
Commercial Paper,ICICI Securities,Debt Others,0.25,0.31,-,-,-
Net CA & Others,Net CA & Others,Debt Others,-0.27,2.04,0.48,2.07,0.59
