Positions Over Time - Aditya Birla SL Flexi Cap Fund - Direct (G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,ICICI Bank,Banks,5.84056,6.20762,6.48196,6.50014,6.33997,6.6315,6.77894,7.24276,7.69975,8.2137,7.85359
Equity,HDFC Bank,Banks,3.6129,3.81374,3.89373,4.15928,4.36623,4.48913,4.4656,4.51915,4.5817,4.82396,4.58204
Equity,Kotak Mah. Bank,Banks,3.4539,3.54599,3.80441,3.81505,4.05107,3.95453,3.97273,3.95643,3.94348,3.95196,4.14146
Equity,Reliance Industr,Refineries,3.18524,3.33142,3.1554,3.22353,3.57028,3.60436,3.46987,3.34532,3.37258,3.43,4.35563
Equity,Infosys,IT - Software,2.84105,3.34775,3.17813,4.09367,3.96592,4.08559,3.9409,4.02726,3.98667,3.73332,3.88247
Equity,SBI,Banks,2.70953,2.68057,3.00346,2.74734,2.46545,2.58128,2.50812,2.45355,2.28663,2.25352,-
Equity,Bharti Airtel,Telecom-Service,2.28199,2.40045,2.0436,2.18469,2.29957,2.32139,2.30389,2.21304,2.25467,-,-
Equity,Hindalco Inds.,Non Ferrous Metals,2.22734,2.1628,2.06492,2.19361,2.17139,2.00224,2.13189,2.01288,1.88421,1.81526,1.60523
Equity,Bharat Forge,"Castings, Forgings & Fastners",2.11686,2.09786,2.14228,1.64878,1.65529,1.63251,1.53124,1.47237,1.36174,1.42829,1.56566
Equity,HCL Technologies,IT - Software,1.91981,2.3918,2.26149,2.81705,2.65418,2.68596,2.58798,2.44311,2.491,2.20283,2.5414
Equity,Godrej Consumer,FMCG,1.8187,1.86898,2.05279,1.98576,2.0696,1.89278,1.71612,1.5799,1.48608,1.2785,1.17236
Equity,Axis Bank,Banks,1.73187,1.76579,1.92158,1.94183,1.7702,1.80493,1.76523,1.70235,1.79995,2.04291,2.24647
Equity,Jindal Steel,Steel,1.71051,1.73339,1.70756,1.58541,1.45249,1.45596,1.50982,1.58171,1.42489,1.44347,1.21515
Equity,SBI Life Insuran,Insurance,1.70322,1.77006,1.85277,1.85482,1.85866,1.81622,1.84587,1.77559,1.814,1.8362,1.79658
Equity,Sona BLW Precis.,Auto Ancillaries,1.65841,1.46427,1.48433,1.37483,1.30841,1.41264,1.32484,1.15036,1.15562,1.01831,0.83892
