Positions Over Time - Canara Robeco Flexi Cap Fund - Direct (G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,HDFC Bank,Banks,6.89,7.11,7.6,7.8,8.06,8.09,8.0,7.96,7.93,8.35,8.02
Equity,ICICI Bank,Banks,6.18,6.47,6.59,6.51,6.25,6.38,6.24,6.46,6.67,7.03,6.76
Equity,Reliance Industr,Refineries,4.04,4.17,3.85,3.87,4.31,4.25,4.06,3.85,3.85,3.84,3.71
Equity,Bharti Airtel,Telecom-Service,3.71,3.79,3.31,3.25,3.37,3.32,3.28,2.94,2.83,-,-
Equity,SBI,Banks,3.49,3.14,3.5,3.56,3.27,3.22,3.11,2.93,2.52,2.27,-
Equity,Larsen & Toubro,Infrastructure Developers & Operators,3.25,3.18,3.35,3.09,3.11,3.06,3.06,2.87,2.77,2.78,2.68
Equity,Infosys,IT - Software,3.02,3.45,2.93,3.71,3.41,3.27,3.14,3.15,3.23,3.29,3.41
Equity,Bajaj Finance,Finance,2.66,2.49,2.57,2.38,2.41,2.5,2.54,2.51,2.22,2.21,2.32
Equity,M & M,Automobile,2.44,2.61,2.67,2.71,2.84,2.76,2.59,2.62,2.56,2.42,2.37
Equity,Axis Bank,Banks,2.41,2.35,2.29,2.28,1.77,1.76,1.71,1.62,1.5,1.53,1.79
Equity,Eternal,E-Commerce/App based Aggregator,2.07,2.1,1.87,1.98,2.12,-,-,-,-,-,-
Equity,TVS Motor Co.,Automobile,1.77,1.87,1.92,1.83,1.8,1.68,1.69,1.71,1.72,1.41,1.45
Equity,Sun Pharma.Inds.,Pharmaceuticals,1.7,1.82,1.6,1.48,1.57,1.83,1.7,1.66,1.66,1.67,1.62
Equity,Varun Beverages,FMCG,1.69,1.38,1.45,1.52,1.53,1.41,1.35,1.26,1.39,1.37,1.07
Equity,Divi's Lab.,Pharmaceuticals,1.54,1.55,1.48,1.41,1.44,1.44,1.47,1.14,1.18,1.21,1.23
Equity,GE Vernova T&D,Capital Goods - Electrical Equipment,1.52,1.81,1.79,1.82,1.77,1.75,1.98,1.99,1.88,1.94,1.74
Equity,Tata Consumer,Plantation & Plantation Products,1.48,1.48,1.52,1.52,1.56,1.52,1.52,1.52,1.44,1.44,1.53
Equity,KEI Industries,Cables,1.4,1.33,1.49,1.18,1.27,1.17,1.15,1.19,1.12,1.13,1.1
Equity,Tech Mahindra,IT - Software,1.4,1.45,1.21,1.56,1.38,1.3,1.19,1.21,1.29,1.1,1.25
Equity,Multi Comm. Exc.,Financial Services,1.39,1.23,1.12,1.16,1.23,1.1,1.1,0.96,0.92,0.95,1.31
Equity,Uno Minda,Auto Ancillaries,1.39,1.42,1.46,1.5,1.58,1.59,1.67,1.94,2.18,1.84,1.92
Equity,Vishal Mega Mart,Retail,1.32,1.25,1.25,1.1,1.04,0.96,0.75,0.8,0.81,0.96,0.91
Equity,J K Cements,Cement,1.3,1.33,1.23,1.16,1.1,1.14,1.18,1.24,1.35,1.41,1.42
Equity,UltraTech Cem.,Cement,1.28,1.27,1.21,1.15,1.04,1.01,1.09,1.42,1.48,1.42,1.38
Equity,Max Healthcare,Healthcare,1.27,1.35,1.37,1.2,1.27,1.27,1.26,1.26,1.32,1.41,1.42
Equity,Indian Hotels Co,Hotels & Restaurants,1.25,1.24,1.29,1.31,1.39,1.38,1.39,1.39,1.47,1.39,1.02
Equity,Bharat Electron,Aerospace & Defence,1.19,1.43,1.67,1.77,1.67,1.7,1.77,1.87,1.72,1.7,1.98
Equity,NTPC,Power Generation & Distribution,1.18,1.28,1.4,1.31,1.2,1.18,1.26,1.61,1.83,1.85,1.83
Equity,PB Fintech.,IT - Software,1.18,1.11,1.03,1.03,1.1,1.11,1.1,1.08,1.03,1.0,0.88
Equity,Titan Company,"Diamond, Gems and Jewellery",1.13,1.48,1.48,1.37,1.35,1.29,1.24,1.15,1.25,1.15,1.24
Equity,Interglobe Aviat,Air Transport Service,1.13,1.14,1.24,1.19,1.27,1.46,1.41,1.44,1.46,1.52,1.5
Equity,CG Power & Ind,Capital Goods - Electrical Equipment,1.11,1.15,1.14,0.92,0.91,0.93,1.03,1.07,1.01,0.93,0.83
Equity,Tata Power Co.,Power Generation & Distribution,1.11,1.06,0.93999,0.91,0.92,0.93,0.98,0.97,0.93999,0.99,0.99
Equity,Solar Industries,Aerospace & Defence,1.08,0.92,0.77,0.74,0.63,0.49,0.23,0.23,-,-,-
Equity,Cholaman.Inv.&Fn,Finance,1.07,1.02,1.16,1.16,1.17,1.18,1.19,1.24,1.15,1.17,1.42
Equity,HDFC AMC,Finance,1.03,0.91,0.98,0.92,0.95,0.93999,0.95,1.01,1.0,1.03,1.07
Equity,Maruti Suzuki,Automobile,1.03,1.25,1.35,1.19,1.32,1.24,1.28,1.31,0.97,0.82,0.79
Equity,ITC,Tobacco Products,1.01,1.01,0.98,1.02,1.96,1.94,1.93,1.68,1.6,1.6,1.59
Equity,Trent,Retail,0.97,0.85,0.9,0.87,0.96,0.93999,0.96,0.99,1.12,1.06,1.29
