Positions Over Time - Helios Flexi Cap Fund - Direct (G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,Adani Ports,Marine Port & Services,4.39,4.1,4.13,4.03,3.43,3.68,3.94,4.05,2.97,3.07,3.46
Equity,HDFC Bank,Banks,4.35,5.72,4.59,4.78,5.11,5.59,5.32,5.8,5.8,6.41,6.79
Equity,Eternal,E-Commerce/App based Aggregator,3.86,3.94,3.42,3.97,3.55,-,-,-,-,-,-
Equity,ICICI Bank,Banks,3.78,4.25,4.49,4.62,4.58,5.1,4.11,4.02,4.61,5.02,5.01
Equity,Reliance Industr,Refineries,3.76,5.24,4.55,4.52,4.82,4.12,2.13,-,-,-,-
Equity,SBI,Banks,3.07,3.31,3.49,2.67,2.21,1.89,2.02,2.13,2.17,2.02,-
Equity,Bharti Airtel,Telecom-Service,2.88,3.2,2.58,2.83,3.03,2.92,3.18,2.96,2.47,-,-
Equity,Bharat Electron,Aerospace & Defence,2.79,2.69,2.77,2.92,1.97,2.19,2.53,2.5,2.27,2.29,2.69
Equity,Larsen & Toubro,Infrastructure Developers & Operators,2.73,2.8,2.9,2.79,1.93,1.42,-,-,-,-,-
Equity,One 97,E-Commerce/App based Aggregator,2.67,2.5,2.65,2.87,3.14,2.91,3.2,3.13,3.72,3.13,2.84
Equity,Bajaj Finance,Finance,2.52,2.54,2.92,2.6,2.51,2.31,2.6,2.81,2.74,2.68,3.04
Equity,Cummins India,Capital Goods-Non Electrical Equipment,2.29,1.93,1.95,1.49,1.61,1.75,1.89,1.42,1.09,1.07,1.1
Equity,Multi Comm. Exc.,Financial Services,2.29,2.16,2.05,1.89,2.08,1.42,1.46,1.39,1.14,1.26,1.56
Equity,Kotak Mah. Bank,Banks,2.11,2.28,2.48,2.55,2.5,1.72,1.9,2.04,2.12,2.28,2.42
Equity,Tata Motors,Automobile,2.04,1.77,1.55,-,-,-,-,-,-,-,-
Equity,ICICI AMC,Finance,2.01,2.02,2.07,2.07,0.87,-,-,-,-,-,-
Equity,Shriram Finance,Finance,2.0,2.19,2.51,2.24,2.19,1.23,1.21,1.12,1.17,1.35,1.62
Equity,Hero Motocorp,Automobile,1.88,1.94,2.03,2.06,2.15,2.03,2.03,2.27,1.48,-,-
Equity,BSE,Financial Services,1.82,0.97,-,-,-,-,-,-,-,-,-
Equity,Syrma SGS Tech.,Electronics,1.72,1.64,1.61,1.56,1.5,1.81,2.01,2.14,2.33,1.91,1.18
Equity,Phoenix Mills,Realty,1.7,0.99,1.01,1.06,1.18,0.82,0.89,0.93,1.0,1.05,0.62
Equity,Torrent Pharma.,Pharmaceuticals,1.59,1.89,1.8,1.47,1.02,1.06,1.13,1.29,1.42,1.08,1.05
Equity,Delhivery,Logistics,1.57,1.65,1.58,1.62,1.44,1.49,1.82,1.86,1.96,1.55,1.49
Equity,Ather Energy,Automobile,1.54,1.85,1.62,1.48,1.66,1.7,1.61,1.49,1.32,0.91,0.92
Equity,PB Fintech.,IT - Software,1.53,1.55,1.48,1.44,1.42,1.27,1.39,1.5,1.73,1.88,2.02
Equity,NTPC,Power Generation & Distribution,1.51,1.65,1.0,0.97,0.9,0.96,1.11,1.26,1.35,1.46,1.56
Equity,PNB Housing,Finance,1.42,1.21,1.22,1.27,1.47,1.51,1.73,1.82,1.42,1.67,2.01
Equity,Motil.Oswal.Fin.,Stock/ Commodity Brokers,1.37,1.28,1.35,1.47,1.67,1.56,1.77,1.83,1.95,2.2,1.96
Equity,Varun Beverages,FMCG,1.33,1.0,1.09,1.19,1.24,1.31,1.43,1.52,1.85,1.86,1.74
Equity,360 ONE,Stock/ Commodity Brokers,1.33,1.44,1.55,1.67,1.75,1.31,1.33,-,-,-,-
Equity,Fortis Health.,Healthcare,1.32,1.34,1.47,1.39,1.21,1.2,1.49,1.6,1.67,1.67,1.65
Equity,A B B,Capital Goods - Electrical Equipment,1.25,1.21,1.14,1.1,0.83,0.89,1.0,1.13,1.2,1.41,1.66
Equity,Hitachi Energy,Capital Goods - Electrical Equipment,1.24,1.06,1.03,0.79,0.19,0.25,0.23,0.26,0.3,0.34,0.36
Equity,GMR Airports,Miscellaneous,1.19,0.68999,-,-,-,-,-,-,-,-,-
Equity,Apollo Hospitals,Healthcare,1.17,1.34,1.31,0.82,0.83,0.93,1.09,1.19,1.35,1.42,1.46
Equity,Cholaman.Inv.&Fn,Finance,1.15,1.17,1.38,1.13,0.93,0.68999,0.76,0.81,0.79,0.86,1.03
Equity,Solar Industries,Aerospace & Defence,1.15,1.06,-,-,-,-,-,-,-,-,-
Equity,Titan Company,"Diamond, Gems and Jewellery",1.13,-,-,-,-,-,-,-,-,-,-
Equity,Physicswallah,Education,1.11,1.05,0.96,1.39,1.55,1.07,-,-,-,-,-
Equity,Jain Resource,Non Ferrous Metals,1.04,1.22,0.98,1.06,1.08,1.11,1.2,0.26,-,-,-
Equity,Adani Energy Sol,Power Generation & Distribution,1.03,0.84,0.84,0.78,0.9,0.93999,1.04,1.04,1.01,1.13,1.32
Equity,NBCC,Miscellaneous,1.01,0.88,0.98,1.09,1.34,1.1,1.23,1.27,1.29,0.93999,0.86
Equity,Marico,FMCG,0.98,1.1,1.09,1.05,1.08,1.12,1.25,1.37,-,-,-
Equity,Gokaldas Exports,Readymade Garments/ Apparells,0.97,0.93999,0.96,0.56,0.75,1.01,1.02,0.74,0.77,1.03,0.98
Equity,Axis Bank,Banks,0.92,-,-,-,-,-,-,-,-,-,1.68
Equity,Power Grid Corpn,Power Generation & Distribution,0.9,0.99,0.92,0.83,0.85,0.93999,1.12,1.23,1.34,1.51,1.66
Equity,Siemens Ener.Ind,Power Generation & Distribution,0.88,0.81,0.86,0.76,0.78,1.04,1.17,1.43,1.56,1.59,1.56
Equity,Lemon Tree Hotel,Hotels & Restaurants,0.84,0.85,0.89,0.71,0.87,0.93,1.09,1.12,1.09,1.04,1.04
Equity,Muthoot Finance,Finance,0.84,0.92,0.9,0.96,0.96,1.01,0.96,1.05,1.0,1.05,1.13
Equity,Cartrade Tech,Retail,0.83,0.99,1.0,1.54,1.64,1.93,2.11,1.94,2.1,2.04,1.69
Equity,DLF,Realty,0.83,0.84,0.93,1.02,1.11,1.25,1.46,1.56,1.79,2.02,2.3
Equity,HDFC AMC,Finance,0.77,0.74,0.83,0.81,0.86,0.93,1.04,1.21,1.32,1.46,1.43
Equity,Vishal Mega Mart,Retail,0.77,0.78,0.81,0.91,0.98,0.82,0.98,1.14,1.27,1.26,1.29
Equity,Bajaj Auto,Automobile,0.73,0.76,0.8,0.8,0.78,0.82,0.9,0.99,1.09,1.07,1.2
Equity,Indian Hotels Co,Hotels & Restaurants,0.71,0.75,0.81,0.86,0.93999,1.02,1.14,1.25,0.75,0.78,0.86
Equity,Swiggy,E-Commerce/App based Aggregator,0.68999,0.78,0.84,0.9,1.13,1.01,1.23,1.43,1.25,1.0,0.53
Equity,Indegene,Healthcare,0.67,0.68999,0.72,0.74,0.79,0.87,0.92,1.09,1.16,1.24,1.4
Equity,K P R Mill Ltd,Readymade Garments/ Apparells,0.6,0.62,0.62,0.63,0.68,0.84,0.93,1.05,1.08,1.32,1.41
Equity,Travel Food,Quick Service Restaurant,0.59,0.7,0.63,0.57,0.63,0.78,0.85,0.97,1.01,0.9,-
Equity,Aadhar Hsg. Fin.,Finance,0.39,0.42,0.4,0.44,0.44,0.47,0.55,0.63,0.68,0.73,-
Equity,ITC Hotels,Hotels & Restaurants,0.36,0.36,0.43,0.46,0.5,0.57,0.66,0.79,0.91,0.93999,0.97
Equity,Acutaas Chemical,Pharmaceuticals,0.31,0.36,0.28,0.26,0.23,0.27,0.29,-,-,-,-
Equity,Sedemac Mechatro,Electronics,0.28,0.27,-,-,-,-,-,-,-,-,-
Equity,V2 Retail,Retail,0.27,0.31,0.3,0.31,0.39,0.41,-,-,-,-,-
Equity,Saregama India,Entertainment,0.27,0.3,0.29,0.3,0.32,0.39,0.49,0.58,0.66,0.7,0.77
Equity,INDIA SHELTE FIN,Finance,0.22,0.25,0.22,0.25,0.25,0.3,0.34,0.37,0.45,0.46,-
Equity,St Bk of India,Banks,-,-,-,-,-,-,-,-,-,-,2.22
Equity,Westlife Food,Quick Service Restaurant,-,-,-,-,-,-,-,0.54,0.63,0.68,0.74
Equity,Urban Company,E-Commerce/App based Aggregator,-,-,-,-,-,0.1,0.26,0.31,-,-,-
Equity,360 ONE,Finance,-,-,-,-,-,-,-,1.43,1.57,1.73,2.09
Equity,Oswal Pumps,Capital Goods-Non Electrical Equipment,-,-,-,0.34,0.45,0.51,0.75,0.84,1.02,1.02,-
Equity,Bharti Airtel,Telecomm-Service,-,-,-,-,-,-,-,-,-,2.66,2.98
Equity,Eternal Ltd,E-Commerce/App based Aggregator,-,-,-,-,-,3.62,3.83,4.26,4.21,4.38,3.32
Equity,Glaxosmi. Pharma,Pharmaceuticals,-,-,-,-,0.35,0.39,0.45,0.51,0.6,0.72,0.82
Equity,H P C L,Refineries,-,-,2.83,2.88,3.37,2.58,2.99,2.29,2.15,2.55,2.84
Equity,HDFC Life Insur.,Insurance,-,-,-,-,-,-,-,0.66,0.74,0.77,0.89
Equity,Honeywell Auto,Electronics,-,-,-,-,0.49,0.56,0.65,0.73,0.86,0.92,0.67
Equity,REC Ltd,Finance,-,-,-,1.24,0.76,0.83,0.96,1.08,1.12,1.34,1.46
Equity,I O C L,Refineries,-,-,1.35,1.23,1.26,1.31,1.32,-,-,-,-
Equity,Interglobe Aviat,Air Transport Service,-,-,-,-,-,1.07,1.14,1.02,1.14,1.27,1.38
Equity,KPIT Technologi.,IT - Software,-,-,-,1.45,1.64,1.84,1.52,1.62,1.94,2.13,2.33
Equity,LG Electronics,Consumer Durables,-,-,-,-,0.74,0.87,0.98,-,-,-,-
Equity,Niva Bupa Health,Insurance,-,-,-,-,-,-,-,0.54,0.6,0.68999,0.68
Equity,Ola Electric,Automobile,-,-,-,-,0.71,0.87,1.19,1.52,2.09,1.48,-
Equity,ICICI Lombard,Insurance,-,-,-,-,0.81,0.88,0.99,0.73,0.79,0.88,0.99
Reverse Repo,TREPS,Debt Others,0.95,1.42,1.9,1.94,0.92,2.64,1.43,3.58,1.5,0.82,1.29
Net CA & Others,Net CA & Others,Debt Others,-0.21,-0.51,-0.14,-0.4,-0.25,-0.06,-0.74,-2.44,0.07,-0.1,-0.02
