Positions Over Time - Invesco India Flexi Cap Fund - Direct (G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,ICICI Bank,Banks,5.43,5.06,5.2,5.21,5.01,5.23,5.27,5.78,6.54,7.42,7.54
Equity,Larsen & Toubro,Infrastructure Developers & Operators,4.61,3.51,3.84,3.61,3.63,3.66,3.35,2.99,3.05,2.51,2.41
Equity,HDFC Bank,Banks,3.78,5.47,5.96,6.37,6.59,3.71,3.89,4.1,4.48,5.08,5.91
Equity,Interglobe Aviat,Air Transport Service,3.15,3.31,3.33,3.24,3.46,3.97,3.76,4.0,3.76,3.99,4.03
Equity,Cholaman.Inv.&Fn,Finance,2.93,2.91,3.34,3.21,3.25,3.03,2.97,2.93,2.69,2.71,3.74
Equity,Max Healthcare,Healthcare,2.72,3.02,3.08,2.75,2.92,2.9,2.43,2.59,2.46,2.47,2.59
Equity,Sai Life,Pharmaceuticals,2.58,2.92,2.69,2.3,2.43,2.39,2.58,2.53,1.93,1.52,1.53
Equity,Bajaj Finance,Finance,2.56,2.51,2.24,2.13,2.2,2.08,2.24,2.35,2.25,2.17,1.84
Equity,Titan Company,"Diamond, Gems and Jewellery",2.52,2.61,2.56,2.4,1.56,0.73,-,-,-,-,-
Equity,BSE,Financial Services,2.51,2.12,2.01,2.12,1.93,2.15,1.96,1.24,1.68,1.65,1.85
Equity,Multi Comm. Exc.,Financial Services,2.38,2.2,2.11,2.23,1.91,1.74,2.12,1.48,1.47,1.44,2.07
Equity,Trent,Retail,2.22,2.02,2.15,2.81,3.08,3.09,3.39,3.47,4.04,3.86,3.9
Equity,PB Fintech.,IT - Software,2.17,2.14,1.99,2.27,2.43,2.44,1.89,1.74,1.43,1.56,1.45
Equity,Eternal,E-Commerce/App based Aggregator,2.16,2.86,2.76,3.71,3.66,-,-,-,-,-,-
Equity,AU Small Finance,Banks,2.11,2.01,2.05,2.15,2.11,2.05,0.34,-,-,-,-
Equity,HDFC AMC,Finance,1.98,1.86,2.03,1.93,1.99,1.95,1.88,2.12,1.87,2.0,1.48
Equity,TVS Motor Co.,Automobile,1.85,2.04,2.11,2.05,2.01,1.93,2.51,2.69,2.8,2.12,2.32
Equity,Tata Motors,Automobile,1.84,2.04,1.07,0.7,0.61,-,-,-,-,-,-
Equity,L&T Finance Ltd,Finance,1.8,1.77,1.88,1.94,2.07,1.63,1.5,1.52,1.57,1.41,1.03
Equity,Bharti Airtel,Telecom-Service,1.76,1.91,-,-,-,-,-,-,-,-,-
Equity,Aditya Infotech,Electronics,1.74,1.76,1.5,0.93,0.97,0.68,-,-,-,-,-
Equity,Prestige Estates,Realty,1.68,1.54,1.71,1.83,1.94,2.05,1.76,1.21,1.12,1.24,1.23
Equity,M & M,Automobile,1.67,1.83,1.89,1.95,2.04,2.09,2.07,2.23,2.4,2.49,2.01
Equity,Krishna Institu.,Healthcare,1.63,1.74,1.87,1.55,1.52,1.55,1.44,1.44,1.47,1.57,1.01
Equity,Hind.Aeronautics,Aerospace & Defence,1.51,1.39,1.4,1.35,1.25,1.3,1.43,1.59,1.37,1.14,1.28
Equity,Persistent Syste,IT - Software,1.51,1.76,1.53,1.99,2.01,2.06,1.91,1.54,-,-,-
Equity,Coforge,IT - Software,1.43,1.52,1.46,2.07,2.02,2.34,2.19,2.06,2.03,2.06,2.25
Equity,Swiggy,E-Commerce/App based Aggregator,1.42,1.56,1.63,1.7,2.06,2.04,1.81,1.67,1.5,1.58,1.55
Equity,KEI Industries,Cables,1.41,1.34,1.51,1.14,1.22,1.15,1.19,1.09,0.97,0.98,-
Equity,J K Cements,Cement,1.4,1.55,1.55,1.54,1.5,1.57,1.55,1.73,1.95,2.01,1.94
Equity,Global Health,Healthcare,1.38,1.36,1.45,1.37,1.5,1.59,1.39,1.53,1.53,1.56,1.35
Equity,Vishal Mega Mart,Retail,1.37,1.35,1.36,0.96,1.01,1.02,1.04,1.18,1.29,1.29,1.22
Equity,Apollo Hospitals,Healthcare,1.34,1.49,1.41,1.28,1.26,1.32,1.48,1.48,1.5,1.51,1.46
Equity,Ather Energy,Automobile,1.3,1.48,1.26,1.12,1.32,1.07,-,-,-,-,-
Equity,Belrise Industri,Auto Ancillaries,1.28,1.11,0.6,-,-,-,-,-,-,-,-
Equity,Bharat Electron,Aerospace & Defence,1.26,1.34,1.34,1.38,1.19,1.1,1.21,1.26,1.26,1.15,1.74
Equity,Phoenix Mills,Realty,1.24,0.73,0.72,0.53,0.57,-,-,-,-,-,-
Equity,Dixon Technolog.,Consumer Durables,1.12,1.11,1.08,1.1,1.23,1.36,2.08,2.4,2.53,2.48,2.0
Equity,Nuvama Wealth,Stock/ Commodity Brokers,1.09,1.1,1.06,1.16,1.24,1.01,0.93999,0.74,-,-,-
Equity,Polycab India,Cables,1.02,0.55,-,-,-,-,-,-,-,-,-
Equity,Home First Finan,Finance,1.01,0.91,0.97,1.08,0.98,1.0,1.15,1.14,1.12,1.05,1.52
Equity,FSN E-Commerce,E-Commerce/App based Aggregator,1.0,0.49,0.5,-,-,-,-,-,-,-,-
Equity,Blue Star,Consumer Durables,0.98,1.02,1.1,1.05,0.97,0.92,0.92,0.98,0.98,0.91,-
Equity,Hexaware Tech.,IT - Software,0.98,1.07,1.07,1.61,1.71,1.71,1.66,1.77,1.49,1.48,1.68
Equity,Anand Rathi Wea.,Finance,0.93,0.9,0.82,0.79,0.82,-,-,-,-,-,-
Equity,Dr Agarwal's Hea,Healthcare,0.92,0.96,0.96,0.93999,1.07,1.13,1.15,1.26,0.93999,-,-
Equity,Tech Mahindra,IT - Software,0.92,0.99,0.87,1.14,1.01,-,-,-,-,-,-
Equity,Knowledge Marine,Ship Building,0.92,0.87,0.34,0.39,-,-,-,-,-,-,-
Equity,Jubilant Food.,Quick Service Restaurant,0.78,0.81,0.87,0.85,0.92,1.0,1.07,1.21,1.19,1.24,0.88
Equity,Uno Minda,Auto Ancillaries,0.77,0.81,0.84,0.85,0.9,0.93,1.23,1.27,1.61,1.41,1.49
Equity,T R I L,Capital Goods - Electrical Equipment,0.75,-,-,-,-,-,-,-,-,-,-
Equity,HCL Technologies,IT - Software,0.75,0.96,0.89,0.67,-,-,-,-,-,-,-
Equity,Zensar Tech.,IT - Software,0.67,0.77,0.76,0.9,0.93999,0.65,0.74,0.64,0.54,0.61,-
Equity,Max Estates,Realty,0.62,0.56,0.66,0.65,0.73,0.8,0.76,0.8,0.76,0.89,0.97
Equity,Ethos,Retail,0.61,0.64,0.64,0.68,0.77,-,-,-,-,-,-
Equity,Cohance Life,Pharmaceuticals,0.6,0.36,0.33,0.42,0.56,0.61,0.86,1.11,0.58,0.7,0.71
