Positions Over Time - LIC MF Flexi Cap Fund - Direct (G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,ICICI Bank,Banks,6.55,-,-,-,-,-,-,-,-,-,-
Equity,Axis Bank,Banks,4.07,2.34,2.49,2.44,2.15,2.33,2.15,2.05,1.94,1.96,2.2
Equity,Bharti Airtel,Telecom-Service,3.76,2.07,1.95,2.02,0.95,0.93999,0.92,0.87,0.9,-,-
Equity,Navin Fluo.Intl.,Chemicals,3.56,2.13,1.94,1.96,1.81,1.92,1.9,1.61,1.67,1.78,1.7
Equity,SBI,Banks,3.52,1.26,1.38,1.32,1.33,1.31,1.53,1.48,1.39,2.06,-
Equity,Larsen & Toubro,Infrastructure Developers & Operators,3.46,1.81,1.98,2.06,2.03,2.19,2.17,2.05,2.07,0.85,0.86
Equity,Apollo Hospitals,Healthcare,3.1,2.77,2.61,2.3,2.03,2.08,2.19,2.2,2.31,1.1,-
Equity,Maruti Suzuki,Automobile,3.0,1.75,1.89,1.84,2.0,1.88,1.91,1.98,1.86,2.03,2.0
Equity,Torrent Pharma.,Pharmaceuticals,2.89,3.17,2.91,2.88,2.66,2.54,2.43,2.17,1.99,1.28,1.17
Equity,Ujjivan Small,Banks,2.87,2.3,2.36,2.63,2.03,2.06,1.96,1.83,0.71,-,-
Equity,Interglobe Aviat,Air Transport Service,2.87,2.15,2.35,2.22,2.32,2.67,2.18,2.26,1.95,1.52,1.54
Equity,J K Cements,Cement,2.8,-,-,-,-,-,-,-,-,-,-
Equity,Sun Pharma.Inds.,Pharmaceuticals,2.69,-,-,-,-,-,-,-,-,-,-
Equity,Max Financial,Miscellaneous,2.64,0.49,0.53,0.48,-,-,-,-,-,-,-
Equity,Hitachi Energy,Capital Goods - Electrical Equipment,2.59,-,-,-,-,-,-,-,-,-,-
Equity,Phoenix Mills,Realty,2.36,-,-,-,-,-,-,-,-,-,-
Equity,Syrma SGS Tech.,Electronics,2.24,1.23,1.17,1.24,1.13,1.25,1.24,1.22,1.23,1.88,1.19
Equity,ITC Hotels,Hotels & Restaurants,2.2,-,-,-,-,-,-,-,-,-,-
Equity,Multi Comm. Exc.,Financial Services,2.2,-,-,-,-,-,-,-,-,-,-
Equity,Aditya Birla Cap,Finance,2.09,0.52,0.55,0.17,-,-,-,-,0.84,0.77,0.83
Equity,Uno Minda,Auto Ancillaries,2.07,-,-,-,-,-,-,-,-,-,-
Equity,Shriram Finance,Finance,2.05,1.4,1.55,2.3,2.13,1.8,2.67,2.64,2.54,2.18,2.11
Equity,Va Tech Wabag,Infrastructure Developers & Operators,2.05,2.19,2.14,2.0,2.29,2.36,2.46,2.6,2.7,2.91,2.72
Equity,CreditAcc. Gram.,Finance,2.03,2.58,2.52,2.62,2.48,2.57,2.74,2.71,2.37,2.09,1.94
Equity,One 97,E-Commerce/App based Aggregator,2.02,1.7,1.75,1.69,1.83,1.84,1.82,1.63,1.21,0.77,-
Equity,Coforge,IT - Software,1.92,-,-,-,-,-,-,-,-,-,-
Equity,Samvardh. Mothe.,Auto Ancillaries,1.9,-,-,0.15,-,-,-,-,-,-,-
Equity,Motil.Oswal.Fin.,Stock/ Commodity Brokers,1.73,1.26,1.29,1.23,1.32,1.47,1.21,0.53,0.52,-,-
Equity,Apar Inds.,Capital Goods - Electrical Equipment,1.59,0.61,0.62,0.51,0.51,0.55,-,-,-,-,-
Equity,Marico,FMCG,1.49,-,-,-,-,-,-,-,-,-,-
Equity,Allied Blenders,Alcoholic Beverages,1.46,2.27,2.39,2.42,2.9,3.05,3.2,2.55,2.6,2.62,2.91
Equity,Tata Power Co.,Power Generation & Distribution,1.44,-,-,-,-,-,-,-,-,0.97,2.7
Equity,Tata Motors,Automobile,1.4,0.61,0.7,0.81,0.49,0.41,-,-,-,-,-
Equity,Radico Khaitan,Alcoholic Beverages,1.34,-,-,-,-,-,-,-,-,-,-
Equity,Tata Consumer,Plantation & Plantation Products,1.31,1.27,1.27,1.25,1.25,1.22,1.21,1.22,1.18,1.17,1.2
Equity,Oracle Fin.Serv.,IT - Software,1.23,0.93,0.85,0.95,0.89,0.93,-,-,-,-,-
Equity,Avalon Tech,Consumer Durables,1.18,1.13,1.11,0.93,0.9,0.98,1.21,1.2,1.01,1.02,1.02
Equity,CSB Bank,Banks,1.11,0.83,0.92,1.0,1.65,1.47,1.47,1.38,1.38,1.58,1.48
Equity,Navkar Corporat.,Logistics,0.88,1.17,1.32,1.34,1.31,1.3,1.54,1.65,1.63,1.82,1.51
Equity,Arvind Fashions.,Retail,0.34,-,-,-,-,-,-,-,-,-,-
Equity,Piramal Finance.,Finance,-,-,0.83,0.83,0.74,0.32,-,-,-,-,-
Equity,Tata Technolog.,IT - Software,-,-,-,-,-,-,1.19,1.2,1.2,1.27,1.29
Equity,Page Industries,Readymade Garments/ Apparells,-,-,-,-,-,-,-,-,-,2.25,2.27
Equity,P I Industries,Agro Chemicals,-,-,-,-,0.53,0.35,0.37,0.38,0.41,-,-
Equity,Orkla India,FMCG,-,0.24,0.22,0.18,0.12,0.05,-,-,-,-,-
Equity,Suprajit Engg.,Auto Ancillaries,-,0.46,0.45,0.46,0.26,0.26,0.24,-,-,-,-
Equity,Team Lease Serv.,Miscellaneous,-,-,-,-,-,-,-,-,-,0.81,0.9
Equity,Muthoot Finance,Finance,-,0.88,0.9,1.02,0.96,1.5,1.28,1.29,1.13,-,-
Equity,Tech Mahindra,IT - Software,-,1.16,1.02,1.29,1.45,1.37,1.29,1.32,1.43,1.39,1.61
Equity,Mrs Bectors,FMCG,-,0.85,0.89,0.68,0.67,0.38,-,-,-,-,-
Equity,Mphasis,IT - Software,-,1.79,1.79,2.13,2.05,2.04,2.0,1.62,1.74,1.72,1.75
Equity,Titan Company,"Diamond, Gems and Jewellery",-,-,-,-,-,0.79,0.85,0.28,0.96,0.87,0.97
Equity,Metro Brands,Leather,-,0.74,0.79,0.77,0.74,0.71,0.68,0.81,0.73,-,-
Equity,Transrail Light,Infrastructure Developers & Operators,-,-,-,-,-,-,-,-,1.54,1.72,2.4
Equity,Vinati Organics,Chemicals,-,1.35,1.34,1.37,1.36,1.33,0.82,0.56,-,-,-
Equity,OneSource Speci.,Pharmaceuticals,-,1.18,0.96,0.71,1.02,0.84,1.0,0.61,0.64,-,-
Equity,Tata Steel,Steel,-,-,0.43,0.47,-,-,-,-,-,-,-
Equity,Quality Power El,Capital Goods - Electrical Equipment,-,-,-,-,-,-,-,-,-,-,0.64
Equity,Praveg,Hotels & Restaurants,-,-,-,-,-,0.39,0.76,1.16,1.29,1.65,1.84
Equity,Suraj Estate,Realty,-,-,-,-,-,-,-,-,0.15,0.52,0.79
Equity,Sundram Fasten.,Auto Ancillaries,-,-,0.48,0.51,0.19,-,-,-,-,-,-
Equity,Suzlon Energy,Capital Goods - Electrical Equipment,-,-,-,-,0.82,0.83,0.91,0.88,0.93,1.0,1.1
Equity,Syngene Intl.,Healthcare,-,-,-,-,-,0.64,0.64,0.79,0.81,0.91,0.82
Equity,Star Cement,Cement,-,-,0.13,0.14,-,-,-,-,-,-,-
Equity,St Bk of India,Banks,-,-,-,-,-,-,-,-,-,-,2.12
Equity,South Ind.Bank,Banks,-,-,-,0.35,1.39,1.42,1.32,1.08,0.97,-,-
Equity,Shyam Metalics,Steel,-,-,-,0.3,-,-,-,-,-,-,-
Equity,TCS,IT - Software,-,0.61,0.61,0.71,0.68999,-,-,0.32,0.35,0.34,0.39
Equity,Senco Gold,"Diamond, Gems and Jewellery",-,-,-,-,-,-,-,0.74,0.81,0.68,0.75
Equity,Schaeffler India,Bearings,-,0.41,0.42,0.47,-,-,-,-,-,-,-
Equity,Sanathan Textile,Textiles,-,-,-,-,-,-,-,-,-,0.63,1.68
Equity,SRF,Chemicals,-,2.32,2.18,2.14,2.22,2.09,1.22,0.87,-,-,-
Equity,SKF India Indus.,Bearings,-,-,-,-,0.03,-,-,-,-,-,-
Equity,SEAMEC Ltd,Miscellaneous,-,-,-,-,-,-,-,-,0.78,1.17,1.37
Equity,SBI Life Insuran,Insurance,-,0.24,0.24,-,-,-,-,-,-,-,-
Equity,S P Apparels,Textiles,-,0.68999,0.64,0.6,0.6,0.66,0.62,0.64,0.37,0.59,0.61
Equity,Ramkrishna Forg.,"Castings, Forgings & Fastners",-,-,-,-,-,-,-,-,-,-,1.91
Equity,Tata Motors PVeh,Automobile,-,0.5,0.58,-,-,-,-,-,-,-,-
