Positions Over Time - Motilal Oswal Flexi Cap Fund-Dir(G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,Kalyan Jewellers,"Diamond, Gems and Jewellery",7.363642,7.33256,7.24811,6.11154,7.02914,8.29748,8.36495,7.5416,7.37099,8.6649,7.20129
Equity,CG Power & Ind,Capital Goods - Electrical Equipment,6.432876,6.77898,7.05189,5.5545,5.5523,5.6418,6.17339,6.83341,6.34444,6.50768,6.01445
Equity,Eternal,E-Commerce/App based Aggregator,5.319719,5.48364,6.20968,6.74634,5.52106,-,-,-,-,-,-
Equity,Coforge,IT - Software,5.274188,5.7806,6.35793,9.41083,8.99757,10.00196,8.52328,9.39071,10.08414,10.19618,11.25437
Equity,Bharti Airtel,Telecom-Service,5.171306,6.10449,-,4.4811,4.5569,4.40512,-,-,-,-,-
Equity,Persistent Systems,IT - Software,4.556254,-,-,-,-,-,-,-,-,-,-
Equity,Shriram Finance,Finance,4.132981,3.26899,-,-,-,-,-,-,-,-,-
Equity,Waaree Energies,Capital Goods - Electrical Equipment,4.054709,4.42061,2.90517,-,-,-,-,-,-,-,-
Equity,Larsen & Toubro,Infrastructure Developers & Operators,4.040984,3.38731,3.319,2.98353,2.94581,2.8434,2.81503,2.69961,2.63244,2.64923,2.64133
Equity,ICICI Bank,Banks,3.860882,5.03089,5.7581,6.5367,6.15474,2.42538,2.3483,2.48589,2.55408,2.6975,2.60101
Equity,Ather Energy,Automobile,3.805662,3.35612,0.9949,-,-,-,-,-,-,-,-
Equity,Multi Comm. Exc.,Financial Services,3.723077,3.32001,3.07595,-,-,-,-,-,-,-,-
Equity,IndusInd Bank,Banks,3.608707,2.84062,3.27255,-,-,-,-,-,-,-,-
Equity,Apollo Hospitals,Healthcare,3.026151,3.21454,0.49023,-,-,-,-,-,-,-,-
Equity,SBI,Banks,2.83396,2.84039,3.15766,-,-,-,-,-,-,-,-
Equity,HDFC AMC,Finance,2.819143,-,-,-,-,-,-,-,-,-,-
Equity,Bharat Electron,Aerospace & Defence,2.771867,2.81537,2.69267,1.33473,0.865,0.5642,0.58359,-,-,-,-
Equity,Piramal Finance.,Finance,2.750926,2.76089,-,-,-,-,-,-,-,-,-
Equity,Polycab India,Cables,2.650262,2.4451,3.45538,2.66065,6.53131,7.63867,8.28878,10.14015,10.36748,9.93834,9.43013
Equity,PG Electroplast,Consumer Durables,2.601224,2.3125,2.70096,2.07777,2.07509,1.445,1.39556,1.29709,1.36399,2.05412,1.90276
Equity,Suzlon Energy,Capital Goods - Electrical Equipment,2.456583,-,-,-,-,-,-,-,-,-,0.61609
Equity,Ashok Leyland,Automobile,2.368701,-,-,-,-,-,-,-,-,-,-
Equity,Interglobe Aviat,Air Transport Service,2.36286,2.2693,-,-,-,-,-,-,-,-,-
Equity,Samvardh. Mothe.,Auto Ancillaries,2.28204,-,-,-,-,-,-,-,-,-,-
Equity,OneSource Speci.,Pharmaceuticals,2.202133,0.78248,-,-,-,-,-,-,-,-,-
Equity,Radico Khaitan,Alcoholic Beverages,1.752586,-,-,-,-,-,-,-,-,-,-
Equity,Aditya Infotech,Electronics,1.687468,-,-,-,-,-,-,-,-,-,-
Equity,Siemens,Capital Goods - Electrical Equipment,1.370952,0.30895,-,-,-,-,-,-,-,-,-
Equity,ICICI AMC,Finance,1.00975,-,-,-,-,-,-,-,-,-,-
Equity,Reliance Industr,Refineries,-,2.76318,2.13398,2.08932,2.23566,-,-,-,-,-,-
Equity,Physicswallah,Education,-,-,0.14168,0.25771,0.27243,0.49625,-,-,-,-,-
Equity,Siemens Ener.Ind,Power Generation & Distribution,-,-,-,-,-,-,4.44941,5.49978,6.16789,5.89711,5.24872
