Positions Over Time - Navi Flexi Cap Fund - Direct (G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,ICICI Bank,Banks,4.27,4.57,4.65,4.72,4.49,4.6,4.5,4.68,4.89,5.11,4.86
Equity,Axis Bank,Banks,4.12,4.23,4.48,4.58,4.08,4.07,3.96,3.77,3.51,3.54,3.87
Equity,HDFC Bank,Banks,3.9,4.14,4.47,4.83,4.95,6.0,5.93,6.87,6.92,7.24,6.99
Equity,Usha Martin,Steel,3.05,2.97,2.82,2.85,3.04,2.84,3.11,3.19,2.67,2.6,2.46
Equity,Kotak Mah. Bank,Banks,3.03,3.13,3.27,3.32,2.93,2.8,2.8,2.75,2.22,2.21,2.35
Equity,Varun Beverages,FMCG,2.56,2.14,2.24,2.41,2.41,2.35,2.31,2.27,2.51,2.65,2.26
Equity,Sansera Enginee.,Auto Ancillaries,2.51,2.32,2.33,3.57,3.31,3.43,2.99,2.82,2.62,2.72,2.74
Equity,Samvardh. Mothe.,Auto Ancillaries,2.38,2.31,2.61,2.28,2.33,2.24,2.05,2.13,1.88,1.94,2.01
Equity,Reliance Industr,Refineries,2.36,2.49,2.3,2.37,2.57,2.54,2.43,2.32,2.32,2.34,2.46
Equity,SJS Enterprises,Auto Ancillaries,2.33,2.24,2.26,2.21,2.16,1.63,1.57,1.46,1.31,1.23,1.25
Equity,BLS Internat.,IT - Software,2.32,2.2,2.32,2.21,2.65,2.7,2.6,2.76,2.13,1.15,1.09
Equity,Rainbow Child.,Healthcare,2.31,2.41,1.21,1.19,1.33,1.35,1.38,1.42,1.01,1.02,-
Equity,Fiem Industries,Auto Ancillaries,2.22,2.18,1.67,1.72,1.72,0.73,0.67,0.64,0.71,1.28,1.25
Equity,Bharti Airtel,Telecom-Service,2.14,2.27,2.12,2.3,2.36,2.34,2.81,2.67,2.7,-,-
Equity,Astral,Plastic products,2.14,2.51,2.33,2.13,1.93,1.98,2.01,1.97,1.97,2.0,2.1
Equity,Yash Highvoltage,Capital Goods - Electrical Equipment,1.98,1.66,1.62,1.46,1.42,1.72,0.97,-,-,-,-
Equity,CreditAcc. Gram.,Finance,1.95,1.95,1.89,2.05,1.89,1.96,2.11,2.08,2.17,1.91,1.8
