Positions Over Time - Nippon India Flexi Cap Fund - Direct (G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,HDFC Bank,Banks,6.3,6.05,6.34,6.51,6.85,6.94,6.32,6.3,6.41,6.76,6.6
Equity,ICICI Bank,Banks,5.56,5.97,5.29,5.08,4.41,4.54,4.0,4.45,4.7,4.95,5.29
Equity,Reliance Industr,Refineries,4.05,4.27,3.68,3.72,4.02,3.99,3.81,3.13,3.17,3.23,3.43
Equity,Axis Bank,Banks,4.0,4.12,4.37,4.37,3.88,3.9,3.26,2.85,2.4,2.43,2.69
Equity,Larsen & Toubro,Infrastructure Developers & Operators,2.79,2.73,2.97,2.76,3.26,3.51,3.5,3.29,3.29,3.3,3.28
Equity,Bajaj Finance,Finance,2.58,2.48,2.75,2.59,2.64,2.76,2.8,2.77,2.48,2.47,2.58
Equity,M & M,Automobile,2.46,2.57,2.56,2.61,2.71,2.73,2.55,2.59,2.46,2.45,2.05
Equity,SBI,Banks,2.19,1.9,2.08,1.89,1.56,1.54,1.49,1.43,1.34,1.32,-
Equity,Bharti Airtel,Telecom-Service,2.02,2.15,2.02,2.13,2.19,2.18,2.14,1.62,1.65,-,-
Equity,NTPC,Power Generation & Distribution,1.95,2.04,1.87,1.76,1.56,1.54,1.6,1.67,1.64,1.66,1.64
Equity,Jindal Steel,Steel,1.78,1.82,1.48,1.36,1.1,1.09,1.12,1.02,0.9,0.92,0.7
Equity,Samvardh. Mothe.,Auto Ancillaries,1.68,1.63,1.85,1.58,1.61,1.55,1.42,1.47,1.18,1.23,1.29
Equity,Mankind Pharma,Pharmaceuticals,1.66,1.67,1.66,1.59,1.58,1.23,1.32,1.39,1.44,1.48,1.32
Equity,Eternal,E-Commerce/App based Aggregator,1.58,1.65,1.21,1.36,1.32,-,-,-,-,-,-
Equity,Kaynes Tech,Consumer Durables,1.54,1.46,1.47,1.34,1.32,0.93999,1.16,1.26,1.11,1.11,1.08
Equity,Siemens Ener.Ind,Power Generation & Distribution,1.52,1.33,1.36,1.16,1.02,0.82,0.83,0.92,0.92,0.88,0.8
Equity,Hind.Aeronautics,Aerospace & Defence,1.49,1.35,1.35,1.46,1.33,1.37,1.42,1.49,1.38,1.24,1.31
Equity,Radico Khaitan,Alcoholic Beverages,1.48,1.27,1.14,1.23,1.41,1.36,1.34,1.28,1.28,1.22,1.15
Equity,Maruti Suzuki,Automobile,1.48,1.54,2.26,2.43,2.67,2.53,2.59,2.65,2.26,1.92,1.86
Equity,Kirloskar Oil,Capital Goods-Non Electrical Equipment,1.45,1.82,1.69,1.44,1.44,1.32,1.18,1.12,1.12,1.12,1.04
Equity,Avenue Super.,Retail,1.37,1.33,1.15,1.12,1.1,1.16,1.21,1.35,1.12,0.84,0.85
Equity,Varun Beverages,FMCG,1.36,1.42,1.48,1.57,1.56,1.53,1.5,1.47,1.64,1.75,1.5
Equity,Swiggy,E-Commerce/App based Aggregator,1.34,1.33,1.38,1.43,1.35,0.83,0.91,0.97,0.76,0.75,0.51
Equity,Interglobe Aviat,Air Transport Service,1.33,1.38,1.34,1.29,1.37,1.4,1.35,1.38,1.42,1.48,1.47
Equity,B H E L,Capital Goods - Electrical Equipment,1.33,1.19,1.14,1.14,1.2,1.48,1.36,1.26,1.12,1.28,1.4
Equity,Aditya AMC,Finance,1.25,1.21,1.1,0.95,0.96,0.87,0.91,0.98,1.05,1.07,0.98
Equity,ITC,Tobacco Products,1.23,1.27,1.23,1.28,1.53,1.53,1.6,1.58,-,-,-
Equity,Vedanta Aluminiu,Other,1.19,-,-,-,-,-,-,-,-,-,-
Equity,J B Chemicals &,Pharmaceuticals,1.16,1.32,1.17,1.07,1.0,0.97,0.93,0.98,1.0,1.02,0.95
Equity,SBI Life Insuran,Insurance,1.13,1.45,1.48,1.62,1.58,1.7,1.71,1.62,1.66,1.68,1.65
Equity,Trent,Retail,1.1,0.76,0.8,0.79,0.86,0.85,0.93999,0.97,1.37,1.29,1.57
Equity,Tech Mahindra,IT - Software,1.08,1.14,1.0,1.3,1.14,1.08,1.02,1.04,1.12,1.1,1.24
Equity,Kotak Mah. Bank,Banks,1.08,1.12,1.17,1.16,1.2,1.16,1.15,1.13,0.86,0.86,-
Equity,UltraTech Cem.,Cement,1.06,1.1,1.16,1.17,1.61,1.58,1.63,1.73,1.82,1.75,1.7
Equity,Coforge,IT - Software,1.05,1.1,0.6,0.84,0.81,0.75,0.7,0.65,0.71,0.62,0.41
Equity,Lupin,Pharmaceuticals,1.05,1.19,1.05,1.0,0.93,0.92,0.87,0.88,0.89,0.9,0.89
Equity,H P C L,Refineries,1.03,1.04,1.21,1.19,1.33,1.22,1.27,1.23,1.06,1.17,1.21
Equity,Tata Motors,Automobile,1.03,1.12,1.27,1.17,1.02,0.86,-,0.48,0.49,0.48,0.49
Equity,Bharti Hexacom,Telecom-Service,0.98,1.09,1.04,1.01,1.14,1.1,1.17,1.08,1.17,-,-
Equity,Infosys,IT - Software,0.96,1.75,3.06,3.9,3.68,3.85,3.69,3.71,3.84,2.77,2.89
Equity,Tube Investments,Capital Goods-Non Electrical Equipment,0.95,0.91,0.89,0.51,0.41,0.43,0.47,0.5,0.49,0.47,0.5
Equity,Godrej Consumer,FMCG,0.92,0.96,1.06,1.01,1.03,0.96,0.93999,1.02,1.1,1.11,1.02
Equity,Voltas,Consumer Durables,0.9,0.9,0.73,0.63,0.62,0.74,0.89,0.9,0.93,-,-
Equity,Vishal Mega Mart,Retail,0.89,0.86,0.86,0.93,0.96,0.95,1.02,1.09,1.11,1.03,0.97
Equity,NTPC Green Ene.,Power Generation & Distribution,0.85,0.68999,0.6,0.58,0.61,0.61,0.67,0.65,0.67,0.22,0.1
Equity,Vedanta,Non Ferrous Metals,0.84,2.29,-,-,-,-,-,-,-,-,-
Equity,Cholaman.Inv.&Fn,Finance,0.81,0.49,0.55,0.53,0.53,0.53,0.53,0.52,0.46,0.47,0.52
Equity,Devyani Intl.,Quick Service Restaurant,0.8,0.68,0.82,0.75,0.92,0.84,1.01,1.08,1.14,1.06,1.08
Equity,Crompton Gr. Con,Consumer Durables,0.8,0.73,0.75,0.65,0.71,0.75,0.8,0.86,0.99,0.54,0.58
Equity,Asian Paints,Paints/Varnish,0.79,-,-,-,-,-,-,-,-,-,-
Equity,Dr Reddy's Labs,Pharmaceuticals,0.78,0.83,0.76,0.73,0.73,0.72,0.68999,0.46,0.49,0.49,0.48
Equity,Delhivery,Logistics,0.78,0.78,0.72,0.71,0.66,0.68999,0.76,0.76,0.8,0.73,0.64
Equity,LTM,IT - Software,0.75,-,-,-,-,-,-,-,-,-,-
Equity,Whirlpool India,Consumer Durables,0.71,0.64,0.66,0.56,0.63,0.7,0.92,0.81,0.9,0.92,0.46
Equity,Dixon Technolog.,Consumer Durables,0.7,0.58,0.56,0.56,0.63,0.26,0.28,0.3,0.31,0.31,0.27
Equity,PB Fintech.,IT - Software,0.68999,0.57,0.52,0.18,0.19,0.19,0.19,0.18,0.19,0.2,0.2
Equity,Aptus Value Hou.,Finance,0.63,-,-,-,-,-,-,-,-,-,-
Equity,Coal India,Mining & Mineral products,0.62,0.65,-,-,-,-,-,1.1,1.07,1.07,1.1
Equity,Siemens,Capital Goods - Electrical Equipment,0.61,0.53,0.55,0.5,0.47,0.51,0.48,0.5,0.5,0.49,0.52
Equity,IndusInd Bank,Banks,0.59,0.55,0.62,0.58,-,-,-,-,-,-,1.1
Equity,Mphasis,IT - Software,0.58,0.58,0.58,0.71,0.68999,0.68999,0.68,0.68,0.72,0.72,0.72
Equity,Happy Forgings,"Castings, Forgings & Fastners",0.58,0.55,0.57,0.46,0.48,0.43,0.42,0.39,0.39,0.41,0.41
Equity,Finolex Cables,Cables,0.56,0.49,0.68999,0.56,0.56,0.55,0.58,0.63,0.64,0.68999,0.75
Equity,AU Small Finance,Banks,0.55,0.52,0.57,0.59,0.57,0.56,0.61,0.52,0.52,0.54,0.58
Equity,Zensar Tech.,IT - Software,0.55,0.62,0.6,0.7,0.73,0.77,0.82,0.82,0.84,0.87,0.9
Equity,One 97,E-Commerce/App based Aggregator,0.55,0.54,0.55,0.58,0.63,0.76,0.76,0.68,0.74,0.66,0.55
Equity,Info Edg.(India),E-Commerce/App based Aggregator,0.5,0.55,0.53,0.65,0.91,0.9,0.93999,0.92,0.97,-,-
Equity,Chola Financial,Finance,0.5,0.49,0.52,0.53,0.56,0.57,0.59,0.6,0.56,0.61,0.7
Equity,Apollo Hospitals,Healthcare,0.49,0.54,0.5,0.45,0.44,0.46,0.48,0.48,0.5,0.49,-
Equity,KFin Technolog.,Financial Services,0.48,0.06,0.05,0.06,0.56,0.54,0.57,0.56,0.55,0.48,0.59
Equity,Angel One,Stock/ Commodity Brokers,0.47,0.8,0.73,0.81,0.72,0.83,0.5,0.44,0.74,0.87,0.96
Equity,Electronics Mart,Retail,0.44,0.35,0.35,0.32,0.35,0.42,0.52,0.54,0.68999,0.7,0.82
Equity,Syngene Intl.,Healthcare,0.42,0.4,0.38,0.43,0.57,0.57,0.57,0.57,0.58,0.66,0.58
Equity,Medplus Health,Retail,0.42,0.46,0.41,0.39,0.38,0.38,0.36,0.37,0.42,0.46,0.44
Equity,Brigade Enterpr.,Realty,0.38,-,-,-,-,-,-,-,-,-,-
Equity,DLF,Realty,0.35,-,-,-,-,-,-,-,-,-,-
Equity,Tata Comm,Telecom-Service,0.32,0.31,0.33,0.33,0.39,0.39,0.41,-,-,-,-
Equity,CESC,Power Generation & Distribution,0.31,0.37,0.34,0.33,0.53,0.53,0.57,0.53,0.5,0.56,0.56
Equity,Cyient,IT - Software,0.29,0.28,0.31,0.39,0.21,0.21,0.22,0.23,0.24,0.24,0.25
Equity,Somany Ceramics,Ceramic Products,0.29,0.25,0.26,0.26,0.25,0.26,0.28,0.28,0.3,0.35,0.36
Equity,PG Electroplast,Consumer Durables,0.24,0.24,0.29,0.25,0.25,9.2e-05,-,-,-,-,-
Equity,LG Electronics,Consumer Durables,0.21,0.21,0.21,0.19,0.19,0.21,0.21,-,-,-,-
