Positions Over Time - Old Bridge Flexi Cap Fund - Direct (G)
Type,Name,Sector,31-May-26,30-Apr-26,31-Mar-26
Equity,Marksans Pharma,Pharmaceuticals,3.28,-,-
Equity,Star Health Insu,Insurance,3.02,2.45,1.54
Equity,DLF,Realty,3.0,2.87,1.76
Equity,Federal Bank,Banks,2.98,2.86,-
Equity,Axis Bank,Banks,2.92,2.74,2.74
Equity,Deepak Fertilis.,Chemicals,2.92,3.03,-
Equity,Guj. Ambuja Exp,FMCG,2.87,3.34,2.82
Equity,Shriram Finance,Finance,2.84,3.26,3.2
Equity,Hindalco Inds.,Non Ferrous Metals,2.81,2.99,1.93
Equity,Aurobindo Pharma,Pharmaceuticals,2.8,3.15,2.36
Equity,M & M,Automobile,2.76,3.25,1.81
Equity,Zydus Lifesci.,Pharmaceuticals,2.69,2.57,-
Equity,Go Digit General,Insurance,2.68,2.63,2.28
Equity,Interglobe Aviat,Air Transport Service,2.67,3.01,-
Equity,International Ge,Miscellaneous,2.63,2.27,1.99
Equity,Larsen & Toubro,Infrastructure Developers & Operators,2.61,2.97,1.84
Equity,Glenmark Pharma.,Pharmaceuticals,2.51,3.07,3.26
Equity,Tata Steel,Steel,2.51,2.95,1.93
Equity,Action Const.Eq.,Capital Goods-Non Electrical Equipment,2.46,2.85,-
Equity,M & M Fin. Serv.,Finance,2.46,2.91,-
Equity,Tata Motors PVeh,Automobile,2.46,2.46,1.81
Equity,Yatra Online,E-Commerce/App based Aggregator,2.36,2.11,-
Equity,Jubilant Food.,Quick Service Restaurant,2.28,2.32,1.29
Equity,Akums Drugs,Pharmaceuticals,2.26,2.73,-
Equity,RBL Bank,Banks,2.25,2.54,2.25
Equity,Avenue Super.,Retail,2.25,2.94,-
Equity,EPL Ltd,Packaging,2.18,2.67,-
Equity,Vardhman Textile,Textiles,2.16,2.65,-
Equity,NCC,Infrastructure Developers & Operators,2.15,2.04,-
Equity,Balkrishna Inds,Tyres,2.12,2.41,1.82
Equity,Syngene Intl.,Healthcare,2.08,2.54,-
Equity,ACME Solar Hold.,Infrastructure Developers & Operators,2.02,-,-
Equity,Vikram Solar,Capital Goods - Electrical Equipment,1.92,-,-
Equity,Balrampur Chini,Sugar,1.9,2.22,1.52
Equity,Jubilant Ingrev.,Chemicals,1.83,2.34,-
Equity,Vedanta Aluminiu,Miscellaneous,0.49,-,-
Equity,Vedanta Iron & S,Miscellaneous,0.49,-,-
Equity,Vedanta Power,Power Generation & Distribution,0.49,-,-
Equity,Malco Energy,Power Generation & Distribution,0.49,-,-
Equity,Epigral,Chemicals,0.18,0.22,-
Equity,MALCO Energy,Other,-,0.57,-
Equity,Talwandi Sabo,Other,-,0.57,-
Equity,Vedanta,Non Ferrous Metals,-,1.28,-
Equity,Vedanta Aluminiu,Other,-,0.57,-
Equity,Vedanta Iron & S,Other,-,0.57,-
Equity,Bharti Airtel,Telecom-Service,-,-,2.77
Reverse Repo,TREPS,Debt Others,9.83,9.23,48.08
Net CA & Others,Net CA & Others,Debt Others,0.39,-0.15,11.0
