Positions Over Time - Samco Flexi Cap Fund - Direct (G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,Nestle India,FMCG,6.75,3.85,3.76,3.97,-,-,-,-,-,-,-
Equity,Coal India,Mining & Mineral products,6.33,-,-,-,-,-,-,-,-,-,-
Equity,Marico,FMCG,6.16,2.71,2.58,2.53,2.49,2.13,-,1.62,2.95,2.76,2.71
Equity,Bank of Maha,Banks,5.95,2.68,2.89,-,-,-,-,-,-,-,-
Equity,Hero Motocorp,Automobile,4.45,3.11,3.11,3.19,3.28,3.51,3.16,2.65,-,-,-
Equity,AIA Engineering,"Castings, Forgings & Fastners",4.39,4.44,4.14,4.42,-,-,-,-,-,-,-
Equity,Hindustan Zinc,Non Ferrous Metals,4.39,1.87,2.0,1.89,1.74,-,-,-,-,-,-
Equity,Engineers India,Infrastructure Developers & Operators,4.38,-,-,-,-,-,-,-,-,-,-
Equity,Godawari Power,Steel,4.32,4.82,4.22,3.42,3.63,3.21,3.9,3.51,-,-,-
Equity,KEI Industries,Cables,4.14,-,-,-,-,-,-,2.7,-,-,-
Equity,Alkem Lab,Pharmaceuticals,3.98,4.73,4.46,4.62,4.43,-,-,-,-,-,-
Equity,Karur Vysya Bank,Banks,3.95,4.72,4.66,4.56,3.95,3.72,3.56,3.23,3.32,3.75,-
Equity,APL Apollo Tubes,Capital Goods-Non Electrical Equipment,3.73,4.17,4.26,3.99,-,-,-,-,-,-,-
Equity,Aditya AMC,Finance,3.72,-,-,-,-,-,-,-,-,-,-
Equity,JSW Dulux,Paints/Varnish,3.65,-,-,-,-,-,-,-,-,-,-
Equity,NMDC,Mining & Mineral products,3.64,4.3,4.08,4.11,-,-,-,-,-,-,-
Equity,Schaeffler India,Bearings,3.53,3.96,3.99,3.36,3.54,3.51,3.52,1.21,-,-,-
Equity,Cummins India,Capital Goods-Non Electrical Equipment,3.38,4.18,4.02,3.59,3.82,3.87,3.71,3.48,3.04,-,-
Equity,Can Fin Homes,Finance,3.19,3.33,3.13,3.04,2.99,-,-,-,-,-,-
Equity,Angel One,Stock/ Commodity Brokers,2.97,-,-,-,-,-,-,-,-,-,-
Equity,Muthoot Finance,Finance,2.79,5.89,5.55,6.33,6.18,6.12,5.16,5.27,4.78,4.46,4.31
Equity,Nippon Life Ind.,Finance,2.77,3.25,3.32,3.3,3.27,3.2,3.2,3.31,3.58,-,-
Equity,Bharat Electron,Aerospace & Defence,2.51,5.8,5.68,5.61,4.9,5.09,5.47,5.43,8.27,8.09,8.35
Equity,J B Chemicals &,Pharmaceuticals,2.33,3.66,-,-,-,-,-,-,-,-,-
Equity,Apar Inds.,Capital Goods - Electrical Equipment,2.15,2.69,-,-,-,-,-,-,-,-,-
Equity,Zensar Tech.,IT - Software,-,-,-,-,-,-,-,-,-,-,2.18
Equity,Kajaria Ceramics,Ceramic Products,-,-,-,-,-,-,3.51,-,-,-,-
Equity,Ventive Hospital,Hotels & Restaurants,-,-,-,-,-,-,-,-,-,-,1.24
Equity,UTI AMC,Finance,-,-,-,-,-,-,3.31,3.59,2.9,-,-
Equity,eClerx Services,IT - Software,-,-,-,4.3,4.29,4.08,4.27,3.8,2.88,2.46,2.03
Equity,L T Foods,FMCG,-,-,-,-,-,-,-,3.26,3.5,3.85,-
Equity,Persistent Sys,IT - Software,-,-,-,-,-,-,-,-,-,-,2.42
Equity,Mazagon Dock,Aerospace & Defence,-,-,-,-,-,-,3.07,3.24,3.53,3.58,4.16
Equity,Swan Energy,Textiles,-,-,-,-,-,-,-,-,-,-,3.5
Equity,Polycab India,Cables,-,4.42,4.93,4.07,4.35,4.23,3.77,-,-,-,-
Equity,Motherson Wiring,Auto Ancillaries,-,-,3.9,3.98,-,-,-,-,-,-,-
Equity,Motil.Oswal.Fin.,Stock/ Commodity Brokers,-,-,-,-,2.06,2.3,2.34,2.23,2.19,1.21,-
Equity,Solar Industries,Aerospace & Defence,-,-,-,-,-,3.18,3.39,3.37,6.34,6.16,6.79
Equity,Page Industries,Readymade Garments/ Apparells,-,-,-,-,-,-,-,-,3.37,3.74,3.64
Equity,Manappuram Fin.,Finance,-,-,-,-,4.55,4.25,3.88,3.96,3.6,3.33,3.48
Equity,360 ONE,Finance,-,-,-,-,-,-,-,-,-,-,3.06
Equity,Godfrey Phillips,Tobacco Products,-,-,-,2.39,-,-,-,-,-,-,-
Equity,Indian Energy Ex,Financial Services,-,-,-,-,-,-,-,-,-,-,2.09
Equity,3M India,Diversified,-,4.63,5.11,4.85,4.7,-,-,-,-,-,-
Equity,Abbott India,Pharmaceuticals,-,-,-,-,-,-,-,-,4.89,5.04,4.57
Equity,Affle 3i,IT - Software,-,-,-,-,-,7.39,8.49,8.85,3.23,3.12,3.16
Equity,Anand Rathi Wea.,Finance,-,-,-,-,5.93,5.74,4.68,4.48,3.42,2.6,-
Equity,Asian Paints,Paints/Varnish,-,-,-,3.13,3.52,3.66,-,-,-,-,-
Equity,Astrazeneca Phar,Pharmaceuticals,-,-,-,-,4.61,4.71,4.87,4.7,5.66,5.79,5.47
Equity,Avanti Feeds,FMCG,-,-,-,-,-,-,-,-,-,-,2.48
Equity,B P C L,Refineries,-,-,-,-,2.69,2.52,-,-,-,-,-
Equity,Bajaj Auto,Automobile,-,2.91,2.83,-,-,-,-,-,-,-,-
Equity,Berger Paints,Paints/Varnish,-,-,-,-,-,-,-,-,-,3.62,-
Equity,K P R Mill Ltd,Readymade Garments/ Apparells,-,-,-,-,-,-,-,3.9,3.14,3.43,3.0
Equity,Bharat Dynamics,Aerospace & Defence,-,-,-,-,-,1.99,1.86,1.91,3.54,3.81,4.44
Equity,C D S L,Financial Services,-,-,-,-,-,2.04,2.0,1.92,4.9,4.8,5.29
Equity,Caplin Point Lab,Pharmaceuticals,-,-,-,-,-,-,-,-,-,-,6.31
Equity,Coforge,IT - Software,-,-,-,-,-,-,-,-,6.02,5.75,5.82
Equity,Coromandel Inter,Fertilizers,-,4.46,6.42,7.02,6.84,7.25,6.66,7.26,3.61,4.01,3.61
Equity,CreditAcc. Gram.,Finance,-,-,-,-,3.59,3.81,3.85,-,-,-,-
Equity,Gillette India,FMCG,-,-,-,-,-,-,2.72,2.99,3.74,3.82,-
Equity,Glaxosmi. Pharma,Pharmaceuticals,-,-,-,-,-,-,-,-,-,2.8,2.48
Equity,HDFC AMC,Finance,-,4.95,5.34,5.3,5.53,5.58,5.61,5.96,3.32,3.27,1.31
Equity,Hind.Aeronautics,Aerospace & Defence,-,-,-,-,-,-,-,-,-,-,2.19
Equity,Britannia Inds.,FMCG,-,3.13,3.07,3.22,3.25,-,-,-,-,3.75,-
Reverse Repo,C C I,Debt Others,0.48,-,0.24,-,0.22,0.57,0.23,2.62,0.59,0.34,0.05
Net CA & Others,Net CA & Others,Debt Others,-0.03,1.34,2.31,-0.19,-0.35,2.34,-0.19,-0.45,-0.31,0.66,-0.14
