Positions Over Time - Taurus Flexi Cap Fund - Direct (G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,ITC,Tobacco Products,7.96,8.17,7.3,7.06,7.85,7.7,8.03,7.94,8.18,7.92,7.78
Equity,HDFC Bank,Banks,7.61,8.7,8.64,9.17,9.36,9.84,9.69,9.66,9.75,10.13,9.76
Equity,Divi's Lab.,Pharmaceuticals,5.2,5.34,5.09,4.87,3.81,2.71,1.76,0.85,0.92,0.97,0.97
Equity,ICICI Bank,Banks,4.27,4.58,4.63,4.61,4.37,4.42,4.3,4.46,4.66,4.84,4.59
Equity,Park Medi World,Healthcare,3.92,4.22,3.79,3.06,2.79,-,-,-,-,-,-
Equity,Bharti Airtel,Telecom-Service,3.71,3.94,3.67,3.9,3.99,3.89,3.82,3.61,3.67,-,-
Equity,Samhi Hotels,Hotels & Restaurants,3.67,3.38,2.89,2.91,2.49,2.62,2.19,0.08,0.09,-,-
Equity,Axis Bank,Banks,3.61,3.71,4.5,4.52,4.0,3.95,3.82,4.03,3.76,3.76,4.1
Equity,M & M,Automobile,3.39,3.63,4.28,4.38,5.1,5.05,4.7,5.22,5.42,5.32,5.14
Equity,Reliance Industr,Refineries,3.35,2.31,2.12,2.15,2.9,2.83,2.7,2.08,2.09,2.09,2.2
Equity,Narayana Hrudaya,Healthcare,3.27,3.34,3.37,2.8,2.87,3.44,2.63,1.12,1.14,0.98,1.08
Equity,SBI,Banks,3.18,3.27,4.14,3.76,3.28,3.19,3.07,2.96,2.74,2.67,-
Equity,Power Grid Corpn,Power Generation & Distribution,3.04,3.18,2.83,2.46,2.43,2.43,2.2,2.22,1.66,1.72,1.72
Equity,Linde India,Chemicals,2.96,3.09,2.7,1.3,0.87,0.85,0.86,0.46,0.47,-,-
Equity,Pace Digitek,Telecom Equipment & Infra Services,2.93,2.71,2.91,2.71,1.82,-,-,-,-,-,-
Equity,Kotak Mah. Bank,Banks,2.76,2.86,2.97,2.96,3.05,2.88,2.86,2.81,2.79,2.76,2.34
Equity,Ambika Cotton,Textiles,2.68,2.29,2.42,2.33,2.03,2.05,2.17,2.36,2.37,2.58,2.53
Equity,Bajaj Holdings,Finance,2.59,2.48,2.7,2.74,2.18,2.17,2.33,1.32,-,-,-
Equity,Coal India,Mining & Mineral products,2.31,2.42,2.05,3.31,2.87,2.64,2.74,2.85,2.76,2.72,2.75
Equity,Regaal Resources,Miscellaneous,2.22,1.84,1.93,1.6,1.8,1.94,2.27,2.29,3.05,-,-
Equity,Deepak Fertilis.,Chemicals,2.04,2.02,1.95,2.1,1.96,1.83,1.44,-,-,-,-
Equity,Insolation Ener,Capital Goods - Electrical Equipment,1.67,-,-,-,-,-,-,-,-,-,-
Equity,Grasim Inds,Textiles,1.34,1.38,1.34,1.36,1.31,1.24,1.31,1.3,1.32,1.28,0.79
Equity,Power Fin.Corpn.,Finance,1.21,2.26,2.17,2.02,1.81,1.81,2.01,2.12,1.98,2.1,-
Equity,HCL Technologies,IT - Software,1.19,1.49,1.36,1.68,1.54,1.51,1.44,1.34,1.42,1.4,1.6
Equity,Maruti Suzuki,Automobile,1.16,1.2,1.28,1.28,1.86,1.73,1.77,1.82,1.69,1.42,1.35
Equity,Transrail Light,Infrastructure Developers & Operators,1.01,1.34,2.1,1.88,1.7,1.9,2.17,2.24,2.32,2.24,1.93
Equity,Vodafone Idea,Telecom-Service,0.98,0.92,1.01,1.08,1.0,0.9,0.79,0.77,0.62,-,-
Equity,Aarti Pharma,Pharmaceuticals,0.95,1.39,1.51,1.59,1.52,1.38,1.38,-,-,-,-
Equity,Indian Energy Ex,Financial Services,0.93,0.85,0.82,0.84,0.85,0.86,0.86,-,-,-,-
Equity,Kaynes Tech,Consumer Durables,0.81,-,-,-,-,-,-,-,-,-,-
Equity,Tata Power Co.,Power Generation & Distribution,0.66,-,-,-,-,-,-,-,-,-,-
Equity,JSW Energy,Power Generation & Distribution,0.65,-,-,-,-,-,-,1.3,1.21,1.25,1.23
Equity,Dixon Technolog.,Consumer Durables,0.55,-,-,-,-,-,-,-,-,-,-
Equity,Persistent Systems,IT - Software,0.52,-,-,-,-,-,-,-,-,-,-
Equity,Gravita India,Non Ferrous Metals,0.47,-,-,-,-,-,-,-,-,-,-
Equity,HBL Engineering,Auto Ancillaries,0.3,0.73,0.72,0.55,-,-,-,-,-,-,0.14
Equity,Force Motors,Automobile,0.29,0.89,0.98,0.51,-,-,-,-,-,-,-
Equity,Chemtech Indust.,Capital Goods-Non Electrical Equipment,0.28,0.22,0.2,0.22,0.24,0.28,0.33,0.36,0.32,0.34,0.37
Equity,Fedbank Financi.,Finance,0.19,1.53,1.42,1.35,1.27,1.21,1.17,1.1,0.7,0.51,-
Equity,Equitas Sma. Fin,Banks,0.02,0.48,1.08,1.2,1.51,1.5,1.34,0.93,0.82,0.95,1.04
Equity,NTPC,Power Generation & Distribution,-,-,-,-,-,-,-,-,0.67,0.67,1.18
Equity,Wellwin Inds.,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Equity,Yatharth Hospit.,Healthcare,-,-,-,-,-,-,-,-,-,-,1.47
Equity,MSTC,E-Commerce/App based Aggregator,-,-,-,-,-,-,-,-,-,-,1.11
Equity,Wipro,IT - Software,-,-,-,-,-,-,-,-,-,-,1.11
Equity,Volt.Transform.,Capital Goods - Electrical Equipment,-,-,-,1.29,1.31,1.33,-,-,-,-,-
Equity,Tata Consumer,Plantation & Plantation Products,-,-,-,-,-,-,0.19,1.52,1.96,1.94,1.93
Equity,Vodafone Idea,Telecomm-Service,-,-,-,-,-,-,-,-,-,0.64,0.67
Equity,REC Ltd,Finance,-,-,-,-,0.5,-,-,0.47,0.97,1.07,1.06
Equity,Sun Pharma.Inds.,Pharmaceuticals,-,-,-,-,-,-,-,-,0.55,0.57,0.55
Equity,Vikram Solar,Capital Goods - Electrical Equipment,-,-,-,-,-,0.02,0.03,0.03,0.06,-,-
Equity,Union Bank (I),Banks,-,-,-,-,-,-,-,-,-,-,1.56
Equity,S A I L,Steel,-,-,-,-,0.19,0.54,-,0.14,0.6,0.62,1.11
Equity,SJS Enterprises,Auto Ancillaries,-,0.73,0.74,0.71,0.87,0.84,0.81,0.75,0.34,-,-
Equity,Thangamayil Jew.,"Diamond, Gems and Jewellery",-,-,-,0.68,1.14,2.14,1.71,1.41,1.6,1.32,0.62
Equity,Sanghi Industrie,Cement,-,-,-,-,-,-,-,-,-,-,0.41
Equity,Shoppers Stop,Retail,-,-,-,-,-,-,-,-,-,-,0.17
Equity,St Bk of India,Banks,-,-,-,-,-,-,-,-,-,-,2.67
Equity,Punjab Natl.Bank,Banks,-,-,-,-,-,1.58,2.11,2.0,-,-,-
Equity,Vikran Engg.,Capital Goods - Electrical Equipment,-,-,-,-,-,1.5,1.44,2.78,2.87,-,-
Equity,A B Lifestyle,Retail,-,-,-,-,-,-,-,-,-,-,0.52
Equity,Leela Palaces Ho,Hotels & Restaurants,-,-,-,-,-,-,0.32,-,-,-,-
Equity,DLF,Realty,-,-,-,-,-,-,0.68999,2.66,2.78,2.89,3.0
Equity,Colgate-Palmoliv,FMCG,-,0.33,0.95,0.9,0.85,0.87,0.9,0.92,0.98,0.92,0.96
Equity,Cipla,Pharmaceuticals,-,-,-,-,-,0.95,0.93,0.78,0.83,0.79,0.75
Equity,Cartrade Tech,Retail,-,-,-,-,-,-,-,-,-,-,0.47
Equity,Cams Services,Financial Services,-,-,-,-,0.39,1.49,1.52,2.04,2.03,2.01,2.24
Equity,C P C L,Refineries,-,1.17,-,-,-,-,-,-,-,-,-
Equity,Dr Reddy's Labs,Pharmaceuticals,-,-,-,-,-,-,-,-,-,-,1.01
Equity,Bharti Airtel,Telecomm-Service,-,-,-,-,-,-,-,-,-,3.64,3.71
Equity,Astral,Plastic products,-,-,-,-,-,-,-,-,0.31,0.32,1.71
Equity,Afcons Infrastr.,Infrastructure Developers & Operators,-,-,-,-,-,-,-,1.57,1.46,1.37,0.87
Equity,Aditya Infotech,Electronics,-,-,-,-,-,-,0.09,0.1,0.09,-,-
Equity,Aditya Bir. Fas.,Retail,-,-,-,-,-,-,-,-,0.82,0.76,0.76
Equity,Adani Enterp.,Trading,-,-,-,0.38,-,-,-,-,-,-,-
Equity,AU Small Finance,Banks,-,-,-,-,-,2.25,2.07,1.79,0.55,-,-
Equity,Balrampur Chini,Sugar,-,0.52,-,-,-,-,-,-,-,-,-
Equity,Engineers India,Infrastructure Developers & Operators,-,-,-,0.48,-,-,-,-,-,-,-
Equity,Finolex Cables,Cables,-,-,-,-,-,-,-,0.4,0.41,0.43,0.2
Equity,Garden Reach Sh.,Aerospace & Defence,-,1.41,1.54,2.38,2.01,1.09,-,-,-,-,-
Equity,Karnataka Bank,Banks,-,-,-,0.48,0.52,-,-,-,-,-,-
Equity,Kalpat.,Realty,-,-,-,-,0.32,1.13,1.27,1.28,-,-,-
Equity,Kalpat.,Construction,-,-,-,-,-,-,-,-,1.48,1.51,1.53
Equity,KEI Industries,Cables,-,-,-,-,-,1.65,2.14,3.3,3.12,3.49,3.35
Equity,Jindal Drilling,Oil Drill/Allied,-,-,-,-,-,-,-,0.99,1.02,1.07,1.02
Equity,Interarch Build.,Steel,-,0.5,0.5,0.25,-,-,-,-,-,-,-
Equity,Life Insurance,Insurance,-,-,-,-,-,-,-,-,-,0.61,1.74
Equity,Inox Wind,Capital Goods - Electrical Equipment,-,-,-,0.55,-,-,-,-,-,-,-
Equity,Hero Motocorp,Automobile,-,-,-,-,-,-,1.12,1.15,-,-,-
Equity,HDFC AMC,Finance,-,0.98,-,-,-,-,-,-,-,-,-
Equity,H P C L,Refineries,-,-,-,-,-,-,-,-,0.14,0.09,1.14
Equity,Godawari Power,Steel,-,0.09,1.27,1.02,-,-,-,-,-,-,-
Equity,Go Fashion (I),Textiles,-,-,-,-,-,-,-,1.06,1.11,1.16,1.21
Equity,General Insuranc,Insurance,-,-,-,-,-,-,0.72,2.17,2.17,1.06,1.01
Equity,Infosys,IT - Software,-,-,-,-,0.39,0.91,0.87,0.88,0.9,0.91,0.93999
Net CA & Others,Net CA & Others,Debt Others,5.24,2.11,0.4,0.62,1.72,0.96,2.92,0.21,0.25,10.19,2.83
Reverse Repo,TREPS,Debt Others,2.91,-,1.73,-,3.36,-,-,-,2.01,-,-
