Positions Over Time - 360 ONE Focused Fund - Direct (G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,ICICI Bank,Banks,8.62725,8.409,8.50361,8.33735,6.98754,7.68643,7.3614,7.54671,7.84129,8.06347,7.36274
Equity,Bharti Airtel,Telecom-Service,6.44825,6.38007,5.82567,6.08902,6.17289,6.73929,6.51367,6.09305,6.13914,-,-
Equity,Indus Towers,Telecom Equipment & Infra Services,5.68624,6.15733,5.92463,5.77287,5.13629,4.73274,3.97371,3.83413,3.79368,-,-
Equity,Cholaman.Inv.&Fn,Finance,5.16095,4.83637,5.46463,5.13979,4.98528,4.78557,4.62456,4.49168,3.96957,3.91269,4.77831
Equity,Axis Bank,Banks,4.92181,4.49106,4.73311,4.67635,4.00839,3.89501,2.72661,1.99643,-,-,-
Equity,GE Vernova T&D,Capital Goods - Electrical Equipment,4.67639,4.12097,3.85453,3.51241,3.22848,2.65312,2.60198,2.1129,1.23949,-,-
Equity,CG Power & Ind,Capital Goods - Electrical Equipment,4.17261,3.63314,3.55716,2.85834,2.6988,2.75188,2.779,2.85985,2.68519,2.28772,2.0236
Equity,Larsen & Toubro,Infrastructure Developers & Operators,4.1167,4.66471,5.03682,4.61902,5.789,5.8624,5.23037,4.6668,4.60208,4.21726,3.15932
Equity,Premier Energies,Trading,3.95641,3.74595,2.71595,2.66867,2.95909,3.12379,3.46035,3.30832,3.22591,3.24976,-
Equity,Kotak Mah. Bank,Banks,3.92427,2.89031,3.00312,-,-,-,-,-,-,-,-
Equity,Tata Motors,Automobile,3.85809,3.91833,4.43517,4.01531,2.97019,2.28031,1.03203,2.75442,3.39315,3.27737,3.3389
Equity,Motherson Wiring,Auto Ancillaries,3.60038,3.49183,3.61533,3.60383,3.84015,3.49174,3.56941,3.5359,3.22136,2.6938,2.8507
Equity,Eternal,E-Commerce/App based Aggregator,3.56049,3.05748,2.90849,3.22357,2.8109,-,-,-,-,-,-
Equity,Indian Hotels Co,Hotels & Restaurants,3.36506,3.26673,3.37529,3.40352,3.32806,2.33625,1.89175,1.77882,1.87681,1.48968,-
Equity,Bajaj Finance,Finance,3.2589,3.01398,4.92252,4.58567,4.51138,5.65366,5.61822,5.50613,4.84863,4.72259,5.14588
Equity,Shriram Finance,Finance,2.90327,2.73289,2.99141,2.82041,2.61098,1.54511,-,-,-,-,-
Equity,Divi's Lab.,Pharmaceuticals,2.74081,2.3929,2.28045,2.14837,2.15128,2.14001,2.20105,2.12462,3.35154,4.37262,4.45185
Equity,Titan Company,"Diamond, Gems and Jewellery",2.66414,2.59535,2.51374,2.30515,2.22567,1.65205,1.56605,1.43988,1.55497,0.91533,0.9951
Equity,Varun Beverages,FMCG,2.14528,-,-,-,-,-,-,-,-,-,-
Equity,Crompton Gr. Con,Consumer Durables,1.97315,1.5709,1.60207,1.3728,1.48221,1.53078,1.61241,1.69988,1.92959,1.83257,2.23707
Equity,JSW Steel,Steel,1.84313,-,-,-,-,-,-,-,-,-,-
Equity,OneSource Speci.,Pharmaceuticals,1.78355,-,-,-,-,-,-,-,-,-,-
Equity,Hero Motocorp,Automobile,1.78116,1.91207,1.90708,1.84412,1.82283,-,-,-,-,-,-
Equity,Physicswallah,Education,1.75411,1.15356,1.01165,1.39274,1.36387,-,-,-,-,-,-
Equity,Aegis Vopak Term,Logistics,1.675,1.54377,1.92625,1.91128,1.99167,1.9996,2.11658,2.02213,1.92734,1.80964,1.82628
Equity,SIS,Miscellaneous,1.64783,1.38332,1.33249,1.46535,1.37615,1.33427,1.33539,1.43185,1.47869,1.53999,1.45534
Equity,Tech Mahindra,IT - Software,1.36162,0.96493,0.8372,1.07235,-,-,-,-,-,-,-
Equity,PNB Housing,Finance,1.32998,-,-,-,-,-,-,-,-,-,-
Equity,Coforge,IT - Software,1.21596,0.94643,0.89039,1.239,1.18094,-,-,-,-,-,-
Equity,Sumitomo Chemi.,Agro Chemicals,1.03352,0.95022,0.92498,0.94244,1.02709,1.07046,1.63252,2.01682,2.14557,2.3854,2.10637
Equity,REC Ltd,Finance,-,-,-,-,-,1.85515,2.42721,2.47008,2.32337,2.54551,2.55592
Equity,Tata Motors PVeh,Automobile,-,-,-,-,-,-,1.62274,-,-,-,-
Equity,Premier Energies,Capital Goods - Electrical Equipment,-,-,-,-,-,-,-,-,-,-,2.78677
Equity,Vedanta,Mining & Mineral products,-,-,2.54925,4.12664,3.46872,2.76354,1.70905,1.65025,1.3501,-,-
Equity,Vedanta,Non Ferrous Metals,-,2.62735,-,-,-,-,-,-,-,-,-
Equity,Vodafone Idea,Telecomm-Service,-,-,-,-,-,-,-,-,-,0.83997,0.89064
Equity,AAVAS Financiers,Finance,-,-,-,-,-,1.1812,2.11544,2.14323,1.99811,2.19919,2.63161
Equity,Indus Towers,Telecomm Equipment & Infra Services,-,-,-,-,-,-,-,-,-,3.94627,4.51436
Equity,Interglobe Aviat,Air Transport Service,-,-,-,-,-,3.85932,3.34517,3.30422,3.34136,3.19849,2.98608
Equity,APL Apollo Tubes,Capital Goods-Non Electrical Equipment,-,-,-,-,-,-,1.32889,1.52718,1.45638,1.41005,2.07888
Equity,Bharti Airtel,Telecomm-Service,-,-,-,-,-,-,-,-,-,6.03724,5.8399
Equity,Bharti Airtel PP,Telecom-Service,-,-,0.0971,0.23178,0.23753,0.2195,0.2136,0.19637,0.20197,-,-
Equity,Bharti Airtel PP,Telecomm-Service,-,-,-,-,-,-,-,-,-,0.19524,0.20457
Equity,Blue Dart Expres,Logistics,-,-,-,-,-,-,-,-,-,1.01473,1.14209
Equity,NTPC,Power Generation & Distribution,-,-,-,-,-,-,-,-,-,0.91795,0.90697
Equity,Cohance Life,Pharmaceuticals,-,-,-,-,-,-,1.11093,1.89183,1.89888,2.02271,1.93361
Equity,Coal India,Mining & Mineral products,-,1.0786,-,-,-,-,-,-,-,-,-
Equity,Cummins India,Capital Goods-Non Electrical Equipment,-,-,-,-,1.77137,3.58244,3.43498,3.17656,3.10165,2.79662,2.63673
Equity,Eternal Ltd,E-Commerce/App based Aggregator,-,-,-,-,-,2.56852,2.6888,5.46984,5.28639,5.02891,4.15624
Equity,HDFC Bank,Banks,-,3.61711,3.88191,8.1084,8.72287,9.59478,9.29506,9.16031,9.18457,9.4503,9.14267
Equity,Hitachi Energy,Capital Goods - Electrical Equipment,-,-,-,-,1.00231,1.18538,0.94464,0.97861,1.5381,1.56934,2.22882
Equity,Infosys,IT - Software,-,3.43264,3.1559,3.97442,3.70843,3.6134,3.39434,3.86366,4.25553,4.23985,4.43813
Equity,Colgate-Palmoliv,FMCG,-,-,-,-,-,-,-,-,-,-,1.31062
Reverse Repo,TREPS,Debt Others,2.98959,-,4.19254,2.05319,0.59499,1.21734,3.04475,0.16484,-,2.29709,3.88638
Reverse Repo,Reverse Repo,Debt Others,-,-,-,0.72212,3.96349,1.30456,1.36629,2.91183,3.88872,1.79241,-
Reverse Repo,CBLO,Debt Others,-,-,-,-,-,-,-,-,0.5704,-,-
Net CA & Others,Net CA & Others,Debt Others,-0.17585,5.0207,0.02953,-0.23631,-0.12885,-0.2096,0.11102,-0.1291,0.38044,1.72822,1.99752
