Positions Over Time - AXIS Focused Fund - Direct (G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,ICICI Bank,Banks,7.55,7.8,9.22,9.69,9.13,9.09,8.5,8.75,9.05,9.36,9.53
Equity,Eternal,E-Commerce/App based Aggregator,5.93,5.66,5.13,5.66,5.85,-,-,-,-,-,-
Equity,Divi's Lab.,Pharmaceuticals,5.36,5.31,5.04,4.73,4.98,5.12,5.27,4.57,4.91,5.16,5.14
Equity,Apollo Hospitals,Healthcare,4.73,4.97,4.62,4.09,3.93,3.94,4.08,4.04,3.99,3.36,2.98
Equity,Cholaman.Inv.&Fn,Finance,4.63,4.35,4.9,4.69,5.28,5.18,5.41,5.28,4.64,4.6,5.02
Equity,Bharti Airtel,Telecom-Service,4.59,4.7,4.37,4.55,4.98,6.99,6.76,6.34,6.36,-,-
Equity,SBI,Banks,4.56,2.08,2.25,1.52,-,-,-,-,-,1.19,-
Equity,Bajaj Finance,Finance,4.14,3.56,3.65,3.2,4.14,7.32,7.28,7.23,6.34,6.21,6.54
Equity,Torrent Power,Power Generation & Distribution,4.13,3.36,3.73,3.28,3.07,2.98,3.19,3.03,3.04,3.25,3.94
Equity,PB Fintech.,IT - Software,3.83,3.42,3.13,3.47,3.71,3.79,3.68,3.6,3.73,3.73,3.63
Equity,HDFC Bank,Banks,3.38,4.71,6.46,7.12,8.1,8.91,8.64,8.54,8.52,8.82,8.46
Equity,Infosys,IT - Software,3.26,3.73,3.42,5.1,4.77,3.61,3.39,3.39,3.45,3.45,2.04
Equity,Axis Bank,Banks,3.26,3.23,1.38,0.93999,-,-,-,-,-,-,-
Equity,Apar Inds.,Capital Goods - Electrical Equipment,3.24,2.81,2.8,1.99,1.98,2.09,1.96,1.89,1.72,1.93,1.83
Equity,Pidilite Inds.,Chemicals,3.0,3.78,3.87,3.69,3.63,3.46,3.59,3.74,3.88,3.56,4.66
Equity,Cummins India,Capital Goods-Non Electrical Equipment,2.93,2.71,2.6,2.09,2.03,2.25,2.16,2.0,1.15,1.04,0.96
Equity,Interglobe Aviat,Air Transport Service,2.89,2.72,2.93,2.53,3.23,4.45,4.2,4.29,4.32,4.19,4.09
Equity,CG Power & Ind,Capital Goods - Electrical Equipment,2.73,1.23,-,-,-,-,-,-,-,-,-
Equity,Hind.Aeronautics,Aerospace & Defence,2.63,2.29,2.26,3.28,2.96,3.18,3.54,3.68,3.35,3.43,3.56
Equity,Reliance Industr,Refineries,2.59,2.63,2.41,2.39,2.56,-,-,-,-,-,-
Equity,M & M,Automobile,2.34,2.42,3.22,3.53,3.63,4.12,3.78,3.82,3.56,3.47,3.19
Equity,Mankind Pharma,Pharmaceuticals,2.33,2.26,2.23,2.09,1.9,1.88,1.97,2.06,2.09,2.12,1.76
Equity,Titan Company,"Diamond, Gems and Jewellery",2.15,1.13,1.09,1.0,0.49,-,-,-,-,-,-
Equity,United Spirits,Alcoholic Beverages,1.96,1.68,1.68,1.65,1.66,1.25,-,-,-,-,-
Equity,Trent,Retail,1.82,1.13,1.18,1.14,1.23,1.17,1.28,1.31,2.62,2.42,3.29
Equity,Hyundai Motor I,Automobile,1.68,1.98,2.2,2.21,2.2,2.14,2.22,1.91,1.81,1.55,1.54
Equity,Larsen & Toubro,Infrastructure Developers & Operators,1.0,0.93999,-,-,-,-,-,-,-,-,-
Equity,TCS,IT - Software,-,-,-,2.0,1.95,1.06,1.02,1.26,1.78,1.71,3.35
Equity,St Bk of India,Banks,-,-,-,-,-,-,-,-,-,-,1.85
Equity,Info Edg.(India),E-Commerce/App based Aggregator,-,-,-,1.5,2.08,2.17,2.29,2.24,2.31,2.32,2.92
Equity,Eternal Ltd,E-Commerce/App based Aggregator,-,-,-,-,-,6.07,6.36,6.5,5.91,5.4,4.48
Equity,Cohance Life,Pharmaceuticals,-,-,-,0.44,0.59,0.6,0.79,0.95,-,-,-
Equity,Bharti Airtel,Telecomm-Service,-,-,-,-,-,-,-,-,-,6.3,6.39
Equity,Avenue Super.,Retail,-,-,-,-,-,0.43,0.88,1.35,1.54,1.35,1.33
Equity,Prestige Estates,Realty,-,2.07,2.78,2.89,3.07,3.73,3.84,3.41,3.52,3.58,3.52
Reverse Repo,C C I,Debt Others,7.67,11.5,11.39,7.65,6.31,3.13,3.9,4.97,6.42,6.3,3.97
Net CA & Others,Net CA & Others,Debt Others,-0.29,-0.16,0.05,-0.11,0.55,-0.11,0.03,-0.13,0.002612,0.21,0.02
