Positions Over Time - Aditya Birla SL Focused Fund-Direct (G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,Reliance Industr,Refineries,5.85649,6.57036,6.09724,6.03058,6.67009,6.3125,6.09689,5.89701,5.88987,5.68778,5.89284
Equity,ICICI Bank,Banks,5.68956,5.89719,6.03318,6.40632,6.23986,6.45152,6.36532,6.72257,6.99738,7.94422,7.80085
Equity,Infosys,IT - Software,5.19734,6.49055,5.54362,6.332,6.23418,6.4675,6.25891,6.58636,6.73882,6.34862,6.2432
Equity,HDFC Bank,Banks,3.99303,4.11049,3.64209,3.76661,3.94858,4.0129,4.69714,4.7688,4.78992,5.72511,5.44966
Equity,Bharti Airtel,Telecom-Service,3.99075,4.09383,3.77787,4.21245,4.42784,4.41833,4.39939,4.23955,4.62957,-,-
Equity,SBI,Banks,3.92448,3.90647,4.28844,3.79785,3.40348,3.39154,3.30623,3.24473,2.9959,2.93094,-
Equity,Axis Bank,Banks,3.87732,3.85522,4.11045,4.02152,3.66103,3.68981,3.62049,3.50278,3.21134,3.4607,3.72834
Equity,Shriram Finance,Finance,3.7736,3.81256,3.96513,3.95481,3.79606,3.99637,3.57937,2.97243,2.81009,2.88379,2.82058
Equity,Larsen & Toubro,Infrastructure Developers & Operators,3.76597,4.26396,4.65787,4.22981,4.31686,4.30109,4.33918,4.15158,4.10127,4.08216,3.95406
Equity,Tech Mahindra,IT - Software,3.72908,3.8035,3.33859,4.23455,3.7983,3.62167,3.30993,3.42967,3.64207,3.54682,3.74936
Equity,NTPC,Power Generation & Distribution,3.71436,3.74548,3.45281,3.18003,2.89311,2.86517,3.01216,3.20783,3.09799,3.38288,3.2533
Equity,Adani Ports,Marine Port & Services,3.66287,3.15028,3.26607,3.38582,3.19409,3.29562,2.91611,2.67109,2.13633,2.20233,2.23256
Equity,Eternal,E-Commerce/App based Aggregator,3.42676,3.44927,2.88983,3.17162,3.16774,-,-,-,-,-,-
