Positions Over Time - Bandhan Focused Fund - Direct (G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,L T Foods,FMCG,8.32,7.9,8.09,7.53,7.46,7.35,5.57,3.8,3.44,3.2,1.35
Equity,Power Fin.Corpn.,Finance,8.01,8.78,8.51,8.84,7.96,7.54,7.91,8.51,8.04,8.31,8.69
Equity,HDFC Bank,Banks,6.13,5.51,5.73,6.07,6.27,6.28,6.16,6.28,6.46,6.66,7.01
Equity,Chola Financial,Finance,5.15,5.05,3.9,3.62,3.75,3.73,3.87,3.96,3.73,3.69,3.52
Equity,SBI,Banks,4.87,5.07,6.56,6.28,6.35,6.23,6.0,7.63,7.84,7.57,-
Equity,Jubilant Pharmo,Pharmaceuticals,4.71,4.71,4.38,4.84,4.98,4.46,4.19,4.13,3.19,2.87,-
Equity,Glenmark Pharma.,Pharmaceuticals,4.66,4.69,4.21,4.48,4.38,4.12,4.01,2.56,2.29,2.47,3.4
Equity,ICICI Bank,Banks,4.36,4.73,4.86,4.83,4.63,4.72,4.58,4.85,5.17,5.33,5.5
Equity,Prestige Estates,Realty,3.9,3.27,3.62,3.85,4.07,4.21,4.39,4.6,4.9,4.96,5.64
Equity,Tilaknagar Inds.,Alcoholic Beverages,3.75,3.82,3.74,3.6,3.69,3.79,4.21,3.71,0.35,-,-
Equity,Reliance Industr,Refineries,3.55,3.79,2.47,2.5,2.72,2.68,2.54,2.47,2.52,2.87,4.37
Equity,South Ind.Bank,Banks,3.35,3.3,3.56,3.54,3.49,3.55,3.45,3.16,3.28,3.24,3.07
Equity,Sanathan Textile,Textiles,2.94,2.51,2.36,2.37,2.17,1.91,1.81,1.91,1.99,1.62,-
Equity,Varun Beverages,FMCG,2.94,2.64,2.54,2.68,2.7,2.61,2.55,2.55,2.88,3.0,2.66
Equity,Deepak Fertilis.,Chemicals,2.93,2.18,2.14,2.3,2.68,2.8,3.06,3.26,2.97,3.15,-
Equity,SignatureGlobal,Realty,2.68,2.39,2.88,2.6,2.82,2.74,2.68,2.75,2.53,2.56,2.74
Equity,NTPC,Power Generation & Distribution,2.61,2.75,2.36,2.22,1.99,1.94,2.01,2.15,2.64,2.62,2.66
Equity,Angel One,Stock/ Commodity Brokers,2.55,1.92,1.55,1.71,1.53,1.74,1.61,1.45,1.55,1.77,2.02
Equity,Eternal,E-Commerce/App based Aggregator,2.34,2.34,1.97,2.21,2.17,-,-,-,-,-,-
Equity,Larsen & Toubro,Infrastructure Developers & Operators,2.34,1.75,1.91,3.77,3.79,3.72,3.69,3.54,3.59,3.52,3.6
Equity,ITC,Tobacco Products,2.19,2.28,2.23,2.31,2.8,2.77,2.88,2.91,3.06,2.99,3.06
Equity,Mankind Pharma,Pharmaceuticals,2.1,2.13,2.01,1.92,1.93,1.94,2.06,2.23,2.58,2.6,2.97
Equity,Aurobindo Pharma,Pharmaceuticals,2.03,2.76,2.31,2.44,2.32,2.37,2.41,2.43,2.13,1.87,1.89
Equity,Infosys,IT - Software,1.99,2.8,2.61,3.33,3.17,3.29,3.13,3.22,3.37,3.37,3.62
Equity,Bharti Airtel,Telecom-Service,1.9,2.26,2.14,2.27,2.35,2.31,2.26,2.19,2.26,-,-
Equity,TCS,IT - Software,1.3,1.78,1.78,2.14,2.12,2.05,2.0,2.0,2.19,2.1,2.43
Equity,E2E Networks,IT - Software,1.26,0.77,0.86,0.72,0.66,0.64,0.85,0.93,0.87,0.64,0.83
Equity,Godawari Power,Steel,1.04,-,-,-,-,-,-,-,-,-,-
Equity,One 97,E-Commerce/App based Aggregator,0.85,0.85,0.87,2.06,2.46,3.86,3.81,3.47,3.84,4.75,4.08
Equity,PB Fintech.,IT - Software,-,-,-,-,-,-,-,-,-,1.35,1.37
Equity,Eternal Ltd,E-Commerce/App based Aggregator,-,-,-,-,-,2.31,2.45,2.65,2.63,2.55,2.22
Equity,Deepak Fertiliz.,Chemicals,-,-,-,-,-,-,-,-,-,-,2.94
Equity,Bharti Airtel,Telecomm-Service,-,-,-,-,-,-,-,-,-,2.23,2.37
Equity,Adani Ports,Marine Port & Services,-,-,-,-,-,-,-,-,-,-,0.99
Equity,Vedant Fashions,Readymade Garments/ Apparells,-,-,-,-,-,-,-,-,-,-,1.41
Equity,J B Chemicals &,Pharmaceuticals,-,1.42,1.73,1.93,1.87,1.8,2.27,2.44,2.46,2.46,-
Reverse Repo,TREPS,Debt Others,3.62,4.31,5.46,0.25,1.1,0.58,1.81,2.37,5.09,3.33,13.1
Derivatives,Cash Margin - Derivatives,Derivatives - Index,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Cash & Cash Equivalent,C C I,Debt Others,0.02,0.03,0.03,0.001685,0.01,0.003349,0.01,0.01,0.03,0.02,0.07
Cash & Bank Balance & Bank Deposits,Cash & Bank Balance,Debt Others,0.000598,0.01,0.01,-,0.000913,0.002325,0.002929,0.01,0.02,0.04,0.03
Net CA & Others,Net CA & Others,Debt Others,-0.49,-0.61,0.52,0.68999,-0.49,-0.14,-0.33,-0.23,0.01,0.19,0.29
