Positions Over Time - Canara Robeco Focused Fund - Direct (G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,ICICI Bank,Banks,8.38,8.59,8.68,8.32,8.03,8.24,8.08,7.97,8.36,8.85,8.56
Equity,HDFC Bank,Banks,6.57,6.76,7.09,7.5,7.79,7.72,7.66,7.66,7.76,8.22,8.08
Equity,Reliance Industr,Refineries,5.09,5.19,4.79,4.84,5.64,5.59,5.36,4.61,4.64,4.75,4.25
Equity,Larsen & Toubro,Infrastructure Developers & Operators,4.3,4.08,4.43,4.49,4.54,4.5,4.51,4.25,3.86,3.89,3.9
Equity,Bharti Airtel,Telecom-Service,4.2,4.15,3.69,3.8,3.96,3.93,3.88,3.69,3.75,-,-
Equity,TVS Motor Co.,Automobile,3.98,4.16,4.25,4.09,4.02,3.79,3.81,3.88,4.5,3.85,3.81
Equity,SBI,Banks,3.88,3.67,3.58,3.98,3.53,3.49,3.43,3.06,1.96,1.59,-
Equity,Divi's Lab.,Pharmaceuticals,3.88,3.85,3.69,3.52,3.62,3.64,3.83,3.36,3.55,3.82,3.91
Equity,Bajaj Finance,Finance,3.87,3.59,3.97,3.74,4.08,4.25,4.33,4.31,3.63,3.64,3.84
Equity,Infosys,IT - Software,3.8,4.37,4.04,5.15,4.6,4.53,4.36,3.91,4.03,4.13,4.35
Equity,Eternal,E-Commerce/App based Aggregator,3.74,3.52,3.16,3.33,3.3,-,-,-,-,-,-
Equity,Axis Bank,Banks,3.46,3.2,3.07,3.08,2.52,2.52,2.46,2.35,2.19,2.24,2.49
Equity,Varun Beverages,FMCG,3.28,2.4,2.51,2.64,2.58,2.52,2.49,2.24,2.48,2.66,2.11
Equity,Max Healthcare,Healthcare,3.14,3.3,3.28,2.9,2.99,3.2,2.86,3.09,3.24,3.57,3.84
Equity,UltraTech Cem.,Cement,2.94,2.75,2.83,2.87,2.51,2.45,2.55,2.71,2.84,2.75,2.69
Equity,Trent,Retail,2.63,1.92,2.02,1.5,1.66,1.63,1.82,1.89,2.9,2.75,3.85
Equity,Vishal Mega Mart,Retail,2.59,2.42,2.25,2.12,1.87,0.66,-,-,-,-,-
Equity,PB Fintech.,IT - Software,2.44,2.27,1.87,-,-,-,-,-,-,-,-
Equity,SBI Life Insuran,Insurance,2.35,3.01,2.97,3.04,3.02,2.89,2.57,2.05,2.1,1.97,1.95
Equity,Indian Hotels Co,Hotels & Restaurants,2.27,2.21,2.3,2.35,2.39,2.29,2.31,2.33,2.48,2.42,1.91
Equity,Interglobe Aviat,Air Transport Service,2.24,2.23,2.37,2.28,2.45,2.68,2.58,2.67,2.42,2.53,1.84
Equity,Bharat Electron,Aerospace & Defence,2.23,3.11,3.16,3.22,2.79,2.86,2.99,2.95,2.28,2.26,2.67
Equity,Uno Minda,Auto Ancillaries,2.19,2.2,2.25,2.27,2.4,2.42,2.42,2.84,3.46,2.81,2.96
Equity,M & M,Automobile,2.07,2.65,2.71,2.77,2.92,2.93,2.38,2.43,2.3,1.83,-
Equity,CRISIL,Credit Rating Agencies,2.02,1.79,1.76,1.62,1.46,1.05,0.76,-,-,-,-
Equity,Torrent Pharma.,Pharmaceuticals,1.73,2.32,2.91,2.77,2.62,2.13,1.88,1.76,1.66,1.33,-
Equity,A B Real Estate,Realty,1.7,1.39,1.42,1.41,1.82,1.91,2.05,1.54,1.61,1.74,2.12
Equity,Info Edg.(India),E-Commerce/App based Aggregator,1.68,1.81,1.71,1.99,1.97,1.75,1.73,1.22,1.02,-,-
Equity,Dr Agarwal's Hea,Healthcare,0.93,0.92,0.91,0.82,0.86,0.9,1.34,2.36,2.29,2.42,2.13
Equity,GE Vernova T&D,Capital Goods - Electrical Equipment,0.68999,1.81,1.91,2.68,2.57,2.6,3.41,3.46,3.6,3.83,3.41
Equity,Mankind Pharma,Pharmaceuticals,-,-,-,0.6,1.86,2.18,2.34,2.49,2.4,2.5,1.97
Equity,St Bk of India,Banks,-,-,-,-,-,-,-,-,-,-,1.63
Equity,TCS,IT - Software,-,-,-,-,-,-,-,0.71,0.76,1.43,2.19
Equity,ICICI Lombard,Insurance,-,-,-,-,-,-,-,-,-,-,1.59
Equity,Eternal Ltd,E-Commerce/App based Aggregator,-,-,-,-,-,3.53,3.78,4.22,4.11,4.2,3.86
Equity,Bharti Airtel,Telecomm-Service,-,-,-,-,-,-,-,-,-,3.8,4.32
Equity,Avenue Super.,Retail,-,-,-,-,-,-,2.31,2.59,2.78,2.49,2.53
Equity,Maruti Suzuki,Automobile,-,-,-,-,-,-,-,-,-,-,2.03
Reverse Repo,TREPS,Debt Others,5.62,4.43,4.47,3.81,3.73,5.28,3.78,5.38,5.06,5.71,5.31
Preference Shares,TVS Motor Co.,Preference n Warrants,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,-,-
Net CA & Others,Net CA & Others,Debt Others,0.05,-0.13,-0.1,0.45,-0.15,-0.11,-0.11,-0.03,-0.07,0.02,-0.1
