Positions Over Time - DSP Focused Fund - Direct (G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,ICICI Bank,Banks,8.71,9.02,9.08,7.69,6.72,5.89,5.86,6.02,6.39,6.55,6.32
Equity,HDFC Bank,Banks,8.31,7.08,5.57,4.82,5.0,5.04,5.07,5.01,5.13,5.27,5.16
Equity,Axis Bank,Banks,5.25,5.22,5.47,5.41,4.87,4.87,4.82,4.3,4.06,4.02,4.46
Equity,Bharti Airtel,Telecom-Service,4.21,4.32,4.01,4.19,4.36,4.32,4.01,3.2,3.29,-,-
Equity,SBI Life Insuran,Insurance,4.1,4.35,4.39,4.3,4.25,3.5,3.57,2.78,2.87,2.84,2.8
Equity,Cholaman.Inv.&Fn,Finance,4.06,3.82,4.3,4.05,4.1,4.15,4.16,4.06,3.66,3.6,3.47
Equity,Phoenix Mills,Realty,3.96,3.67,3.56,3.58,3.86,3.59,3.57,3.38,3.34,3.2,3.32
Equity,SBI,Banks,3.55,3.53,4.34,5.93,5.25,5.2,4.52,3.33,3.13,-,-
Equity,Coforge,IT - Software,3.38,3.42,2.9,4.04,3.95,4.5,4.3,4.49,4.98,5.28,5.74
Equity,Polycab India,Cables,3.33,3.05,3.38,2.75,2.9,2.82,2.99,2.9,2.89,2.69,2.55
Equity,Ipca Labs.,Pharmaceuticals,3.26,3.7,3.11,3.59,3.92,3.99,3.58,3.87,4.09,4.22,3.93
Equity,Coromandel Inter,Fertilizers,2.97,3.11,2.71,2.78,2.68,2.8,2.56,2.78,2.92,3.42,3.62
Equity,Samvardh. Mothe.,Auto Ancillaries,2.97,2.79,3.12,2.66,2.75,2.64,2.46,2.53,2.27,2.3,2.42
Equity,Century Plyboard,Plywood Boards/Laminates,2.91,2.78,2.56,2.8,2.8,2.69,2.6,2.93,2.76,2.62,2.68
Equity,Bajaj Finance,Finance,2.85,3.59,5.29,4.93,6.32,6.59,6.8,8.62,7.75,7.53,7.91
Equity,Infosys,IT - Software,2.69,3.08,2.82,3.56,3.4,3.36,3.27,3.27,3.41,2.43,2.55
Equity,Power Fin.Corpn.,Finance,2.65,2.43,2.33,2.14,1.94,1.97,2.25,2.35,2.22,2.32,2.39
Equity,B P C L,Refineries,2.56,2.6,3.14,2.96,3.53,3.82,3.9,3.81,3.54,3.66,3.64
Equity,Kirloskar Oil,Capital Goods-Non Electrical Equipment,2.37,2.01,1.86,2.71,2.73,2.86,3.4,3.21,3.21,3.13,2.91
Equity,Prudent Corp.,Stock/ Commodity Brokers,2.34,1.96,1.86,1.41,1.39,1.34,1.42,1.47,1.53,1.54,1.41
Equity,Tech Mahindra,IT - Software,2.2,2.24,1.94,2.49,2.2,2.09,2.01,2.03,2.19,2.1,2.39
Equity,Mrs Bectors,FMCG,2.03,2.01,2.06,2.2,2.21,2.48,2.07,2.0,2.24,2.38,2.12
Equity,PG Electroplast,Consumer Durables,1.97,1.88,2.21,1.75,1.78,1.82,1.8,1.63,1.77,2.61,2.39
Equity,Syngene Intl.,Healthcare,1.85,1.68,1.6,1.79,2.39,2.36,2.43,2.39,2.46,2.72,2.4
Equity,Petronet LNG,Gas Distribution,1.84,2.23,2.59,2.32,-,-,-,-,-,-,-
Equity,Multi Comm. Exc.,Financial Services,1.76,-,-,-,-,-,-,-,-,-,-
Equity,Westlife Food,Quick Service Restaurant,1.59,1.74,1.58,1.57,1.73,1.74,1.87,2.22,2.37,2.33,2.36
Equity,Cohance Life,Pharmaceuticals,1.14,0.77,0.7,0.86,1.16,1.23,1.68,2.01,2.06,2.27,2.17
Equity,Hero Motocorp,Automobile,1.13,1.22,1.21,1.17,1.19,1.26,1.62,1.64,2.13,2.32,2.28
Equity,Bharti Airtel,Telecomm-Service,-,-,-,-,-,-,-,-,-,3.23,3.35
Equity,Manappuram Fin.,Finance,-,-,1.76,1.99,2.1,1.92,1.86,1.99,1.9,1.78,0.77
Equity,Hindalco Inds.,Non Ferrous Metals,-,-,-,-,-,-,-,-,1.74,1.64,1.64
Equity,Ratnamani Metals,Capital Goods-Non Electrical Equipment,-,-,-,-,-,-,-,-,-,-,2.07
Equity,GAIL (India),Gas Distribution,-,-,-,-,1.78,1.8,1.92,1.9,1.91,1.9,2.01
Reverse Repo,TREPS,Debt Others,7.36,9.91,7.94,6.46,5.52,6.2,6.92,7.17,4.95,7.15,6.04
Net CA & Others,Net CA & Others,Debt Others,0.7,-0.08,-0.16,0.33,0.48,0.42,-0.05,-0.07,0.04,0.18,-0.03
Derivatives(S),Cholaman.Inv.&Fn,Finance,-,-,-,-,-,-,-,-,-,-,-0.78
Cash & Cash Equivalent,Cash Margin,Debt Others,-,0.87,0.77,0.77,0.74,0.74,0.76,0.78,0.8,0.77,0.76
