Positions Over Time - Kotak Focused Fund - Direct (G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,HDFC Bank,Banks,6.32,6.6,6.92,7.38,7.81,8.0,7.99,7.55,7.33,7.73,7.57
Equity,ICICI Bank,Banks,5.39,5.68,5.99,5.99,6.04,6.3,6.22,6.52,6.87,7.24,6.97
Equity,Bharti Airtel,Telecom-Service,4.99,5.2,5.05,5.39,5.72,5.75,5.73,5.48,5.6,-,-
Equity,SBI,Banks,4.74,4.79,5.42,5.42,4.9,4.61,4.5,4.38,3.91,3.86,-
Equity,Shriram Finance,Finance,4.65,4.77,5.85,5.63,5.46,4.7,4.21,3.62,3.27,3.53,3.91
Equity,Reliance Industr,Refineries,4.43,4.59,3.33,3.4,3.79,3.81,3.68,3.54,3.58,3.64,3.88
Equity,Eternal,E-Commerce/App based Aggregator,4.17,4.27,4.23,4.79,4.83,-,-,-,-,-,-
Equity,Bharat Electron,Aerospace & Defence,3.81,4.11,4.2,4.32,3.82,3.96,4.18,4.14,3.85,3.97,4.31
Equity,KEI Industries,Cables,3.63,3.33,3.67,3.14,3.28,3.07,3.05,3.07,2.93,2.93,2.86
Equity,Fortis Health.,Healthcare,3.63,3.3,3.6,3.08,3.17,3.11,3.53,3.5,3.35,3.13,2.86
Equity,NTPC,Power Generation & Distribution,3.49,3.58,3.4,3.23,2.96,2.96,3.11,3.29,3.22,3.26,3.23
Equity,Maruti Suzuki,Automobile,3.3,3.36,3.74,3.74,4.25,4.07,4.02,4.16,3.56,3.02,2.93
Equity,Hero Motocorp,Automobile,3.25,3.56,3.71,3.66,3.79,4.08,3.73,3.86,3.64,3.03,2.98
Equity,Radico Khaitan,Alcoholic Beverages,3.14,2.66,2.02,-,-,-,-,-,-,-,-
Equity,BSE,Financial Services,3.1,2.52,-,-,-,-,-,-,-,-,-
Equity,Axis Bank,Banks,3.02,3.05,3.35,3.15,2.9,2.75,2.7,2.59,2.43,2.47,2.74
Equity,UltraTech Cem.,Cement,2.88,2.94,3.2,3.26,3.01,2.74,2.87,3.07,3.23,3.11,3.03
Equity,GE Vernova T&D,Capital Goods - Electrical Equipment,2.85,3.37,3.48,3.36,3.23,2.99,3.1,3.16,3.01,2.94,2.51
Equity,Poonawalla Fin,Finance,2.69,1.52,1.13,-,-,-,-,-,-,-,-
Equity,Larsen & Toubro,Infrastructure Developers & Operators,2.63,2.54,2.85,2.39,2.47,2.48,2.5,2.37,2.37,2.38,2.37
Equity,Interglobe Aviat,Air Transport Service,2.59,2.63,2.96,2.74,2.86,3.14,3.05,3.17,3.25,3.25,3.25
Equity,Divi's Lab.,Pharmaceuticals,2.59,2.61,2.59,1.93,2.02,2.06,1.99,1.76,1.93,2.06,2.1
Equity,Tech Mahindra,IT - Software,2.56,2.65,2.4,4.24,4.02,3.86,3.69,3.8,4.2,4.13,4.7
Equity,Blue Star,Consumer Durables,2.11,2.11,2.34,2.09,1.98,2.03,2.28,2.31,2.21,2.03,1.88
Equity,SRF,Chemicals,2.06,2.19,2.13,2.38,2.58,2.47,2.52,2.54,2.6,2.77,2.62
Equity,Astra Microwave,Aerospace & Defence,2.0,-,-,-,-,-,-,-,-,-,-
Equity,Godrej Consumer,FMCG,1.81,1.85,2.1,2.03,2.14,2.02,2.01,2.19,2.37,2.39,2.21
Equity,ICICI AMC,Finance,1.73,1.63,1.5,1.46,1.3,-,-,-,-,-,-
Equity,Persistent Syste,IT - Software,1.52,1.7,1.52,1.98,2.16,2.2,2.09,1.78,-,-,-
Equity,Nuvama Wealth,Stock/ Commodity Brokers,-,-,1.41,1.55,1.36,1.38,1.52,2.04,2.1,2.37,2.66
Equity,Persistent Sys,IT - Software,-,-,-,-,-,-,-,-,1.99,1.74,1.74
Equity,Infosys,IT - Software,-,2.8,2.68,3.45,3.37,3.48,3.45,3.51,3.64,3.72,3.89
Equity,GAIL (India),Gas Distribution,-,-,-,-,-,-,-,1.33,1.86,2.3,2.44
Equity,FSN E-Commerce,E-Commerce/App based Aggregator,-,-,0.21,2.63,2.91,2.96,2.8,2.93,2.95,2.67,2.62
Equity,St Bk of India,Banks,-,-,-,-,-,-,-,-,-,-,3.92
Equity,Sun Pharma.Inds.,Pharmaceuticals,-,-,-,-,-,-,-,-,-,1.89,1.83
Equity,Eternal Ltd,E-Commerce/App based Aggregator,-,-,-,-,-,5.25,5.66,6.07,5.82,5.67,4.81
Equity,Bharti Airtel,Telecomm-Service,-,-,-,-,-,-,-,-,-,5.65,5.85
Equity,Lenskart Solut.,FMCG,-,-,-,0.53,0.52,0.48,0.39,-,-,-,-
Reverse Repo,TREPS,Debt Others,4.66,4.29,2.55,1.78,2.16,3.32,3.51,2.39,2.9,0.92,1.37
Net CA & Others,Net CA & Others,Debt Others,0.26,-0.2,0.47,-0.12,-0.81,-0.03,-0.08,-0.12,0.03,0.2,-0.04
