Positions Over Time - LIC MF Focused Fund - Direct (G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,Infosys,IT - Software,6.19,-,-,-,-,-,-,-,-,-,-
Equity,Schaeffler India,Bearings,5.12,-,-,-,-,-,-,-,-,-,-
Equity,ICICI Bank,Banks,4.88,-,-,-,-,-,-,-,-,-,-
Equity,Maruti Suzuki,Automobile,4.82,-,-,-,-,-,-,-,-,-,-
Equity,M & M,Automobile,4.81,-,-,-,-,-,-,-,-,-,-
Equity,Tata Motors,Automobile,4.76,-,-,-,-,-,-,-,-,-,-
Equity,Bajaj Auto,Automobile,4.68,-,-,-,-,-,-,-,-,-,-
Equity,M & M Fin. Serv.,Finance,4.51,-,-,-,-,-,-,0.93999,2.99,3.07,3.11
Equity,Garware Hi Tech,Packaging,4.34,-,-,-,-,-,-,-,-,-,-
Equity,Mahindra Life.,Construction,4.34,-,-,-,-,-,-,-,-,-,-
Equity,Interglobe Aviat,Air Transport Service,3.84,1.87,1.81,-,-,-,-,-,-,-,-
Equity,KSH Internationa,Non Ferrous Metals,3.8,-,-,-,-,-,-,-,-,-,-
Equity,Tata Power Co.,Power Generation & Distribution,3.62,-,-,-,-,-,-,-,-,-,-
Equity,Tata Motors PVeh,Automobile,3.62,1.64,1.61,-,-,-,-,-,-,-,-
Equity,Sun Pharma.Inds.,Pharmaceuticals,3.46,-,-,-,-,-,-,-,-,-,-
Equity,Metro Brands,Leather,3.29,1.85,1.95,1.77,1.76,1.41,0.93999,1.12,1.0,0.81,-
Equity,SBI,Banks,3.15,-,-,-,-,-,-,-,-,-,-
Equity,JSW Infrast,Marine Port & Services,2.99,-,-,-,-,-,-,-,-,-,-
Equity,Axis Bank,Banks,2.95,-,-,-,-,-,-,-,-,-,-
Equity,Divgi Torq,Auto Ancillaries,2.86,-,-,-,-,-,-,-,-,-,-
Equity,Shriram Finance,Finance,2.59,1.8,1.99,3.61,3.32,3.51,4.54,4.44,4.21,4.15,4.1
Equity,Larsen & Toubro,Infrastructure Developers & Operators,2.5,-,-,-,-,-,-,-,-,-,-
Equity,Suprajit Engg.,Auto Ancillaries,2.31,2.51,2.44,2.35,2.27,1.48,1.27,-,-,-,-
Equity,Foseco India,Chemicals,2.28,3.67,3.74,3.19,3.31,3.08,3.15,3.1,3.39,2.98,2.65
Equity,Artemis Medicare,Healthcare,1.84,3.04,3.65,3.24,3.14,3.4,3.36,3.32,3.03,3.23,3.32
Equity,TCS,IT - Software,-,5.54,5.52,6.62,6.38,6.22,5.97,5.9,6.34,6.32,6.04
Equity,Tata Comm,Telecom-Service,-,1.92,1.74,0.97,-,-,-,-,-,-,-
Equity,Sandhar Tech,Auto Ancillaries,-,0.97,1.01,0.7,-,-,-,-,-,-,-
