Positions Over Time - Motilal Oswal Focused Fund - Direct (G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,CG Power & Ind,Capital Goods - Electrical Equipment,4.200019,3.83304,3.26612,-,-,-,-,-,-,-,-
Equity,Acutaas Chemical,Pharmaceuticals,4.190339,4.82759,4.9614,4.42215,3.70719,3.78533,3.49186,2.58371,1.05263,-,-
Equity,MTAR Technologie,Aerospace & Defence,4.128376,4.05351,5.12282,3.96898,2.98382,2.8578,-,-,-,-,-
Equity,ICICI Bank,Banks,4.124075,3.90632,2.96545,-,-,-,-,-,-,-,-
Equity,AU Small Finance,Banks,4.07533,2.86683,2.48874,2.31052,3.74719,3.58025,3.25378,-,-,-,-
Equity,Aditya Infotech,Electronics,4.024385,3.93888,3.38838,-,-,-,-,-,-,-,-
Equity,ICICI AMC,Finance,4.019118,3.78698,3.64754,1.97274,-,-,-,-,-,-,-
Equity,Eternal,E-Commerce/App based Aggregator,3.947169,3.05925,2.68233,2.6991,-,-,-,-,-,-,-
Equity,Gabriel India,Auto Ancillaries,3.643837,3.1889,3.32871,3.07834,3.0997,3.03995,3.28252,3.08348,0.96879,-,-
Equity,Apollo Hospitals,Healthcare,3.584511,3.6221,2.44501,-,-,-,-,-,-,-,-
Equity,Aditya Vision,Retail,3.545425,3.3852,2.81235,2.79509,2.50748,2.58909,2.42729,2.07631,-,-,-
Equity,Persistent Systems,IT - Software,3.433405,-,-,-,-,-,-,-,-,-,-
Equity,Reliance Industr,Refineries,3.341062,3.28893,-,-,-,-,-,-,-,-,-
Equity,IndusInd Bank,Banks,3.29983,2.92826,3.32574,2.69319,-,-,-,-,-,-,-
Equity,Jain Resource,Non Ferrous Metals,3.261765,3.184,2.5039,2.5232,2.8332,2.66783,2.53281,1.0156,-,-,-
Equity,Rubicon Research,Pharmaceuticals,3.104292,-,-,-,-,-,-,-,-,-,-
Equity,Titan Company,"Diamond, Gems and Jewellery",3.002435,4.26226,4.13655,3.82508,3.48527,3.34377,2.69125,-,-,-,-
Equity,Radico Khaitan,Alcoholic Beverages,3.000103,3.46271,3.09307,2.95876,4.38479,4.19138,4.06131,4.01834,4.48332,4.34527,4.40577
Equity,NTPC,Power Generation & Distribution,2.974342,-,-,-,-,-,-,-,-,-,-
Equity,One 97,E-Commerce/App based Aggregator,2.551628,5.05055,4.99279,5.20252,6.53503,6.60904,6.61266,6.35333,7.5928,6.98984,5.80358
Equity,UltraTech Cem.,Cement,2.4839,-,3.45121,3.47691,-,-,-,-,-,-,-
Equity,PTC Industries,"Castings, Forgings & Fastners",2.474922,2.61548,2.8673,2.9044,2.80476,2.49758,2.35733,2.2122,1.99905,3.02207,3.08585
Equity,Religare Enterp.,Finance,2.451467,2.53365,3.16066,3.57406,3.46707,5.09276,5.3849,5.5219,9.10043,10.00207,8.06978
Equity,Shriram Finance,Finance,2.395142,3.25639,4.17108,3.83017,2.30502,-,-,-,-,-,-
