Positions Over Time - Nippon India Focused Fund - Direct (G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,ICICI Bank,Banks,8.64,9.48,9.58,9.84,9.1,8.23,7.2,6.95,7.24,7.52,6.27
Equity,Axis Bank,Banks,6.94,7.06,7.44,7.38,7.03,7.01,7.64,7.22,6.7,6.71,7.36
Equity,HDFC Bank,Banks,5.44,4.56,4.89,5.13,5.28,5.31,5.64,5.59,5.63,6.2,7.15
Equity,Infosys,IT - Software,4.85,5.7,5.24,5.08,4.82,5.01,4.86,4.86,4.98,3.96,4.11
Equity,Hind.Aeronautics,Aerospace & Defence,4.35,3.88,-,-,-,-,-,-,-,-,-
Equity,Eternal,E-Commerce/App based Aggregator,4.22,4.35,3.85,4.06,3.66,-,-,-,-,-,-
Equity,Varun Beverages,FMCG,4.01,3.33,3.19,3.34,3.35,3.26,3.24,3.08,2.41,1.73,-
Equity,Siemens Ener.Ind,Power Generation & Distribution,3.74,3.68,3.78,3.21,2.45,-,-,-,-,-,-
Equity,Bajaj Finserv,Finance,3.56,3.33,3.6,3.54,3.56,3.62,3.68,3.23,3.1,3.09,3.19
Equity,Trent,Retail,3.55,3.14,3.28,3.19,3.14,3.09,2.94,-,-,-,-
Equity,SBI Cards,Finance,3.46,3.79,4.09,3.91,4.02,4.06,4.14,4.25,3.91,3.69,3.94
Equity,Reliance Industr,Refineries,3.35,5.47,5.35,5.37,5.82,5.75,5.56,5.58,5.58,5.59,5.91
Equity,Syngene Intl.,Healthcare,3.22,2.98,2.86,2.78,2.97,2.92,2.77,2.73,2.6,2.65,2.32
Equity,SBI,Banks,3.16,1.91,2.07,3.13,2.75,2.72,3.94,4.09,3.78,2.93,-
Equity,FSN E-Commerce,E-Commerce/App based Aggregator,3.03,2.99,2.99,2.68,2.84,2.83,3.25,3.13,3.12,2.78,2.71
Equity,NTPC,Power Generation & Distribution,2.87,4.36,5.46,5.1,4.55,3.93,4.14,3.9,3.77,3.77,3.31
Equity,Samvardh. Mothe.,Auto Ancillaries,2.81,2.7,2.8,2.27,2.19,2.1,1.64,1.54,-,-,-
Equity,3M India,Diversified,2.58,2.59,2.85,2.62,2.58,2.53,2.56,2.62,2.75,2.87,3.09
Equity,Biocon,Pharmaceuticals,2.5,2.79,2.66,2.51,2.6,2.85,3.12,2.94,3.02,3.32,2.95
Equity,Angel One,Stock/ Commodity Brokers,2.28,2.26,1.83,1.99,1.77,2.02,1.9,1.68,1.75,2.01,2.21
Equity,Medplus Health,Retail,2.19,2.35,2.09,1.98,1.93,1.91,1.84,1.88,2.1,2.27,2.16
Equity,Dr Reddy's Labs,Pharmaceuticals,2.12,3.24,2.93,2.78,2.8,2.74,2.66,2.8,2.9,2.86,2.83
Equity,Tube Investments,Capital Goods-Non Electrical Equipment,2.1,1.75,-,-,-,-,-,-,-,-,-
Equity,B H E L,Capital Goods - Electrical Equipment,2.07,3.07,2.93,2.92,2.83,2.83,3.6,3.33,2.92,3.0,3.27
Equity,Swiggy,E-Commerce/App based Aggregator,2.07,-,-,-,-,-,-,-,-,-,-
Equity,Tata Motors,Automobile,1.6,1.71,1.94,2.78,3.01,2.76,-,-,-,-,-
Equity,Sapphire Foods,Quick Service Restaurant,1.6,1.29,1.55,1.44,1.87,1.79,2.1,2.22,2.48,2.35,2.39
Equity,Thomas Cook (I),Miscellaneous,1.37,1.47,1.48,1.77,2.07,2.04,2.28,2.29,2.59,2.41,2.28
Equity,Restaurant Brand,Quick Service Restaurant,1.25,1.21,1.19,1.19,1.14,1.12,1.23,1.45,1.51,1.51,1.5
Equity,PVR Inox,Entertainment,1.18,1.13,1.11,1.06,1.07,1.11,1.28,1.17,1.23,1.07,1.02
Equity,Hyundai Motor I,Automobile,-,-,-,-,-,-,-,2.89,2.89,2.48,2.5
Equity,Honeywell Auto,Electronics,-,-,0.35,0.75,1.59,1.73,1.82,1.85,1.99,1.95,1.97
Equity,Hero Motocorp,Automobile,-,-,-,-,-,-,-,-,-,3.04,3.2
Equity,HDFC Life Insur.,Insurance,-,-,-,-,-,-,-,-,-,-,1.49
Equity,Grasim Inds,Textiles,-,-,3.29,3.32,3.21,3.08,3.31,3.25,3.29,3.19,3.23
Equity,Eternal Ltd,E-Commerce/App based Aggregator,-,-,-,-,-,2.89,3.13,3.3,3.19,3.78,3.18
Equity,Bharat Forge,"Castings, Forgings & Fastners",-,-,-,-,-,-,-,-,2.16,2.24,2.45
Equity,Affle 3i,IT - Software,-,-,-,-,-,-,-,-,-,-,0.19
Equity,Interglobe Aviat,Air Transport Service,-,-,-,-,-,2.7,2.63,3.08,3.56,3.65,3.61
Equity,Varroc Engineer,Auto Ancillaries,-,-,0.27,1.01,1.11,1.42,2.22,2.21,2.04,2.0,2.07
Reverse Repo,TREPS,Debt Others,3.83,2.56,2.83,1.91,2.88,4.52,3.72,4.94,4.77,2.79,6.11
Net CA & Others,Net CA & Others,Debt Others,0.04,-0.15,0.21,-0.04,-0.01,0.12,-0.06,-0.08,0.04,0.57,-0.01
Cash & Cash Equivalent,C C I,Debt Others,0.02,0.02,0.02,0.002439,0.02,0.00389,0.02,0.03,0.003988,0.02,0.04
