Positions Over Time - Old Bridge Focused Fund - Direct (G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,Shriram Finance,Finance,6.78,7.8,9.15,8.8,8.68,7.77,7.13,5.38,5.04,5.22,5.03
Equity,Aurobindo Pharma,Pharmaceuticals,5.71,6.63,5.88,5.03,4.97,5.4,4.71,4.8,4.8,5.5,4.72
Equity,Maruti Suzuki,Automobile,4.58,4.11,4.7,4.7,5.43,5.42,5.75,6.1,5.93,5.23,5.06
Equity,Bharti Airtel,Telecom-Service,4.48,4.05,4.05,4.31,4.66,4.87,4.97,4.87,5.16,-,-
Equity,Axis Bank,Banks,4.47,4.53,5.12,3.97,3.71,3.92,2.81,-,-,-,-
Equity,Tata Steel,Steel,4.18,4.47,4.69,4.34,4.09,4.0,4.54,4.49,4.33,4.57,4.55
Equity,Alivus Life,Pharmaceuticals,4.15,3.91,3.47,3.72,3.59,3.68,3.45,3.11,3.33,2.43,2.1
Equity,Redington,Trading,4.05,3.93,5.23,5.15,5.22,4.97,4.68,5.6,5.01,4.95,6.33
Equity,Hindustan Zinc,Non Ferrous Metals,4.02,4.22,4.5,4.77,4.69,3.9,3.99,3.7,-,-,-
Equity,Radico Khaitan,Alcoholic Beverages,3.98,3.36,2.72,2.96,3.48,3.55,3.26,3.22,3.35,3.12,2.93
Equity,Granules India,Pharmaceuticals,3.95,4.21,3.74,3.73,3.95,3.85,4.08,4.0,4.01,4.0,4.1
Equity,Ramkrishna Forg.,"Castings, Forgings & Fastners",3.9,3.06,3.43,2.68,2.77,3.05,3.14,3.34,3.7,3.93,3.07
Equity,Prestige Estates,Realty,3.87,3.42,3.41,3.65,4.02,4.43,4.8,4.45,4.85,5.22,5.24
Equity,UPL,Agro Chemicals,3.68,3.6,3.83,4.31,4.91,4.91,4.86,4.74,5.46,5.55,5.13
Equity,Hindalco Inds.,Non Ferrous Metals,3.54,3.76,3.72,3.94,3.67,3.5,3.83,3.69,3.59,3.6,3.6
Equity,Indian Energy Ex,Financial Services,3.49,2.8,2.91,2.98,3.19,3.47,3.61,3.87,4.1,4.1,4.64
Equity,Interglobe Aviat,Air Transport Service,3.43,3.5,4.06,3.94,4.38,3.93,3.9,4.16,4.43,4.79,4.76
Equity,Kaveri Seed Co.,FMCG,3.42,2.3,2.15,2.65,2.82,2.97,3.24,3.51,4.07,4.0,4.18
Equity,GE Shipping Co,Shipping,3.07,3.43,3.08,2.81,2.67,2.74,2.84,2.75,2.7,2.83,2.9
Equity,Tata Motors PVeh,Automobile,2.47,2.67,2.53,-,-,-,-,-,-,-,-
Equity,United Foodbrand,Quick Service Restaurant,1.67,-,1.3,1.01,1.19,1.09,1.25,-,-,-,-
Equity,Medi Assist Ser.,Miscellaneous,1.29,1.35,1.15,1.1,1.28,-,-,-,-,-,-
Equity,Antony Waste han,Miscellaneous,1.16,1.03,1.28,1.49,1.3,1.29,1.59,1.69,1.89,2.09,2.28
Equity,United Foodbrands,Quick Service Restaurant,-,1.13,-,-,-,-,-,-,-,-,-
Equity,Marksans Pharma,Pharmaceuticals,-,-,-,-,-,-,-,-,-,-,2.96
Equity,Infosys,IT - Software,-,-,-,-,-,1.57,3.11,3.24,3.48,3.7,3.86
Equity,HCL Technologies,IT - Software,-,-,-,7.67,7.41,7.06,5.46,5.25,5.82,6.06,4.72
Equity,Bharti Airtel,Telecomm-Service,-,-,-,-,-,-,-,-,-,5.4,5.58
Equity,Barbeque-Nation,Quick Service Restaurant,-,-,-,-,-,-,-,1.53,1.86,2.04,2.24
Equity,Restaurant Brand,Quick Service Restaurant,-,-,-,-,1.32,1.36,1.53,1.88,2.06,2.17,2.16
Reverse Repo,TREPS,Debt Others,14.58,14.36,13.84,8.27,6.71,-,7.45,10.79,10.91,8.25,7.76
Net CA & Others,Net CA & Others,Debt Others,0.08,2.37,0.06,2.02,-0.11,-0.38,0.02,-0.16,0.12,1.25,0.1
Reverse Repo,Cash and Other Current Asset,Debt Others,-,-,-,-,-,7.68,-,-,-,-,-
