Positions Over Time - Sundaram Focused Fund - Direct (G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,HDFC Bank,Banks,7.95112,8.11211,8.83869,9.24949,9.44515,9.60359,9.46166,9.31643,9.29707,9.64458,9.45217
Equity,ICICI Bank,Banks,6.63732,6.81825,7.00007,6.87696,6.52474,6.74928,6.5737,8.74674,9.04531,9.37796,9.04484
Equity,Bharti Airtel,Telecom-Service,6.38212,6.48865,6.14261,6.43316,6.58693,6.5759,6.46374,6.04111,6.05811,-,-
Equity,TVS Motor Co.,Automobile,5.73993,5.94922,6.1449,5.83803,5.65337,5.3684,5.36296,5.37284,5.1057,4.27097,4.39573
Equity,Craftsman Auto,Auto Ancillaries,5.70409,5.57123,5.39578,5.24458,5.27641,4.82118,4.60986,4.79243,4.86317,4.64701,3.78872
Equity,Kotak Mah. Bank,Banks,4.95602,4.9178,5.18763,5.09636,5.26419,5.0819,5.05634,4.89954,4.80683,4.74626,5.1287
Equity,Happy Forgings,"Castings, Forgings & Fastners",4.85535,4.582,4.74598,3.91039,4.09685,3.69695,3.66127,3.36203,3.29517,3.38144,3.39534
Equity,Avenue Super.,Retail,4.10426,4.00587,3.49744,3.35286,3.29045,3.47767,3.63409,4.0028,4.24189,3.7237,2.95338
Equity,Infosys,IT - Software,3.55463,4.04835,3.77872,4.76831,4.49364,4.52589,4.32375,4.29912,4.37015,4.38979,4.6049
Equity,Apollo Hospitals,Healthcare,3.36291,3.51622,3.32835,2.9612,2.86824,2.98825,3.14614,3.1022,3.17773,3.06292,2.92352
Equity,Triveni Turbine,Capital Goods - Electrical Equipment,3.33081,2.75055,2.74669,2.82035,2.89239,2.88579,2.89295,2.86695,2.86001,3.23012,3.26214
Equity,Tech Mahindra,IT - Software,3.25052,3.28586,2.89438,3.71476,3.24574,3.09628,2.92263,2.93706,3.09875,2.99519,3.41149
Equity,SBI Life Insuran,Insurance,3.21015,3.37569,3.47411,3.40724,3.32127,3.20953,3.21021,3.00456,3.02136,3.01332,-
Equity,City Union Bank,Banks,3.05886,2.92348,3.09765,3.30144,3.04588,2.83997,2.40879,2.30147,2.10538,2.25114,2.27063
Equity,Interglobe Aviat,Air Transport Service,2.79077,2.75754,3.0307,2.88512,2.76455,3.22535,3.09108,3.14268,3.16302,3.23924,3.23685
Equity,P I Industries,Agro Chemicals,2.76212,2.64574,2.72368,2.79119,2.70789,2.84015,3.00861,2.88383,2.77542,3.12375,1.96079
Equity,Tata Consumer,Plantation & Plantation Products,2.74463,2.61891,2.64383,2.6267,2.64347,2.60059,2.59833,2.57471,2.42245,2.38715,2.41554
