Positions Over Time - Tata Focused Fund - Direct (G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,HDFC Bank,Banks,7.13,7.36,7.5,7.59,7.83,9.1,9.38,9.28,9.31,9.81,9.61
Equity,ICICI Bank,Banks,6.75,6.87,6.44,5.99,5.26,5.22,5.1,5.25,5.46,5.75,5.54
Equity,Axis Bank,Banks,5.49,5.48,5.54,5.71,6.35,7.81,7.59,7.15,6.62,6.72,7.46
Equity,Reliance Industr,Refineries,5.29,5.42,4.95,4.77,4.7,4.63,4.43,4.17,4.16,4.24,4.52
Equity,NTPC,Power Generation & Distribution,4.97,5.03,4.59,4.3,3.85,3.7,3.66,2.46,2.38,2.41,2.38
Equity,Larsen & Toubro,Infrastructure Developers & Operators,4.38,4.17,4.03,4.26,3.78,3.4,3.39,1.69,1.67,1.67,1.67
Equity,Metropolis Healt,Healthcare,4.0,3.97,3.82,3.73,3.59,3.55,3.66,2.59,2.79,2.53,2.06
Equity,Adani Ports,Marine Port & Services,3.98,3.57,3.66,4.03,4.03,4.11,3.96,3.93,3.69,-,-
Equity,UltraTech Cem.,Cement,3.8,3.84,3.93,3.96,3.55,2.84,2.95,2.36,2.45,2.36,2.3
Equity,Samvardh. Mothe.,Auto Ancillaries,3.77,3.57,3.51,3.54,3.64,3.49,3.02,3.1,2.73,2.85,2.99
Equity,M & M,Automobile,3.66,3.73,3.3,3.35,2.82,1.56,-,-,-,-,-
Equity,Bharti Airtel,Telecom-Service,3.63,3.34,2.08,-,-,-,-,-,-,-,-
Equity,Page Industries,Readymade Garments/ Apparells,3.62,3.4,2.89,2.69,2.68,2.81,2.83,-,-,-,-
Equity,SBI Life Insuran,Insurance,3.5,3.73,3.68,3.63,3.57,3.41,3.42,2.46,2.49,2.52,2.49
Equity,Ambuja Cements,Cement,3.44,3.39,3.74,3.78,3.89,3.8,3.03,-,-,-,-
Equity,Infosys,IT - Software,3.33,3.74,3.15,2.49,2.71,3.44,3.3,3.29,3.36,2.07,2.17
Equity,Health.Global,Healthcare,3.31,3.31,2.95,2.91,2.95,2.95,3.04,2.68,2.82,2.59,2.26
Equity,Tata Comm,Telecom-Service,3.18,2.93,2.84,1.98,0.83,-,-,-,-,-,-
Equity,HDFC Life Insur.,Insurance,2.89,3.02,3.02,2.67,1.41,-,-,-,-,-,-
Equity,Jindal Steel,Steel,2.84,2.82,1.76,0.79,-,-,-,-,-,-,-
Equity,Godrej Propert.,Realty,2.82,2.46,2.44,2.23,2.74,2.86,2.92,1.67,1.66,1.78,1.96
Equity,Havells India,Consumer Durables,2.73,2.74,-,-,-,-,-,-,-,-,-
Equity,Sun Pharma.Inds.,Pharmaceuticals,2.34,2.2,3.62,3.34,3.48,3.28,2.42,-,-,-,-
Equity,PNC Infratech,Infrastructure Developers & Operators,1.92,1.57,1.55,1.64,1.83,1.78,1.89,1.85,1.92,1.97,1.92
Equity,Hind. Unilever,FMCG,1.24,-,-,-,1.25,1.84,1.85,1.94,2.05,1.93,1.74
Equity,Power Fin.Corpn.,Finance,-,2.54,2.45,2.26,2.05,2.07,2.32,1.97,1.83,1.96,2.02
Equity,Tech Mahindra,IT - Software,-,-,-,3.68,6.2,7.86,7.44,7.5,7.96,7.82,8.44
Equity,Power Grid Corpn,Power Generation & Distribution,-,-,-,-,-,-,-,2.09,2.06,2.16,2.2
Equity,Kajaria Ceramics,Ceramic Products,-,-,-,-,-,-,-,-,-,1.63,1.48
Equity,Kwality Wall's,Other,-,-,-,-,0.09,-,-,-,-,-,-
Equity,Adani Power,Power Generation & Distribution,-,0.91,1.4,1.69,1.73,1.76,1.9,1.79,2.32,2.26,2.22
Equity,Alkem Lab,Pharmaceuticals,-,-,-,2.71,3.13,3.19,3.12,3.15,3.09,2.91,2.82
Equity,Amber Enterp.,Consumer Durables,-,-,-,-,-,-,-,-,-,1.19,3.51
Equity,Lupin,Pharmaceuticals,-,-,-,-,-,-,-,1.84,1.83,1.85,1.83
Equity,Ashok Leyland,Automobile,-,-,-,-,-,-,-,3.22,2.87,2.72,2.78
Equity,Apollo Hospitals,Healthcare,-,-,-,-,-,-,-,4.7,4.85,3.65,3.48
Equity,Dr Lal Pathlabs,Healthcare,-,-,-,-,-,-,-,1.8,1.91,1.81,-
Equity,Firstsour.Solu.,IT - Software,-,-,-,1.48,1.5,1.53,2.53,3.57,3.82,3.69,4.0
Equity,Jubilant Food.,Quick Service Restaurant,-,2.05,2.01,1.94,2.1,2.24,2.24,2.38,2.42,2.51,2.66
Equity,Kwality,FMCG,-,-,-,0.1,-,-,-,-,-,-,-
Equity,Craftsman Auto,Auto Ancillaries,-,-,-,-,-,-,-,2.89,2.95,2.86,2.44
Reverse Repo,TREPS,Debt Others,3.86,-,-,-,-,-,-,-,-,-,-
Net CA & Others,Net CA & Others,Debt Others,1.98,2.69,4.13,4.02,4.58,4.53,4.84,3.14,3.3,3.09,7.28
Reverse Repo,Reverse Repo,Debt Others,0.15,0.15,5.02,2.74,1.88,1.24,3.16,-,2.65,6.69,1.77
Real Estate Investment Trust (REIT),Knowledge Realty,Debt Others,-,-,-,-,-,-,0.61,0.62,0.58,-,-
Reverse Repo,Repo in Corporate Debt Securities,Debt Others,-,-,-,-,-,-,-,3.47,-,-,-
