Positions Over Time - UTI-Focused Fund - Direct (G)
Type,Name,Sector,31-May-26,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,ICICI Bank,Banks,8.75,8.71,8.99,8.79,9.15,8.75,9.34,8.77,8.89,8.22,8.52,8.28
Equity,HDFC Bank,Banks,8.17,8.38,8.59,9.02,9.69,9.87,9.93,9.84,9.7,9.51,9.93,9.79
Equity,Reliance Industr,Refineries,5.15,5.52,5.36,4.9,4.89,5.11,5.05,4.14,3.89,3.91,3.76,4.02
Equity,Eternal,E-Commerce/App based Aggregator,5.08,5.16,5.17,4.81,5.0,-,-,-,-,-,-,-
Equity,Larsen & Toubro,Infrastructure Developers & Operators,4.61,5.03,4.75,5.96,5.47,4.69,4.32,4.28,2.84,2.82,2.81,-
Equity,Infosys,IT - Software,4.17,4.2,5.42,4.97,6.16,6.0,6.18,5.87,5.84,6.02,5.88,5.99
Equity,Bharti Airtel,Telecom-Service,3.86,3.91,4.03,3.74,3.91,4.03,3.98,5.02,4.7,4.77,-,-
Equity,Bajaj Finance,Finance,3.83,3.91,3.62,4.36,4.25,4.91,5.41,5.34,5.42,4.04,4.0,4.12
Equity,Tata Steel,Steel,3.82,3.84,3.9,3.81,3.45,2.72,2.44,2.65,2.51,2.32,2.34,2.29
Equity,Kotak Mah. Bank,Banks,3.73,3.68,3.67,3.56,-,-,-,-,-,-,-,-
Equity,Tube Investments,Capital Goods-Non Electrical Equipment,3.38,3.14,2.9,2.8,2.36,2.52,2.64,2.86,2.85,2.75,2.6,2.72
Equity,Titan Company,"Diamond, Gems and Jewellery",3.3,3.3,3.39,3.28,2.5,2.33,-,-,-,-,-,-
Equity,Tech Mahindra,IT - Software,3.06,3.01,3.34,2.89,3.88,3.58,3.45,-,-,-,-,-
Equity,M & M,Automobile,2.89,2.59,2.4,-,-,-,-,-,-,-,-,-
Equity,Shriram Finance,Finance,2.87,2.81,2.76,2.9,2.67,-,-,-,-,-,-,-
Equity,Tata Consumer,Plantation & Plantation Products,2.74,1.91,-,-,-,-,-,-,-,-,-,-
Equity,Ajanta Pharma,Pharmaceuticals,2.61,2.48,2.98,2.8,2.6,2.49,2.28,2.2,2.03,2.09,2.23,1.99
Equity,ICICI AMC,Finance,2.58,2.38,2.19,2.17,2.07,2.04,-,-,-,-,-,-
Equity,Phoenix Mills,Realty,2.43,2.4,2.21,2.56,2.65,2.84,2.63,2.55,2.41,2.36,2.29,2.34
Equity,Maruti Suzuki,Automobile,2.22,2.22,2.22,3.55,3.48,3.84,3.62,3.68,3.73,3.77,3.16,3.02
Equity,PB Fintech.,IT - Software,2.16,2.19,2.03,1.31,1.02,-,-,-,-,-,-,-
Equity,Havells India,Consumer Durables,2.16,2.25,2.34,2.39,2.19,2.21,2.19,3.34,2.62,3.78,3.67,3.67
Equity,Tata Motors,Automobile,2.08,2.4,2.5,2.09,-,-,-,-,-,-,-,-
Equity,Aurobindo Pharma,Pharmaceuticals,2.07,2.01,-,-,-,-,-,-,-,-,-,-
Equity,Shree Cement,Cement,2.03,1.92,1.98,1.97,2.04,1.93,1.83,1.96,1.93,1.95,2.02,1.97
Equity,Adani Power,Power Generation & Distribution,1.9,1.71,1.4,-,-,-,-,-,-,-,-,-
Equity,Astral,Plastic products,1.83,1.76,2.07,2.07,1.83,1.66,1.7,1.65,1.59,1.6,1.57,1.64
Equity,Hind.Aeronautics,Aerospace & Defence,1.78,1.72,1.39,-,-,-,-,-,-,-,-,-
Equity,Global Health,Healthcare,1.63,-,-,-,-,-,-,-,-,-,-,-
Equity,Gujarat Gas,Gas Distribution,1.59,1.49,1.69,2.01,2.09,1.91,1.8,1.85,2.0,1.97,2.04,2.13
Equity,Avenue Super.,Retail,-,-,-,-,-,-,-,3.07,3.38,3.73,3.3,3.44
Equity,Axis Bank,Banks,-,-,-,-,-,-,-,-,-,3.38,3.3,3.25
Equity,Bharat Electron,Aerospace & Defence,-,-,-,5.6e-05,5.6e-05,1.76,2.18,2.26,1.8,1.66,1.7,3.15
Equity,Bharti Airtel,Telecomm-Service,-,-,-,-,-,-,-,-,-,-,4.79,4.87
Equity,Syngene Intl.,Healthcare,-,-,-,-,1.22,1.62,1.56,1.53,1.5,1.52,1.71,1.46
Equity,Swiggy,E-Commerce/App based Aggregator,-,-,-,-,-,-,1.94,2.1,2.21,2.17,2.1,1.72
Equity,Cholaman.Inv.&Fn,Finance,-,-,-,-,2.33,3.98,4.31,4.5,4.37,2.9,2.9,3.17
Equity,Eternal Ltd,E-Commerce/App based Aggregator,-,-,-,-,-,4.79,2.5,-,-,-,-,-
Equity,Trent,Retail,-,1.63,2.61,-,-,-,-,-,-,-,-,1.63
Equity,Godrej Consumer,FMCG,-,-,-,2.51,3.12,3.28,3.04,2.97,3.17,3.9,4.25,3.97
Equity,P I Industries,Agro Chemicals,-,-,-,-,1.52,1.53,1.58,1.67,1.5,1.59,1.64,1.54
Equity,NTPC,Power Generation & Distribution,-,-,-,-,-,-,-,-,2.34,2.28,2.29,2.22
Equity,Hero Motocorp,Automobile,-,-,-,2.27,2.2,2.21,3.28,2.94,2.97,3.09,2.55,2.46
Equity,ICICI Lombard,Insurance,-,-,-,-,-,2.02,2.95,2.99,2.89,2.85,2.94,3.02
Equity,LTIMindtree,IT - Software,-,-,-,-,-,-,-,3.23,3.0,3.02,3.15,3.18
Equity,LG Electronics,Consumer Durables,-,-,-,1.9,1.74,1.49,1.54,0.72,-,-,-,-
Equity,Jubilant Food.,Quick Service Restaurant,-,-,-,-,-,-,2.39,2.27,2.39,2.46,2.64,3.15
Equity,Aster DM Health.,Healthcare,-,-,2.42,2.16,1.82,1.96,2.09,2.13,2.19,2.12,2.1,2.12
