Positions Over Time - Bajaj Finserv Large and Mid Cap Fund - Dir (G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,ICICI Bank,Banks,4.65,4.52,4.1,4.11,1.83,2.04,2.79,2.35,2.48,2.62,2.53
Equity,HDFC Bank,Banks,3.94,4.13,4.84,4.7,4.68,4.82,4.34,4.69,4.77,5.04,4.95
Equity,Federal Bank,Banks,3.44,3.28,3.39,3.32,3.0,2.44,2.15,0.72,0.73,0.48,1.3
Equity,Divi's Lab.,Pharmaceuticals,3.21,3.15,3.21,3.09,3.18,2.26,2.42,1.82,1.78,1.41,1.69
Equity,Dalmia BharatLtd,Cement,3.06,3.16,2.89,2.61,1.78,1.49,1.68,1.89,1.79,1.66,1.73
Equity,Schaeffler India,Bearings,2.8,2.89,2.14,1.54,1.41,1.32,1.15,0.95,0.89,0.75,-
Equity,Shriram Finance,Finance,2.72,2.8,2.05,1.69,2.39,1.49,1.57,-,-,-,-
Equity,SBI,Banks,2.56,2.36,3.06,3.32,2.95,3.77,3.71,3.65,3.15,3.11,-
Equity,Uno Minda,Auto Ancillaries,2.56,2.63,2.29,2.64,2.34,2.41,1.97,2.13,1.84,1.38,1.45
Equity,Berger Paints,Paints/Varnish,2.46,2.32,2.11,2.19,2.3,2.45,1.7,1.7,1.18,0.89,0.81
Equity,Blue Star,Consumer Durables,2.41,2.22,1.48,1.16,-,-,-,-,-,-,-
Equity,Fortis Health.,Healthcare,2.4,2.07,2.11,1.89,0.96,0.6,0.68999,-,-,-,-
Equity,Titan Company,"Diamond, Gems and Jewellery",2.39,2.93,2.63,2.77,1.82,1.57,-,-,-,-,-
Equity,Tata Steel,Steel,2.31,2.32,1.74,0.62,-,1.85,2.55,2.49,1.71,1.49,1.49
Equity,Petronet LNG,Gas Distribution,2.16,2.14,1.61,1.09,-,-,-,-,-,-,-
Equity,GE Vernova T&D,Capital Goods - Electrical Equipment,2.05,1.85,1.57,-,-,-,-,-,-,-,-
Equity,Reliance Industr,Refineries,2.04,2.12,1.97,2.01,3.37,3.41,2.63,1.69,1.71,2.23,3.19
Equity,Infosys,IT - Software,1.99,2.33,2.17,4.09,3.92,3.65,3.57,2.98,2.65,2.71,2.6
Equity,Axis Bank,Banks,1.88,1.72,1.83,1.97,-,-,-,-,-,-,-
Equity,ITC,Tobacco Products,1.81,0.95,-,-,-,-,-,0.5,1.17,0.71,0.71
Equity,Manappuram Fin.,Finance,1.8,1.92,1.94,1.18,-,-,-,-,-,-,-
Equity,Sona BLW Precis.,Auto Ancillaries,1.79,-,-,-,-,-,-,-,-,-,-
Equity,K P R Mill Ltd,Readymade Garments/ Apparells,1.76,1.66,1.27,0.76,0.45,0.00358,0.003649,-,-,-,-
Equity,Tata Motors PVeh,Automobile,1.71,1.25,0.41,-,-,-,-,-,-,-,-
Equity,Eternal,E-Commerce/App based Aggregator,1.65,1.57,1.77,3.05,1.78,-,-,-,-,-,-
Equity,Larsen & Toubro,Infrastructure Developers & Operators,1.6,1.18,3.19,2.99,3.23,3.26,3.32,3.95,2.89,2.08,2.07
Equity,Bharat Dynamics,Aerospace & Defence,1.52,0.73,-,-,-,-,-,-,-,-,-
Equity,Page Industries,Readymade Garments/ Apparells,1.48,-,-,-,-,-,-,-,-,-,0.44
Equity,Bajaj Finserv,Finance,1.43,1.13,1.23,1.23,1.26,1.31,1.34,1.36,1.32,1.34,1.4
Equity,Timken India,Bearings,1.43,1.19,1.1,0.71,0.35,0.37,0.65,0.52,0.87,1.0,0.92
Equity,BSE,Financial Services,1.41,1.24,1.63,1.44,1.32,1.48,0.89,-,0.22,0.25,-
Equity,Neuland Labs.,Pharmaceuticals,1.39,1.23,1.29,1.36,1.38,1.01,0.6,-,-,-,-
Equity,ITC Hotels,Hotels & Restaurants,1.38,-,-,-,-,-,-,-,0.68999,0.66,1.54
Equity,Navin Fluo.Intl.,Chemicals,1.31,0.83,0.76,1.16,0.52,0.51,0.52,-,-,-,-
Equity,Multi Comm. Exc.,Financial Services,1.3,1.16,1.06,1.54,1.55,1.42,1.13,1.52,1.11,1.16,1.33
Equity,Linde India,Chemicals,1.21,1.25,0.3,-,-,-,-,-,-,-,-
Equity,Bajaj Auto,Automobile,1.21,-,-,-,-,-,-,-,-,-,-
Equity,RBL Bank,Banks,1.19,1.03,0.7,-,-,-,-,-,-,-,-
Equity,Glenmark Pharma.,Pharmaceuticals,1.18,1.79,1.61,3.03,2.98,1.55,1.72,2.29,0.8,0.88,1.51
Equity,Dixon Technolog.,Consumer Durables,1.13,0.23,-,-,-,-,-,0.27,0.28,0.28,-
