Positions Over Time - Canara Robeco Large and Mid Cap Fund - Dir (G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,ICICI Bank,Banks,6.01,6.74,7.14,7.06,6.73,6.81,6.57,6.79,6.44,6.73,5.94
Equity,Indian Hotels Co,Hotels & Restaurants,5.01,5.0,5.25,5.32,5.61,5.53,5.49,5.5,5.71,5.57,5.5
Equity,TVS Motor Co.,Automobile,3.29,3.63,3.86,3.69,3.59,3.63,3.59,3.79,3.79,3.34,3.14
Equity,Eternal,E-Commerce/App based Aggregator,3.05,2.99,2.88,3.07,3.0,-,-,-,-,-,-
Equity,Federal Bank,Banks,3.01,3.27,4.0,3.85,3.44,3.25,3.04,2.71,2.69,2.71,2.79
Equity,Bharat Electron,Aerospace & Defence,2.91,3.32,3.51,3.61,3.4,3.43,3.54,3.64,3.32,3.39,3.4
Equity,M & M,Automobile,2.74,2.77,2.86,2.69,2.79,2.77,2.62,2.65,2.73,2.37,1.93
Equity,Uno Minda,Auto Ancillaries,2.61,2.69,3.09,3.34,3.5,3.48,3.37,3.76,4.1,3.58,3.71
Equity,Trent,Retail,2.5,2.21,2.34,2.28,2.48,2.41,2.51,2.55,2.88,2.78,3.37
Equity,Bharti Airtel,Telecom-Service,2.4,2.42,1.91,1.62,1.67,1.63,1.79,1.63,1.52,-,-
Equity,KPIT Technologi.,IT - Software,2.28,2.12,2.31,3.14,3.39,3.47,3.29,3.2,3.46,3.49,3.34
Equity,Multi Comm. Exc.,Financial Services,2.09,1.87,1.14,1.08,1.09,0.97,0.68999,0.66,0.63,0.65,0.74
Equity,Dixon Technolog.,Consumer Durables,2.09,2.12,2.18,2.17,2.42,2.86,3.02,3.28,3.55,3.58,3.12
Equity,PB Fintech.,IT - Software,1.99,1.9,1.67,1.05,0.97,0.7,0.68,0.59,0.56,0.57,0.56
Equity,Torrent Power,Power Generation & Distribution,1.91,1.6,1.72,1.67,1.51,1.3,1.28,1.22,1.23,1.31,1.43
Equity,HDFC Bank,Banks,1.89,1.24,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Equity,Tata Power Co.,Power Generation & Distribution,1.87,1.77,1.59,1.55,1.54,1.55,1.6,1.51,1.45,1.54,1.54
Equity,Bajaj Finance,Finance,1.79,1.47,1.26,1.17,1.17,1.03,1.11,1.19,1.18,1.18,1.22
Equity,Cholaman.Inv.&Fn,Finance,1.74,1.43,1.64,1.62,1.62,1.62,1.58,1.93,1.91,1.94,2.14
Equity,Max Healthcare,Healthcare,1.73,1.9,2.03,1.74,1.73,1.88,1.85,1.81,1.87,2.02,2.02
Equity,J K Cements,Cement,1.71,1.65,1.58,1.55,1.4,1.31,1.2,1.13,1.24,1.19,1.08
Equity,Solar Industries,Aerospace & Defence,1.51,1.32,1.27,1.0,0.88,0.75,0.68,0.63,0.57,0.29,0.15
Equity,Vishal Mega Mart,Retail,1.48,1.41,1.41,1.22,1.27,0.87,0.79,0.84,0.84,0.84,0.79
Equity,EIH,Hotels & Restaurants,1.46,1.39,1.43,1.44,1.62,1.76,1.83,1.74,1.93,1.81,1.72
Equity,Abbott India,Pharmaceuticals,1.43,1.62,1.56,1.63,1.65,1.66,1.6,1.66,1.79,1.95,1.99
Equity,Tata Consumer,Plantation & Plantation Products,1.41,1.62,1.87,1.86,1.93,2.11,2.09,2.08,1.96,1.98,1.98
