Positions Over Time - Franklin India Large & Mid Cap Fund - Dir (G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,Eternal,E-Commerce/App based Aggregator,3.935,4.42267,4.54952,4.97548,4.25851,-,-,-,-,-,-
Equity,HDFC Bank,Banks,2.9532,3.55721,3.90731,3.52474,2.97856,3.00405,2.95615,1.95858,1.94386,2.0494,1.97428
Equity,ICICI Bank,Banks,2.90142,3.00267,2.98338,3.12879,2.9691,1.82577,1.77616,1.85956,1.91256,2.01523,1.91052
Equity,Kotak Mah. Bank,Banks,2.86297,2.86202,3.04358,2.94446,1.9734,1.88967,1.87794,1.85997,1.81483,1.82118,1.93439
Equity,J B Chemicals &,Pharmaceuticals,2.80438,3.07188,4.50648,4.07675,3.79955,3.66943,3.00204,2.78246,2.78338,2.83951,1.29763
Equity,M & M,Automobile,2.75315,2.84748,2.96357,3.5071,3.62953,3.64771,2.94462,3.02358,2.79989,2.78683,2.69026
Equity,Axis Bank,Banks,2.4836,2.46565,3.88787,3.79029,2.09086,2.09126,-,-,-,-,1.87865
Equity,SBI,Banks,2.45872,1.7851,1.98253,1.74952,1.52752,2.09311,3.91983,3.8135,3.47919,3.43343,-
Equity,PB Fintech.,IT - Software,2.39586,2.73089,2.56502,2.52338,2.39598,1.94513,1.91749,1.90991,1.97094,1.54692,1.51244
Equity,AU Small Finance,Banks,2.31633,2.08319,2.14438,2.16402,2.33369,2.57968,2.87568,2.50341,1.97202,2.02465,2.16829
Equity,Vishal Mega Mart,Retail,2.18984,2.04446,1.82422,1.92053,1.99107,1.96717,1.68496,1.8131,1.80317,1.67432,1.11353
Equity,Marico,FMCG,2.10877,2.17122,2.10602,1.57504,1.5511,1.47085,1.4824,1.50038,1.54888,-,-
