Positions Over Time - Helios Large & Mid Cap Fund - Direct (G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,Adani Ports,Marine Port & Services,4.09,3.86,4.18,4.01,4.05,3.91,3.95,4.03,3.2,2.93,3.29
Equity,ICICI Bank,Banks,3.7,4.21,4.5,4.8,4.83,5.37,4.67,4.47,4.95,5.2,4.88
Equity,HDFC Bank,Banks,3.6,4.94,4.55,4.93,5.34,5.83,5.35,5.75,5.9,6.26,6.61
Equity,Eternal,E-Commerce/App based Aggregator,3.57,3.68,3.44,4.15,4.04,-,-,-,-,-,-
Equity,Reliance Industr,Refineries,3.39,4.87,4.25,4.37,4.75,4.86,2.43,-,-,-,-
Equity,Larsen & Toubro,Infrastructure Developers & Operators,3.09,3.21,3.67,3.66,3.18,2.11,-,-,-,-,-
Equity,Multi Comm. Exc.,Financial Services,3.0,2.88,2.35,2.34,2.13,2.07,2.17,1.65,-,-,-
Equity,One 97,E-Commerce/App based Aggregator,2.78,2.65,2.74,2.86,3.31,2.73,3.07,3.09,3.88,3.36,3.03
Equity,SBI,Banks,2.72,2.97,3.41,2.63,2.2,1.97,2.15,2.34,2.51,1.84,-
Equity,Hitachi Energy,Capital Goods - Electrical Equipment,2.58,2.22,2.19,1.51,1.49,1.93,1.77,2.09,2.48,2.85,3.03
Equity,Bharti Airtel,Telecom-Service,2.53,2.84,2.56,2.91,3.16,2.94,3.28,3.5,3.48,-,-
Equity,Cummins India,Capital Goods-Non Electrical Equipment,2.51,1.85,1.89,1.72,1.88,2.04,2.26,2.27,2.04,2.07,2.11
Equity,Bharat Electron,Aerospace & Defence,2.43,2.44,2.54,2.78,2.07,2.29,2.7,2.98,2.02,1.69,1.98
Equity,Fortis Health.,Healthcare,2.41,2.47,2.35,1.8,1.4,1.57,1.99,2.2,2.42,2.48,2.45
Equity,Bajaj Finance,Finance,2.41,2.45,2.85,2.65,2.86,2.69,3.08,3.44,2.99,2.77,3.14
Equity,ICICI AMC,Finance,2.13,2.16,2.24,2.33,1.48,-,-,-,-,-,-
Equity,Phoenix Mills,Realty,2.11,1.89,1.7,1.86,2.1,2.11,2.33,2.12,2.19,1.77,1.98
Equity,Tata Motors,Automobile,2.01,1.56,1.59,-,-,-,-,-,-,-,-
Equity,Kotak Mah. Bank,Banks,1.96,2.16,2.37,2.53,2.52,2.11,2.38,2.63,2.45,2.7,3.15
Equity,PB Fintech.,IT - Software,1.91,1.94,1.89,2.1,2.08,1.93,2.15,1.89,2.3,2.1,2.25
Equity,Shriram Finance,Finance,1.9,2.1,2.44,2.5,2.19,0.96,0.96,0.92,1.02,1.21,1.44
Equity,BSE,Financial Services,1.8,0.96,-,-,-,-,-,-,-,-,-
Equity,Schaeffler India,Bearings,1.8,2.0,1.57,0.65,0.71,0.77,0.9,0.97,1.05,1.22,1.28
Equity,Marico,FMCG,1.75,1.98,1.99,2.0,2.08,2.14,2.45,2.59,1.97,2.11,2.28
Equity,Solar Industries,Aerospace & Defence,1.68,1.33,-,-,-,-,-,-,-,-,-
Equity,Nippon Life Ind.,Finance,1.62,1.53,1.67,0.98,0.99,1.06,1.21,1.4,1.48,1.67,1.76
Equity,GE Vernova T&D,Capital Goods - Electrical Equipment,1.61,1.56,1.55,-,-,-,-,-,-,-,-
Equity,NTPC,Power Generation & Distribution,1.59,1.75,0.78,0.79,0.74,0.79,0.93,1.09,1.23,1.37,1.46
Equity,Hero Motocorp,Automobile,1.56,1.59,1.68,1.77,1.87,2.15,2.2,2.42,1.72,-,-
Equity,Muthoot Finance,Finance,1.47,1.61,1.6,1.98,2.0,2.11,2.04,2.09,1.87,2.02,2.16
Equity,HDFC AMC,Finance,1.38,1.34,1.53,1.54,1.67,1.79,2.05,2.46,2.84,3.22,3.15
Equity,DLF,Realty,1.36,1.4,1.3,1.49,0.89,1.0,1.19,1.31,1.59,1.36,1.55
Equity,K P R Mill Ltd,Readymade Garments/ Apparells,1.34,1.41,1.43,0.71,0.78,0.96,1.08,0.92,1.0,1.26,1.34
Equity,Apar Inds.,Capital Goods - Electrical Equipment,1.34,1.28,1.1,0.75,0.79,0.93,1.01,1.11,1.22,1.54,1.61
Equity,APL Apollo Tubes,Capital Goods-Non Electrical Equipment,1.32,1.6,1.47,1.18,1.12,1.08,1.28,1.41,1.57,1.71,1.7
Equity,Varun Beverages,FMCG,1.31,0.65,0.71,0.8,0.85,0.9,1.0,1.1,1.19,1.14,1.07
Equity,Vishal Mega Mart,Retail,1.3,1.33,1.39,1.41,1.55,1.66,2.01,2.0,2.12,1.74,1.78
Equity,Torrent Pharma.,Pharmaceuticals,1.29,1.54,1.48,1.47,1.45,1.24,1.35,1.59,1.84,1.05,1.01
Equity,Motil.Oswal.Fin.,Stock/ Commodity Brokers,1.25,1.18,1.26,1.42,1.64,1.73,2.01,1.87,2.1,2.44,2.49
Equity,Uno Minda,Auto Ancillaries,1.15,1.27,1.1,1.18,1.31,1.43,1.54,1.41,1.35,1.2,1.36
Equity,GMR Airports,Miscellaneous,1.13,-,-,-,-,-,-,-,-,-,-
Equity,Apollo Hospitals,Healthcare,1.1,1.27,1.25,1.21,1.24,1.39,1.66,1.86,1.85,1.47,1.51
Equity,360 ONE,Stock/ Commodity Brokers,1.03,1.13,0.98,1.09,1.17,0.93,0.97,-,-,-,-
Equity,Physicswallah,Education,0.99,0.95,0.88,1.31,1.48,1.25,-,-,-,-,-
Equity,Endurance Tech.,Auto Ancillaries,0.99,0.84,0.95,0.93999,-,-,-,-,-,-,-
Equity,Aditya Birla Cap,Finance,0.93,0.93999,0.62,0.67,0.71,0.77,0.79,0.83,0.92,0.93,0.81
Equity,Axis Bank,Banks,0.92,-,-,-,-,-,-,-,-,-,1.65
Equity,Power Grid Corpn,Power Generation & Distribution,0.91,1.01,0.42,0.39,0.41,0.45,0.54,0.61,0.71,0.82,0.9
Equity,Titan Company,"Diamond, Gems and Jewellery",0.88,-,-,-,-,-,-,-,-,-,-
Equity,Siemens Ener.Ind,Power Generation & Distribution,0.87,0.81,0.87,0.8,0.84,1.11,1.27,1.6,1.84,1.54,0.77
Equity,Swiggy,E-Commerce/App based Aggregator,0.85,0.97,1.05,1.17,1.48,1.56,1.93,2.32,2.36,2.54,-
Equity,Adani Energy Sol,Power Generation & Distribution,0.76,0.63,0.64,0.61,0.72,0.74,0.84,0.87,0.89,0.23,0.27
Equity,Indian Hotels Co,Hotels & Restaurants,0.74,0.79,0.86,0.95,1.05,1.14,1.29,1.47,1.47,0.78,0.85
Equity,A B B,Capital Goods - Electrical Equipment,0.65,0.64,0.61,0.61,0.57,0.61,0.71,0.82,0.92,1.11,1.31
Equity,ICICI Lombard,Insurance,0.56,0.65,0.68,0.7,0.77,0.83,0.96,0.4,0.46,1.1,1.24
Equity,Bajaj Auto,Automobile,0.52,0.54,0.57,0.6,0.59,0.62,0.68999,0.79,0.91,0.93,1.03
Equity,Glaxosmi. Pharma,Pharmaceuticals,0.37,0.43,0.45,0.46,0.48,0.53,0.62,0.73,0.9,1.12,1.28
Equity,St Bk of India,Banks,-,-,-,-,-,-,-,-,-,-,2.02
Equity,360 ONE,Finance,-,-,-,-,-,-,-,1.07,1.24,1.4,1.7
Equity,Page Industries,Readymade Garments/ Apparells,-,-,-,-,-,-,-,-,-,0.35,0.38
Equity,LG Electronics,Consumer Durables,-,-,-,-,1.07,1.25,1.43,-,-,-,-
Equity,KPIT Technologi.,IT - Software,-,-,-,1.54,1.76,1.81,1.33,1.46,1.85,2.09,2.28
Equity,Interglobe Aviat,Air Transport Service,-,-,-,-,-,1.63,1.77,1.83,1.95,1.24,1.33
Equity,I O C L,Refineries,-,-,1.25,1.18,1.23,1.28,1.5,-,-,-,-
Equity,Honeywell Auto,Electronics,-,-,-,-,0.22,0.26,0.3,0.35,0.44,0.48,0.52
Equity,HDFC Life Insur.,Insurance,-,-,-,-,-,-,-,1.0,1.2,1.28,1.47
Equity,H P C L,Refineries,-,-,3.1,3.27,3.88,2.83,2.96,3.09,3.06,3.73,4.16
Equity,Eternal Ltd,E-Commerce/App based Aggregator,-,-,-,-,-,3.85,3.73,4.25,3.65,3.31,2.57
Equity,Billionbrains,Stock/ Commodity Brokers,-,-,-,1.34,-,-,-,-,-,-,-
Equity,Bharti Airtel,Telecomm-Service,-,-,-,-,-,-,-,-,-,2.72,3.04
Equity,REC Ltd,Finance,-,-,-,1.23,0.8,0.87,1.03,1.19,1.31,1.61,1.75
Reverse Repo,TREPS,Debt Others,1.34,2.25,1.69,1.84,2.42,3.34,3.49,5.79,1.77,5.19,1.98
Net CA & Others,Net CA & Others,Debt Others,-0.29,-0.51,-0.18,-0.47,-0.39,-0.21,-0.75,-3.44,0.33,-0.25,-0.16
