Positions Over Time - ITI Large & Mid Cap Fund - Direct (G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,Reliance Industr,Refineries,2.89,3.09,2.78,2.75,2.83,2.7,2.45,2.39,2.4,2.39,2.47
Equity,IndusInd Bank,Banks,2.71,2.54,2.79,2.59,2.28,2.17,2.01,1.68,1.29,1.35,-
Equity,Bharti Hexacom,Telecom-Service,2.59,2.94,2.71,2.58,2.78,2.58,2.59,2.46,2.66,-,-
Equity,ICICI Bank,Banks,2.04,2.22,3.25,3.16,2.86,2.84,3.62,2.86,3.0,3.09,2.89
Equity,Larsen & Toubro,Infrastructure Developers & Operators,1.95,1.94,2.05,1.86,1.77,-,-,-,-,0.46,0.44
Equity,SBI,Banks,1.9,1.98,2.11,2.26,1.88,1.8,1.83,1.82,2.15,2.08,-
Equity,H U D C O,Finance,1.73,1.43,1.45,1.47,1.6,1.61,1.72,1.72,1.59,1.61,1.72
Equity,Supriya Lifesci.,Pharmaceuticals,1.73,1.59,1.61,1.64,1.67,1.59,1.67,1.86,1.68,1.66,1.7
Equity,LG Electronics,Consumer Durables,1.71,1.77,1.69,1.53,1.46,1.52,0.58,-,-,-,-
Equity,KEI Industries,Cables,1.67,1.77,1.93,1.6,1.62,1.44,1.34,1.44,1.36,1.92,2.29
Equity,Sun Pharma.Inds.,Pharmaceuticals,1.63,1.47,1.26,1.14,1.13,1.15,1.01,1.02,1.03,1.07,1.0
Equity,TVS Motor Co.,Automobile,1.57,1.72,1.72,1.61,1.49,1.35,1.29,1.34,1.29,1.07,1.07
Equity,Axis Bank,Banks,1.57,1.64,1.69,1.66,1.75,1.69,1.55,1.52,1.41,0.81,0.87
Equity,Kotak Mah. Bank,Banks,1.52,1.6,1.62,1.58,1.56,1.44,1.36,1.56,2.05,1.41,0.79
Equity,Bajaj Finance,Finance,1.5,1.46,1.57,1.45,1.41,1.42,1.36,2.38,2.11,2.07,2.1
Equity,Divi's Lab.,Pharmaceuticals,1.5,2.31,2.15,2.01,1.94,1.88,1.87,1.22,1.33,1.39,1.37
Equity,One 97,E-Commerce/App based Aggregator,1.48,1.48,1.47,1.5,1.09,0.68,-,-,-,-,-
Equity,NLC India,Power Generation & Distribution,1.43,1.39,1.16,1.14,1.01,0.93999,0.97,0.49,0.39,1.41,1.59
Equity,Kirl.Pneumatic,Capital Goods-Non Electrical Equipment,1.38,1.26,1.22,1.18,1.01,0.99,0.55,-,-,-,-
Equity,A B Real Estate,Realty,1.26,1.08,1.08,1.05,1.26,1.28,1.5,1.44,1.51,1.58,1.95
Equity,Aditya Birla Cap,Finance,1.26,1.22,1.24,1.21,1.17,1.12,0.97,-,-,-,-
Equity,Aster DM Health.,Healthcare,1.24,1.35,1.33,1.11,1.13,1.17,1.14,1.12,1.08,1.06,1.0
Equity,Glenmark Pharma.,Pharmaceuticals,1.22,1.02,0.89,0.83,0.76,-,-,-,-,-,-
Equity,PB Fintech.,IT - Software,1.22,1.4,1.25,1.38,1.4,1.33,1.25,1.27,1.33,1.32,1.28
Equity,BSE,Financial Services,1.2,1.01,0.88,0.9,0.51,-,-,0.31,1.64,0.76,-
Equity,Bharat Electron,Aerospace & Defence,1.19,1.26,1.21,1.21,0.98,0.97,0.96,0.97,0.89,0.9,0.95
Equity,IIFL Finance,Finance,1.19,0.99,0.99,1.04,1.08,1.16,1.02,1.12,1.07,-,-
Equity,Phoenix Mills,Realty,1.17,1.14,1.08,1.08,1.95,1.75,1.62,1.59,1.55,0.92,0.93
Equity,Swiggy,E-Commerce/App based Aggregator,1.17,1.08,1.08,1.1,1.25,2.13,1.99,2.19,1.67,0.53,-
Equity,JSW Energy,Power Generation & Distribution,1.16,1.11,0.99,0.93,0.89,0.86,0.89,0.95,0.88,0.91,0.58
Equity,Bank of Maha,Banks,1.12,1.18,1.24,1.25,1.09,-,-,-,-,-,-
Equity,Eternal,E-Commerce/App based Aggregator,1.12,0.97,0.91,1.0,0.93,-,-,-,-,-,-
Equity,Max Healthcare,Healthcare,1.12,1.24,1.22,1.05,1.05,1.12,1.06,1.09,1.14,1.2,1.18
Equity,Bharat Forge,"Castings, Forgings & Fastners",1.11,1.53,1.52,1.13,1.05,0.98,1.06,1.03,0.95,0.98,1.05
Equity,Hindalco Inds.,Non Ferrous Metals,1.11,1.08,0.98,1.01,0.85,0.74,0.74,-,-,-,-
Equity,M & M,Automobile,1.11,1.21,1.2,1.2,1.19,1.15,1.02,1.07,1.01,0.98,0.93
Equity,Cummins India,Capital Goods-Non Electrical Equipment,1.1,1.27,1.2,0.99,0.98,0.95,1.36,1.7,1.67,1.51,1.95
Equity,PNB Housing,Finance,1.07,1.5,1.42,1.4,1.48,1.35,1.32,1.5,1.51,1.42,1.53
Equity,Shakti Pumps,Capital Goods-Non Electrical Equipment,1.02,0.95,0.92,1.1,1.17,1.32,1.19,1.26,1.26,1.35,-
Equity,Grasim Inds,Textiles,1.01,-,-,-,-,-,-,-,-,-,-
Equity,Motil.Oswal.Fin.,Stock/ Commodity Brokers,1.01,-,-,-,-,-,-,-,-,-,-
Equity,Sona BLW Precis.,Auto Ancillaries,0.99,1.08,1.03,0.95,0.84,0.75,0.67,-,-,-,-
Equity,HDFC Life Insur.,Insurance,0.98,0.91,0.96,0.97,0.72,0.68999,-,-,-,-,-
Equity,Elecon Engg.Co,Capital Goods-Non Electrical Equipment,0.97,0.78,0.79,0.87,0.93999,0.93999,1.0,-,-,-,-
Equity,Bharti Airtel,Telecom-Service,0.97,1.05,0.95,0.99,0.97,0.54,0.5,-,-,-,-
Equity,Max Financial,Miscellaneous,0.96,1.03,1.08,0.95,0.71,-,-,-,-,-,-
Equity,Mazagon Dock,Aerospace & Defence,0.95,0.82,0.77,0.88,0.78,0.8,0.78,0.84,0.8,0.82,0.47
Equity,Torrent Power,Power Generation & Distribution,0.93999,1.12,1.16,1.02,-,-,-,-,-,-,-
Equity,Multi Comm. Exc.,Financial Services,0.92,0.84,0.97,0.56,0.45,0.39,0.51,1.26,-,-,-
Equity,Indian Bank,Banks,0.92,1.05,1.06,0.96,1.07,1.06,1.15,1.55,1.36,1.26,1.25
