Positions Over Time - Invesco India Large & Mid Cap Fund-Dir (G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,Max Healthcare,Healthcare,7.07,7.04,7.18,6.6,5.46,5.68,5.37,5.38,5.17,5.16,3.74
Equity,Eternal,E-Commerce/App based Aggregator,6.26,5.15,4.32,5.03,4.9,-,-,-,-,-,-
Equity,Interglobe Aviat,Air Transport Service,6.12,5.77,5.95,5.8,5.92,5.0,4.83,5.15,5.19,5.28,5.42
Equity,ICICI Bank,Banks,5.99,4.48,3.99,3.88,1.6,1.64,1.66,1.78,1.91,2.47,2.44
Equity,Sai Life,Pharmaceuticals,4.69,4.94,4.55,3.99,4.16,4.03,4.35,4.37,4.35,3.16,2.87
Equity,Trent,Retail,4.62,4.26,4.52,4.16,4.5,4.44,4.88,4.52,5.31,5.11,5.39
Equity,Prestige Estates,Realty,4.54,3.23,3.33,3.38,3.53,3.69,4.0,3.43,3.68,3.89,4.02
Equity,BSE,Financial Services,4.12,5.03,4.56,4.94,4.45,4.88,4.34,3.82,4.08,4.79,4.74
Equity,A B B,Capital Goods - Electrical Equipment,3.44,3.28,2.93,2.07,1.84,1.83,1.93,2.05,2.05,2.51,2.81
Equity,Glenmark Pharma.,Pharmaceuticals,3.31,3.39,3.06,3.02,2.92,2.78,2.81,3.11,3.18,3.58,2.99
Equity,L&T Finance Ltd,Finance,3.25,3.23,3.43,4.28,4.53,4.45,4.01,3.96,3.58,3.39,3.5
Equity,Federal Bank,Banks,3.23,3.38,3.51,4.0,3.98,3.22,3.07,2.29,2.37,2.54,2.71
Equity,Amber Enterp.,Consumer Durables,3.09,2.92,3.19,2.28,2.07,2.24,1.87,1.48,-,-,-
Equity,AU Small Finance,Banks,3.0,2.88,2.94,3.8,3.69,3.52,3.36,2.57,1.94,-,-
Equity,IndusInd Bank,Banks,2.76,2.63,3.0,-,-,-,-,-,-,-,-
Equity,Cholaman.Inv.&Fn,Finance,2.61,2.62,3.01,4.46,4.46,4.52,4.6,4.67,4.28,4.35,3.97
Equity,Aditya Infotech,Electronics,2.45,2.19,1.85,1.59,1.64,1.68,1.5,1.61,1.6,-,-
Equity,J K Cements,Cement,2.23,2.48,2.48,2.54,2.43,2.52,2.83,3.07,3.52,3.42,3.21
Equity,Global Health,Healthcare,1.95,1.82,1.94,1.88,2.03,2.12,2.25,2.41,2.62,2.53,2.23
Equity,Bharti Airtel,Telecom-Service,1.84,2.01,-,-,-,-,-,-,-,-,-
Equity,Swiggy,E-Commerce/App based Aggregator,1.74,3.08,3.54,3.81,4.55,4.28,4.71,4.46,4.49,4.49,4.52
Equity,SRF,Chemicals,1.73,1.5,-,-,-,-,-,-,-,-,-
Equity,Hexaware Tech.,IT - Software,1.69,1.86,1.86,2.64,2.78,2.73,2.58,2.7,2.04,1.72,2.11
Equity,Krishna Institu.,Healthcare,1.67,1.8,1.93,1.64,1.59,1.78,1.95,1.79,1.92,0.73,0.67
Equity,Max Financial,Miscellaneous,1.67,1.82,1.99,1.86,1.84,1.87,1.76,1.92,2.03,1.93,-
Equity,UltraTech Cem.,Cement,1.62,1.73,1.44,1.51,-,-,-,-,-,-,-
Equity,HDFC AMC,Finance,1.51,1.8,1.97,2.69,2.88,2.86,3.0,2.55,2.62,2.75,2.56
Equity,Phoenix Mills,Realty,1.4,1.38,1.37,1.44,1.54,1.43,1.44,1.43,1.43,1.4,1.39
Equity,Timken India,Bearings,1.29,1.4,1.35,1.2,1.18,1.23,1.28,1.31,1.3,1.52,1.63
Equity,Ethos,Retail,1.12,1.18,1.18,1.3,1.45,-,-,-,-,-,-
Equity,Carborundum Uni.,Capital Goods-Non Electrical Equipment,0.98,0.92,0.88,0.88,0.92,0.91,1.0,1.1,1.12,1.16,1.23
Equity,Sonata Software,IT - Software,0.86,0.82,0.93999,1.17,1.27,1.25,1.35,1.35,1.26,1.32,1.4
Equity,Go Digit General,Insurance,0.85,1.23,1.14,1.16,1.18,1.21,1.27,1.31,1.4,1.47,1.46
Equity,Sobha,Realty,0.73,0.7,0.74,0.8,0.78,0.81,0.89,0.91,0.88,0.99,0.92
Equity,Max Estates,Realty,0.65,0.59,0.68999,0.68999,0.78,0.83,0.83,0.89,0.88,0.97,0.96
Equity,Torrent Power,Power Generation & Distribution,0.62,-,-,-,-,-,-,-,-,-,-
Equity,Bansal Wire Inds,Steel,0.56,0.49,0.52,0.57,0.61,0.63,0.62,0.74,0.81,0.91,0.91
Equity,Craftsman Auto,Auto Ancillaries,0.55,0.58,0.56,0.57,0.58,0.52,0.52,-,-,-,-
Equity,Grindwell Norton,Capital Goods-Non Electrical Equipment,0.53,0.49,0.54,0.53,0.51,0.51,0.57,0.58,0.59,0.59,0.67
Equity,Corona Remedies,Pharmaceuticals,0.44,0.46,0.42,0.41,0.37,-,-,-,-,-,-
Equity,Wework India,Co-Working,0.38,0.36,0.35,0.43,-,-,-,-,-,-,-
Equity,Safari Inds.,Plastic products,0.31,0.37,0.42,0.49,0.53,0.61,0.56,0.62,0.63,0.62,0.65
Equity,ICICI Lombard,Insurance,0.23,0.25,-,-,-,1.16,1.22,1.24,1.25,1.33,1.43
Equity,FSN E-Commerce,E-Commerce/App based Aggregator,0.18,0.18,0.18,0.17,0.18,0.18,-,-,-,-,-
