Positions Over Time - Motilal Oswal Large and Midcap Fund - Dir (G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,Multi Comm. Exc.,Financial Services,5.253276,5.23439,4.9882,5.30804,4.43784,3.4357,3.66077,3.33228,3.44634,3.54586,4.12662
Equity,CG Power & Ind,Capital Goods - Electrical Equipment,5.177903,4.99888,4.81354,2.9393,3.39972,3.50967,3.9491,3.88225,3.96904,3.84365,3.75714
Equity,Eternal,E-Commerce/App based Aggregator,5.072909,5.53271,5.04718,5.67013,5.58869,-,-,-,-,-,-
Equity,Muthoot Finance,Finance,5.053852,5.4891,4.43211,4.64816,4.3952,3.95534,3.44793,3.45182,2.37611,1.807,0.84174
Equity,Billionbrains,Stock/ Commodity Brokers,4.607994,4.18332,4.20414,4.68217,3.49718,2.66904,-,-,-,-,-
Equity,Shriram Finance,Finance,4.307103,4.59563,5.00677,3.38149,2.67376,-,-,-,-,-,-
Equity,Apar Inds.,Capital Goods - Electrical Equipment,4.188332,4.23614,4.79225,3.59982,3.48042,3.4259,3.37199,3.184,3.20708,3.65502,3.75151
Equity,Waaree Energies,Capital Goods - Electrical Equipment,3.979069,4.75607,3.86155,3.93829,3.7126,3.35128,3.77553,3.70683,4.22535,3.7311,3.75486
Equity,OneSource Speci.,Pharmaceuticals,3.953464,3.81925,2.9817,2.45121,3.40745,2.4919,3.00285,2.87709,2.99078,2.96321,3.22135
Equity,PTC Industries,"Castings, Forgings & Fastners",3.945931,4.32281,4.36048,4.38333,4.15666,4.05187,3.88487,3.57625,3.21373,3.27258,3.38301
Equity,Bharat Electron,Aerospace & Defence,3.88095,4.32161,4.4703,4.74182,3.81465,3.80584,4.0393,4.13291,4.28993,4.52074,4.80504
Equity,Premier Energies,Trading,3.830231,3.83847,2.64921,2.40199,2.56191,2.70554,3.13857,2.81093,2.77541,2.92795,-
Equity,Ather Energy,Automobile,3.727602,3.46171,3.04171,2.29998,2.35183,1.75892,-,-,-,-,-
Equity,One 97,E-Commerce/App based Aggregator,3.546522,3.42615,3.80217,3.94672,4.27076,3.40284,3.38883,2.92756,3.43058,2.64455,2.27078
Equity,Suzlon Energy,Capital Goods - Electrical Equipment,3.546443,2.687,2.06023,2.36717,2.48388,2.53175,2.83384,2.97008,3.21113,3.25644,3.49231
Equity,Amber Enterp.,Consumer Durables,3.413609,3.33979,3.76722,2.73978,2.70381,2.96962,3.28103,3.48664,3.5422,3.56875,2.73326
Equity,Zen Technologies,Aerospace & Defence,3.259689,2.99065,2.55053,2.37737,2.05373,1.95034,1.94529,2.23838,2.43462,2.30281,2.92973
Equity,Samvardh. Mothe.,Auto Ancillaries,3.231858,3.1654,3.5343,2.76623,2.85016,2.74727,3.11245,3.36749,3.22548,3.43366,3.78744
Equity,Gujarat Fluoroch,Chemicals,3.059288,3.03007,3.25696,2.61414,2.87868,2.43985,2.58869,2.45015,2.1854,2.05144,2.4071
Equity,Titan Company,"Diamond, Gems and Jewellery",2.699712,-,-,-,-,-,-,-,-,-,-
Equity,Bharat Dynamics,Aerospace & Defence,2.685196,2.49451,2.59192,3.00154,2.5893,2.29841,2.56108,2.64659,2.77636,3.18129,4.02793
Equity,Bajaj Finance,Finance,2.565367,2.63064,2.94306,2.92285,4.16186,4.34938,4.45279,3.61662,3.19912,3.26309,3.72661
Equity,Ola Electric,Automobile,2.292923,1.71411,1.76701,2.32965,2.2531,2.03483,2.40169,2.73726,-,-,-
Equity,TVS Motor Co.,Automobile,1.946678,3.31452,3.55351,3.62668,3.71168,3.5026,3.54462,1.26127,0.53802,-,-
Equity,Jain Resource,Non Ferrous Metals,1.937946,2.24143,0.19237,-,-,-,-,-,-,-,-
Equity,V2 Retail,Retail,1.814694,2.07075,1.95746,2.0146,2.33603,2.2531,2.26691,2.22963,2.0807,2.17903,2.2068
