Positions Over Time - Tata Large & Mid Cap Fund - Direct (G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,HDFC Bank,Banks,8.51,8.94,9.38,9.84,9.82,9.9,9.62,9.61,9.63,10.12,9.91
Equity,SBI,Banks,5.75,5.84,6.2,5.57,4.92,4.87,4.62,4.46,4.11,3.95,-
Equity,Varun Beverages,FMCG,4.61,3.82,3.88,4.06,3.95,3.85,3.72,3.65,4.01,4.17,3.6
Equity,IDFC First Bank,Banks,4.31,4.03,4.35,4.96,4.76,4.42,4.47,3.89,3.8,3.72,3.69
Equity,Reliance Industr,Refineries,4.22,4.39,3.94,4.28,5.06,5.01,4.71,4.49,4.47,4.44,4.73
Equity,P I Industries,Agro Chemicals,4.15,4.09,4.05,4.17,3.95,4.08,4.26,4.34,4.57,5.09,4.79
Equity,Bharti Airtel,Telecom-Service,4.06,4.25,3.63,3.81,3.82,3.78,3.66,3.47,3.5,-,-
Equity,Godrej Propert.,Realty,4.0,3.55,3.61,3.3,3.92,4.11,4.41,3.93,3.89,3.67,2.04
Equity,SBI Cards,Finance,3.8,3.97,4.18,3.63,3.62,3.57,3.53,3.66,3.21,2.95,3.44
Equity,ICICI Bank,Banks,3.72,3.94,3.89,3.83,3.56,3.65,3.5,3.64,3.78,3.88,3.74
Equity,Tega Inds.,Capital Goods-Non Electrical Equipment,2.56,2.83,2.68,-,-,-,-,-,-,-,-
Equity,Bharat Forge,"Castings, Forgings & Fastners",2.49,2.46,2.43,1.84,1.35,1.18,1.08,1.03,0.93999,0.96,1.06
Equity,Tata Comm,Telecom-Service,2.33,2.2,2.26,2.22,2.42,2.38,2.44,2.18,2.09,-,-
Equity,M & M Fin. Serv.,Finance,2.29,2.34,2.64,2.66,2.67,2.44,2.06,1.81,1.55,1.52,1.57
Equity,Godrej Industrie,Chemicals,2.15,1.86,2.13,2.09,1.74,1.81,1.89,1.98,2.03,1.83,1.96
Equity,ACC,Cement,2.04,2.0,2.19,2.26,2.14,1.59,1.6,1.61,1.59,1.53,1.62
Equity,United Breweries,Alcoholic Beverages,1.98,2.31,2.09,1.91,1.96,2.03,2.14,2.22,2.18,0.41,-
Equity,Thermax,Capital Goods - Electrical Equipment,1.88,1.86,1.54,1.42,0.63,0.6,0.66,0.67,0.68,0.81,0.68999
Equity,Larsen & Toubro,Infrastructure Developers & Operators,1.87,1.81,1.91,1.76,1.71,1.69,1.66,1.56,1.54,1.51,1.5
Equity,Wockhardt,Pharmaceuticals,1.75,1.63,1.64,1.67,1.63,1.38,1.42,1.74,1.64,1.86,1.89
