Positions Over Time - Bajaj Finserv Large Cap Fund - Direct (G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,ICICI Bank,Banks,7.48,7.77,7.21,6.41,4.22,4.52,5.65,5.55,5.95,6.31,5.95
Equity,HDFC Bank,Banks,6.55,6.76,7.48,7.66,7.98,7.75,6.77,7.27,7.32,8.1,7.77
Equity,Reliance Industr,Refineries,5.83,5.96,4.95,5.01,8.36,8.08,6.88,4.78,4.79,5.76,6.28
Equity,Divi's Lab.,Pharmaceuticals,4.24,4.03,4.27,4.08,4.61,3.85,4.52,4.27,3.66,3.72,3.72
Equity,Nestle India,FMCG,4.23,3.51,3.42,3.0,2.51,1.82,0.57,-,-,-,-
Equity,SBI,Banks,4.08,3.87,4.42,6.19,6.0,7.07,6.77,6.78,6.28,6.61,-
Equity,TVS Motor Co.,Automobile,3.97,3.67,3.06,3.12,3.78,3.76,2.88,3.62,3.81,1.99,-
Equity,LG Electronics,Consumer Durables,3.97,3.78,3.82,3.13,-,-,-,-,-,-,-
Equity,Apollo Hospitals,Healthcare,3.56,4.02,3.75,3.03,2.75,2.13,1.98,1.68,0.48,-,-
Equity,Tata Steel,Steel,3.42,3.06,2.5,0.83,-,2.42,3.73,3.58,3.3,3.58,3.5
Equity,UltraTech Cem.,Cement,3.39,3.42,4.11,3.19,-,-,-,2.03,3.03,4.62,4.41
Equity,A B B,Capital Goods - Electrical Equipment,3.31,-,-,-,-,-,-,-,-,-,-
Equity,Shriram Finance,Finance,3.28,3.32,2.52,1.75,2.34,-,-,-,-,-,-
Equity,Titan Company,"Diamond, Gems and Jewellery",2.91,3.2,3.17,2.97,1.49,-,-,-,-,-,-
Equity,Axis Bank,Banks,2.88,2.87,2.25,2.7,-,-,-,-,-,-,-
Equity,Kotak Mah. Bank,Banks,2.87,2.88,2.99,2.85,3.01,1.52,2.34,3.29,3.0,3.71,3.92
Equity,IndusInd Bank,Banks,2.85,3.01,3.56,3.3,3.21,2.68,-,-,-,-,-
Equity,NTPC,Power Generation & Distribution,2.8,3.51,4.49,4.23,-,-,-,-,-,-,-
Equity,Eternal,E-Commerce/App based Aggregator,2.58,2.6,2.04,3.64,2.45,-,-,-,-,-,-
Equity,Larsen & Toubro,Infrastructure Developers & Operators,2.53,2.22,3.94,3.66,5.45,5.49,5.44,6.03,5.09,4.86,4.75
Equity,Indus Towers,Telecom Equipment & Infra Services,2.49,3.68,3.54,3.43,3.16,2.47,-,-,-,-,-
Equity,Infosys,IT - Software,2.44,2.81,2.58,5.47,5.25,4.83,4.59,4.09,3.47,3.78,3.62
