Positions Over Time - Canara Robeco Large Cap Fund - Direct (G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,HDFC Bank,Banks,8.33,8.48,8.87,9.08,9.41,9.54,9.51,9.45,9.47,9.97,9.7
Equity,ICICI Bank,Banks,7.71,7.99,8.14,8.01,7.75,8.0,7.88,8.24,8.39,8.68,8.36
Equity,Reliance Industr,Refineries,5.54,5.65,5.22,5.29,5.88,5.86,5.65,5.36,5.41,5.42,5.3
Equity,Bharti Airtel,Telecom-Service,4.67,4.71,4.25,4.21,4.4,4.38,4.26,4.0,3.97,-,-
Equity,SBI,Banks,4.5,4.14,4.59,4.51,4.13,4.11,4.0,3.83,3.32,2.99,-
Equity,Larsen & Toubro,Infrastructure Developers & Operators,4.23,4.07,4.33,3.99,4.05,4.02,4.05,3.84,3.78,3.79,3.66
Equity,Infosys,IT - Software,3.78,4.17,3.6,4.54,4.28,4.1,3.96,4.02,4.16,4.24,4.34
Equity,Axis Bank,Banks,3.29,3.19,3.21,3.18,2.55,2.56,2.46,2.35,2.2,2.24,2.56
Equity,M & M,Automobile,3.04,3.25,3.32,3.36,3.55,3.52,3.33,3.41,3.31,3.26,3.2
Equity,Bajaj Finance,Finance,2.99,2.78,2.93,2.71,2.77,2.91,2.97,2.97,2.65,2.64,2.77
Equity,UltraTech Cem.,Cement,2.45,2.43,2.47,2.44,2.16,2.13,2.3,2.64,2.77,2.66,2.59
Equity,Kotak Mah. Bank,Banks,2.23,2.23,2.27,2.21,2.33,2.25,2.26,2.12,1.94,1.94,2.03
Equity,Eternal,E-Commerce/App based Aggregator,1.99,2.01,1.81,1.88,1.98,-,-,-,-,-,-
Equity,Sun Pharma.Inds.,Pharmaceuticals,1.61,1.7,1.5,1.38,1.51,2.01,1.88,1.85,1.88,1.88,1.61
Equity,Varun Beverages,FMCG,1.56,1.27,1.33,1.37,1.39,1.29,1.25,1.18,1.32,1.29,1.03
Equity,Tech Mahindra,IT - Software,1.5,1.52,1.29,1.66,1.48,1.41,1.24,1.27,1.36,1.19,1.35
Equity,Tata Consumer,Plantation & Plantation Products,1.45,1.4,1.43,1.43,1.47,1.44,1.46,1.48,1.41,1.41,1.5
Equity,ITC,Tobacco Products,1.43,1.42,1.38,1.41,2.59,2.59,2.63,2.36,2.32,2.31,2.31
Equity,Maruti Suzuki,Automobile,1.41,1.49,1.6,1.45,1.62,1.54,1.59,1.65,1.34,1.13,1.1
Equity,Titan Company,"Diamond, Gems and Jewellery",1.38,1.65,1.64,1.51,1.5,1.44,1.41,1.32,1.44,1.32,1.44
Equity,Tata Steel,Steel,1.38,1.25,1.24,1.12,0.75,0.44,0.48,0.31,0.29,0.29,0.58
Equity,NTPC,Power Generation & Distribution,1.36,1.41,1.5,1.4,1.26,1.25,1.34,1.67,1.79,1.81,1.79
Equity,Divi's Lab.,Pharmaceuticals,1.36,1.35,1.3,1.23,1.26,1.28,1.32,0.99,1.05,1.01,1.03
Equity,SBI Life Insuran,Insurance,1.31,1.62,1.65,1.62,1.61,1.55,1.51,1.31,1.34,1.36,1.34
Equity,CG Power & Ind,Capital Goods - Electrical Equipment,1.27,1.27,1.26,1.01,0.87,0.9,1.01,1.06,1.0,0.92,0.84
Equity,TCS,IT - Software,1.26,1.3,1.3,1.54,1.54,1.51,1.49,1.58,1.71,1.67,2.11
Equity,Max Healthcare,Healthcare,1.26,1.33,1.34,1.17,1.25,1.29,1.29,1.31,1.37,1.47,1.49
Equity,Bharat Electron,Aerospace & Defence,1.24,1.44,1.61,1.68,1.58,1.62,1.71,1.81,1.68,1.73,1.98
Equity,PB Fintech.,IT - Software,1.19,1.11,1.02,0.93,0.96,1.04,1.04,1.03,0.99,0.96,0.87
Equity,Indian Hotels Co,Hotels & Restaurants,1.18,1.15,1.2,1.21,1.3,1.31,1.32,1.34,1.43,1.35,1.06
Equity,United Spirits,Alcoholic Beverages,1.16,1.16,1.17,1.15,1.19,1.2,1.2,1.0,1.0,1.02,1.07
Equity,Interglobe Aviat,Air Transport Service,1.13,1.13,1.24,1.19,1.28,1.49,1.44,1.49,1.53,1.59,1.58
Equity,Cholaman.Inv.&Fn,Finance,1.05,0.98,1.12,1.1,1.13,1.15,1.16,1.21,1.13,1.14,1.36
Equity,Hind.Aeronautics,Aerospace & Defence,1.05,0.91,0.91,0.96,0.89,0.92,0.89,0.86,0.48,-,-
Equity,Vishal Mega Mart,Retail,1.03,0.96,0.85,0.73,0.51,0.23,-,-,-,-,-
Equity,Tata Power Co.,Power Generation & Distribution,1.02,0.96,0.85,0.83,0.84,0.86,0.9,0.91,0.88,0.93,0.93999
Equity,Hind. Unilever,FMCG,1.01,0.84,0.85,0.86,0.82,0.88,0.89,0.95,1.02,0.96,0.86
Equity,Bajaj Auto,Automobile,0.9,0.65,0.49,0.53,0.66,0.74,0.74,0.81,1.08,1.0,1.08
Equity,Torrent Pharma.,Pharmaceuticals,0.87,1.04,1.03,0.93999,0.9,0.86,0.84,0.89,0.89,0.8,0.5
Equity,TVS Motor Co.,Automobile,0.84,0.86,0.75,0.68999,0.58,0.55,0.56,0.57,0.55,0.38,0.4
Equity,Trent,Retail,0.84,0.73,0.77,0.75,0.82,0.82,0.85,0.88,1.01,0.95,1.17
Equity,Britannia Inds.,FMCG,0.83,0.81,0.8,0.73,0.7,0.68,-,-,-,-,-
Equity,Samvardh. Mothe.,Auto Ancillaries,0.76,0.71,0.8,0.7,0.72,0.72,0.67,0.7,0.62,0.64,0.68
Equity,Shriram Finance,Finance,0.73,0.47,0.46,0.29,-,-,-,-,-,-,-
Equity,Mankind Pharma,Pharmaceuticals,0.73,0.8,0.9,0.89,1.15,1.17,1.26,1.35,1.39,1.43,1.27
Equity,P I Industries,Agro Chemicals,0.63,0.74,0.75,1.0,0.99,0.97,1.03,0.98,0.98,1.11,1.02
Equity,Info Edg.(India),E-Commerce/App based Aggregator,0.55,0.6,0.54,0.56,0.58,0.58,0.54,0.46,0.39,0.12,0.03
Equity,Uno Minda,Auto Ancillaries,0.55,0.56,0.57,0.57,0.6,0.61,0.68999,0.86,0.93,0.75,0.79
Equity,Multi Comm. Exc.,Financial Services,0.49,0.43,0.29,-,-,-,-,-,-,-,-
Equity,HDFC AMC,Finance,0.48,0.33,0.36,0.33,0.34,0.31,0.31,-,-,-,-
Equity,Abbott India,Pharmaceuticals,0.41,0.45,0.49,0.51,0.53,0.54,0.53,0.56,0.61,0.66,0.68
Equity,Oberoi Realty,Realty,0.38,0.4,0.38,0.38,0.41,0.4,0.44,0.41,0.43,0.43,0.49
Equity,ICICI AMC,Finance,0.38,0.81,0.8,0.77,0.62,-,-,-,-,-,-
Equity,Asian Paints,Paints/Varnish,0.24,0.23,0.22,0.23,0.16,0.16,-,-,-,-,-
Equity,Tata Motors,Automobile,0.16,0.17,0.19,0.17,-,-,-,-,-,-,-
Equity,SRF,Chemicals,0.08,0.4,0.37,0.41,0.44,0.41,0.42,0.42,0.43,0.46,0.48
Equity,Hindalco Inds.,Non Ferrous Metals,0.02,0.02,0.22,0.73,0.85,0.82,0.87,0.63,0.59,0.57,0.57
Equity,Kwality Wall's,FMCG,0.01,0.01,0.01,0.01,-,-,-,-,-,-,-
Equity,Power Fin.Corpn.,Finance,-,-,-,0.07,0.19,0.26,0.46,0.54,0.51,0.55,0.56
Equity,Avenue Super.,Retail,-,-,-,-,-,0.34,0.46,0.61,0.66,0.59,0.6
Equity,Bharti Airtel,Telecomm-Service,-,-,-,-,-,-,-,-,-,3.83,3.97
Equity,Cipla,Pharmaceuticals,-,-,-,-,-,-,-,0.07,0.1,0.26,0.54
Equity,Eternal Ltd,E-Commerce/App based Aggregator,-,-,-,-,-,2.3,2.54,2.86,2.79,2.72,2.4
Equity,HCL Technologies,IT - Software,-,0.43,0.4,0.78,0.73,0.73,0.71,0.66,0.95,0.95,1.16
Equity,ICICI Lombard,Insurance,-,-,-,-,-,0.1,0.15,0.2,0.2,0.27,0.59
Equity,Kwality Wall's,Other,-,-,-,-,0.01,-,-,-,-,-,-
Equity,NTPC Green Ene.,Power Generation & Distribution,-,-,-,-,0.1,0.25,0.27,0.27,0.29,0.29,0.29
Equity,St Bk of India,Banks,-,-,-,-,-,-,-,-,-,-,2.69
Equity,Sona BLW Precis.,Auto Ancillaries,-,-,-,-,-,-,-,0.05,0.05,0.1,0.24
Equity,Page Industries,Readymade Garments/ Apparells,-,-,-,-,-,-,-,0.06,0.07,0.32,0.32
Equity,ITC Hotels,Hotels & Restaurants,-,-,-,-,-,-,-,-,-,0.04,0.07
Reverse Repo,TREPS,Debt Others,3.54,2.71,2.89,2.7,2.15,1.81,2.41,2.99,3.45,4.06,3.46
Net CA & Others,Net CA & Others,Debt Others,0.22,-0.09,-0.08,-0.1,-0.08,-0.16,0.16,-0.01,-0.11,0.15,0.2
Preference Shares,TVS Motor Co.,Preference n Warrants,0.01,0.01,-,0.01,0.01,0.01,0.01,0.01,0.01,-,-
Preference Shares,TVS Motor Co.,Automobile,-,-,0.01,-,-,-,-,-,-,-,-
