Positions Over Time - Groww Large Cap Fund - Direct (G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,Larsen & Toubro,Infrastructure Developers & Operators,8.17073,7.0551,6.74431,7.09675,7.18466,7.11942,7.10568,6.18157,6.12252,6.12729,4.56516
Equity,HDFC Bank,Banks,7.99168,7.73588,7.79925,8.3627,9.17693,9.27564,9.15831,9.13995,9.20426,9.67267,9.41116
Equity,ICICI Bank,Banks,7.87315,8.18631,8.29735,8.35214,8.7956,9.04443,8.82817,8.73477,9.11544,9.57376,9.16693
Equity,SBI,Banks,5.12483,4.26847,4.64235,5.27749,5.25218,5.20525,5.02006,4.32025,2.55633,2.51457,-
Equity,Bharti Airtel,Telecom-Service,4.29672,4.42167,4.13244,4.85447,6.69462,6.64385,4.87975,4.22329,4.27385,-,-
Equity,Cummins India,Capital Goods-Non Electrical Equipment,3.77649,3.51533,3.39171,1.93445,2.03351,2.0424,1.99591,1.71765,2.43945,2.24648,2.10722
Equity,Bajaj Finance,Finance,3.23375,3.01347,3.31881,3.51616,3.63785,3.80298,3.85165,3.68032,3.25503,3.23807,3.37618
Equity,M & M,Automobile,2.82569,2.93627,2.60073,2.69105,2.83557,2.85598,1.81759,1.85068,2.65252,2.63163,2.5658
Equity,Infosys,IT - Software,2.80829,3.23732,2.02833,2.62254,1.82938,1.75669,1.68186,1.69495,3.2715,3.329,3.46688
Equity,Bharat Electron,Aerospace & Defence,2.59431,2.39003,2.35145,2.43202,1.43808,1.47337,1.53638,1.08413,0.99775,1.02545,2.07724
Equity,Cholaman.Inv.&Fn,Finance,2.50805,2.36819,2.45268,2.57073,2.61465,2.65138,2.61134,2.56845,2.27984,2.29512,3.12219
Equity,Axis Bank,Banks,2.47528,2.46897,2.60799,2.64546,2.55115,2.5572,2.48233,2.36079,2.1945,2.22304,2.44799
Equity,Kotak Mah. Bank,Banks,2.36585,2.37621,2.4746,2.49092,3.13704,3.01048,3.00181,2.94815,2.91877,2.91954,3.13197
Equity,UltraTech Cem.,Cement,2.35005,2.37421,2.4829,2.54679,1.46091,1.42991,1.48395,1.20004,1.24903,1.19951,1.16183
Equity,Avenue Super.,Retail,2.14887,2.01975,1.7409,1.71003,1.709,1.79554,1.88036,3.05633,3.26847,1.99601,2.00639
Equity,Eternal,E-Commerce/App based Aggregator,2.1167,2.13735,2.03785,2.31887,1.26488,-,-,-,-,-,-
Equity,Torrent Pharma.,Pharmaceuticals,2.0591,2.2619,2.61301,2.44657,2.60959,2.50752,2.41771,2.53529,2.52079,2.62591,2.34649
Equity,SBI Life Insuran,Insurance,1.86089,1.9807,-,-,3.02807,2.90888,2.91578,2.76598,2.80685,2.83584,2.77857
Equity,Maruti Suzuki,Automobile,1.77846,1.7907,1.91631,1.9289,2.15073,1.80111,3.91438,3.02323,1.90753,1.32736,1.28077
Equity,Eicher Motors,Automobile,1.72377,1.73965,1.87556,1.70827,2.07719,1.99221,1.99422,1.80258,1.58041,1.07702,1.09297
Equity,Adani Ports,Marine Port & Services,1.69858,1.22185,-,-,-,-,-,-,-,-,-
Equity,Sun Pharma.Inds.,Pharmaceuticals,1.66152,1.75884,1.54111,-,-,-,-,-,1.41554,1.50152,-
Equity,DLF,Realty,1.56246,1.20076,-,2.03011,-,-,-,-,-,-,-
Equity,Bajaj Auto,Automobile,1.54169,1.47569,1.48546,-,-,-,-,-,-,-,-
Equity,Coforge,IT - Software,1.52176,1.54518,0.51751,0.73934,-,-,-,-,1.96817,1.97751,2.13575
Equity,Tata Steel,Steel,1.405103,1.390653,1.364253,1.270841,1.0727,0.9948,2.56167,1.96285,1.08617,1.10051,1.09214
Equity,Bank of Baroda,Banks,1.33839,1.37021,1.57927,1.50442,-,-,-,-,-,-,-
Equity,Tata Motors PVeh,Automobile,1.31064,2.37234,1.61493,1.51333,-,-,-,-,-,-,-
Equity,NTPC,Power Generation & Distribution,1.15992,1.17334,1.07162,1.02328,0.92347,0.90957,0.94601,1.79132,1.73448,1.75405,1.72421
Equity,Hind. Unilever,FMCG,1.14943,1.14327,1.15289,1.1986,1.1404,1.20769,1.21639,1.28528,2.6241,1.02879,-
Equity,Samvardh. Mothe.,Auto Ancillaries,1.11508,1.05307,1.18448,1.02734,1.06401,1.02593,-,-,-,-,-
Equity,Ambuja Cements,Cement,1.11401,1.09621,1.21179,1.26549,1.34546,1.32301,1.36996,1.43082,1.42293,1.484,1.41846
Equity,Britannia Inds.,FMCG,1.00756,-,-,-,-,-,-,-,-,-,-
Equity,TCS,IT - Software,0.98691,1.02513,-,-,-,-,-,-,0.87135,0.85011,0.9508
Equity,J K Cements,Cement,0.95061,0.995,0.98197,0.98233,-,-,-,-,-,-,-
Equity,Shriram Finance,Finance,0.92368,0.93617,1.02708,0.9942,-,-,-,-,-,-,-
Equity,PNGS Reva Diamo.,"Diamond, Gems and Jewellery",0.77354,0.66059,0.6812,-,-,-,-,-,-,-,-
Equity,Indiqube Spaces,Co-Working,0.4973,0.42414,0.55061,0.57625,-,-,-,-,-,-,-
Equity,Max Healthcare,Healthcare,0.41537,0.92262,0.92799,0.83294,0.88698,0.98125,0.976,-,-,-,-
Equity,Hindalco Inds.,Non Ferrous Metals,0.085543,0.080378,0.074501,0.079199,-,-,-,-,-,-,-
Equity,JSW Steel,Steel,0.067501,0.066077,0.066164,0.06488,-,-,-,-,-,-,-
Equity,Adani Enterp.,Trading,0.0393,0.028759,0.031355,0.029926,-,-,-,-,-,-,-
Equity,Vedanta,Non Ferrous Metals,0.026271,0.069856,-,-,-,-,-,-,-,-,-
Equity,Jindal Steel,Steel,0.025791,0.025882,0.025892,0.024057,-,-,-,-,-,-,-
Equity,Natl. Aluminium,Non Ferrous Metals,0.020387,0.021738,0.017708,0.019657,-,-,-,-,-,-,-
Equity,APL Apollo Tubes,Capital Goods-Non Electrical Equipment,0.01973,0.022122,0.022617,0.021144,-,-,-,-,-,-,-
Equity,NMDC,Mining & Mineral products,0.017784,0.016551,0.015733,0.015962,-,-,-,-,-,-,-
Equity,S A I L,Steel,0.015196,0.013744,0.01334,0.012425,-,-,-,-,-,-,-
Equity,Hindustan Zinc,Non Ferrous Metals,0.014709,0.013668,0.014576,0.015494,-,-,-,-,-,-,-
Equity,Jindal Stain.,Steel,0.01397,0.014272,0.013822,0.014955,-,-,-,-,-,-,-
Equity,Kwality Wall's,FMCG,0.0139,0.01249,0.01287,0.0203,-,-,-,-,-,-,-
Equity,Lloyds Metals,Mining & Mineral products,0.012664,0.010066,0.008897,0.008134,-,-,-,-,-,-,-
Equity,MALCO Energy,Other,0.011769,-,-,-,-,-,-,-,-,-,-
Equity,Talwandi Sabo,Other,0.011769,-,-,-,-,-,-,-,-,-,-
Equity,Vedanta Aluminiu,Other,0.011769,-,-,-,-,-,-,-,-,-,-
Equity,Vedanta Iron & S,Other,0.011769,-,-,-,-,-,-,-,-,-,-
Equity,Hindustan Copper,Non Ferrous Metals,0.009994,0.009344,0.010349,0.012801,-,-,-,-,-,-,-
Equity,Welspun Corp,Capital Goods-Non Electrical Equipment,0.009451,0.006687,0.006008,0.005422,-,-,-,-,-,-,-
Equity,Swiggy,E-Commerce/App based Aggregator,-,0.42821,0.44043,0.46312,1.12327,1.09388,1.19447,1.27683,1.2449,1.21564,1.79725
Equity,Titan Company,"Diamond, Gems and Jewellery",-,-,-,-,1.14812,1.10106,1.06377,0.99046,1.07431,2.70454,2.92519
Equity,Vedanta,Mining & Mineral products,-,-,0.067868,0.065752,-,-,-,-,-,-,-
Equity,St Bk of India,Banks,-,-,-,-,-,-,-,-,-,-,2.54071
Equity,Siemens,Capital Goods - Electrical Equipment,-,-,-,-,0.49964,0.5347,0.50599,0.52982,0.52205,0.51224,0.53869
Equity,Wipro,IT - Software,-,-,-,-,-,-,-,-,1.39074,1.37211,-
Equity,Yatharth Hospit.,Healthcare,-,-,-,-,-,-,-,-,-,-,2.0832
Equity,A B B,Capital Goods - Electrical Equipment,-,-,0.53109,0.49973,0.45151,0.44937,0.45675,0.4699,0.4561,0.4982,0.53938
Equity,REC Ltd,Finance,-,0.60251,0.61231,0.65287,0.62372,0.62729,0.65653,0.67659,0.63919,0.71525,0.7145
Equity,Apollo Hospitals,Healthcare,-,-,1.47688,1.34632,1.32799,1.37536,1.45116,1.45029,1.06491,1.03981,0.9853
Equity,Bajaj Holdings,Finance,-,-,-,-,-,-,0.77386,1.7586,1.84544,1.99971,2.02033
Equity,Bharti Airtel,Telecomm-Service,-,-,-,-,-,-,-,-,-,4.29261,4.42106
Equity,Cipla,Pharmaceuticals,-,-,-,-,-,-,-,-,-,-,0.85651
Equity,Emcure Pharma,Pharmaceuticals,-,-,-,-,-,-,0.41529,-,-,-,-
Equity,Eternal Ltd,E-Commerce/App based Aggregator,-,-,-,-,-,1.35742,1.44825,1.53711,1.49206,0.50808,-
Equity,Reliance Industr,Refineries,-,3.37882,4.30864,4.41834,7.33958,7.2843,6.96027,3.78815,3.79339,3.85069,2.07273
Equity,Hero Motocorp,Automobile,-,-,-,-,-,-,-,-,-,-,0.98713
Equity,HCL Technologies,IT - Software,-,-,-,-,1.57503,1.56693,1.49852,0.85021,0.89871,0.89865,1.03823
Equity,Hyundai Motor I,Automobile,-,-,-,-,-,-,-,-,1.60071,1.39964,0.87312
Equity,Indiqube Spaces,Realty,-,-,-,-,0.66878,0.71498,0.68115,0.75436,0.72909,0.72075,-
Equity,Interglobe Aviat,Air Transport Service,-,-,-,-,-,-,-,-,-,-,1.0805
Equity,Kwality Wall's,Other,-,-,-,-,0.01979,-,-,-,-,-,-
Equity,Mphasis,IT - Software,-,-,-,-,-,-,-,-,2.3063,2.28737,2.2885
Equity,NTPC Green Ene.,Power Generation & Distribution,-,-,-,-,-,-,-,-,-,0.85027,0.83754
Equity,Persistent Syste,IT - Software,-,2.3135,0.37344,0.48777,-,-,-,-,-,-,-
Equity,Hind.Aeronautics,Aerospace & Defence,-,-,-,-,-,-,-,-,-,-,1.1947
