Positions Over Time - HDFC Large Cap Fund - Direct (G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,ICICI Bank,Banks,9.15,9.39,9.5,9.31,9.0,9.31,8.8,9.17,9.66,10.11,9.67
Equity,HDFC Bank,Banks,7.84,8.0,8.58,8.97,9.34,9.49,9.49,9.51,9.67,10.13,9.84
Equity,Bharti Airtel,Telecom-Service,5.9,5.99,5.59,5.92,6.18,6.17,6.16,5.85,5.98,-,-
Equity,Reliance Industr,Refineries,5.61,5.4,4.96,5.55,6.09,6.08,5.77,4.8,4.85,4.91,5.73
Equity,Kotak Mah. Bank,Banks,5.47,5.13,5.34,5.25,4.42,4.26,3.88,3.82,3.82,3.81,4.08
Equity,Titan Company,"Diamond, Gems and Jewellery",4.74,4.59,4.45,4.14,4.11,3.97,3.88,3.38,3.13,2.7,2.26
Equity,Axis Bank,Banks,3.56,3.51,3.7,3.71,3.35,3.37,3.32,3.17,2.97,3.0,5.0
Equity,Torrent Pharma.,Pharmaceuticals,3.49,3.79,3.44,3.18,3.02,2.91,2.85,2.84,2.48,2.57,1.79
Equity,Infosys,IT - Software,3.01,3.99,3.67,3.57,3.15,3.31,3.21,3.25,3.36,3.41,3.55
Equity,Bajaj Auto,Automobile,2.95,3.09,3.1,2.9,2.75,2.67,2.67,2.71,2.65,1.95,1.8
Equity,Lupin,Pharmaceuticals,2.79,3.01,2.65,2.51,2.4,2.37,2.28,2.31,2.32,2.26,1.68
Equity,Bajaj Finserv,Finance,2.73,2.64,2.73,2.68,2.09,2.15,2.13,2.13,1.78,0.81,0.42
Equity,Ambuja Cements,Cement,2.6,2.52,2.78,2.87,3.05,3.02,3.17,3.32,3.08,3.08,2.07
Equity,SBI,Banks,2.43,1.76,1.91,1.73,1.54,1.53,1.5,1.45,1.35,1.33,-
Equity,NTPC,Power Generation & Distribution,2.34,2.33,2.13,2.2,2.41,2.38,2.51,3.74,3.7,3.73,4.22
Equity,Cholaman.Inv.&Fn,Finance,2.15,2.0,2.26,2.16,2.2,2.24,2.24,2.21,1.98,1.98,1.93
Equity,Eternal,E-Commerce/App based Aggregator,1.96,1.95,1.86,2.08,2.06,-,-,-,-,-,-
