Positions Over Time - HSBC Large Cap Fund - Direct (G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,ICICI Bank,Banks,8.85,9.04,9.1,8.98,8.78,9.05,8.53,9.01,9.36,9.82,9.57
Equity,HDFC Bank,Banks,7.79,7.46,7.97,8.87,9.33,9.45,9.39,9.34,9.36,9.82,9.81
Equity,Reliance Industr,Refineries,6.02,7.25,5.89,5.92,6.57,6.53,6.28,5.96,5.94,4.89,4.77
Equity,SBI,Banks,5.39,5.87,6.35,5.71,5.14,5.1,4.95,4.76,4.39,4.31,-
Equity,Larsen & Toubro,Infrastructure Developers & Operators,5.06,4.73,4.52,3.34,3.42,3.39,3.41,3.2,3.15,0.98,0.97
Equity,Shriram Finance,Finance,4.73,4.71,5.13,4.87,4.69,3.99,3.96,3.36,3.17,3.41,3.74
Equity,Infosys,IT - Software,3.98,4.5,4.12,5.66,5.91,5.69,5.48,5.51,5.62,5.1,5.09
Equity,Axis Bank,Banks,3.91,3.83,4.02,4.0,2.66,2.67,2.6,2.47,2.29,2.89,5.08
Equity,Bharti Airtel,Telecom-Service,3.7,3.74,3.47,3.65,3.85,3.83,3.8,3.59,3.61,-,-
Equity,Eternal,E-Commerce/App based Aggregator,3.46,3.43,3.25,3.63,3.64,-,-,-,-,-,-
Equity,Tata Steel,Steel,2.96,2.3,1.68,1.02,-,-,-,-,-,-,-
Equity,Polycab India,Cables,2.27,2.87,3.41,2.79,2.99,2.92,3.05,2.98,3.1,3.69,3.47
Equity,M & M,Automobile,2.17,2.21,2.24,2.28,2.42,2.45,-,-,-,-,-
Equity,Varun Beverages,FMCG,2.16,1.73,1.79,1.87,1.92,1.88,1.86,1.82,2.0,2.12,1.82
Equity,Kotak Mah. Bank,Banks,2.15,2.65,2.74,2.71,2.88,2.77,2.78,2.72,2.68,2.68,2.29
Equity,Apollo Hospitals,Healthcare,2.14,2.22,2.48,2.22,2.21,1.91,2.03,2.02,2.08,2.03,2.3
Equity,Titan Company,"Diamond, Gems and Jewellery",2.09,2.01,1.94,1.79,1.8,1.73,1.68,1.56,1.69,1.54,1.66
Equity,TVS Motor Co.,Automobile,1.96,2.02,2.55,2.44,2.43,2.76,3.71,3.75,3.58,3.03,3.09
Equity,UltraTech Cem.,Cement,1.95,1.93,2.01,2.02,1.85,1.81,1.89,2.0,2.42,2.32,2.24
Equity,Mankind Pharma,Pharmaceuticals,1.89,1.8,1.78,1.69,1.72,1.47,1.57,1.66,1.69,1.74,1.11
Equity,ICICI AMC,Finance,1.84,2.52,2.46,2.37,1.39,-,-,-,-,-,-
Equity,Interglobe Aviat,Air Transport Service,1.81,0.71,-,-,-,-,-,-,-,-,-
Equity,HCL Technologies,IT - Software,1.68,2.01,1.83,2.25,2.12,2.12,2.04,1.89,1.99,1.79,1.83
Equity,Tech Mahindra,IT - Software,1.65,1.66,1.43,2.31,2.29,2.17,2.07,2.1,2.23,2.18,2.23
Equity,Britannia Inds.,FMCG,1.61,1.63,1.58,1.55,1.58,1.52,1.54,1.63,-,-,-
Equity,Swiggy,E-Commerce/App based Aggregator,1.52,1.56,1.59,1.64,2.02,1.97,2.17,2.31,2.24,2.18,1.59
Equity,HDFC AMC,Finance,1.52,-,-,-,-,-,-,-,-,-,-
Equity,NTPC,Power Generation & Distribution,1.45,1.44,1.31,1.23,1.12,1.11,1.78,1.86,2.24,2.89,2.84
Equity,Maruti Suzuki,Automobile,1.34,1.33,1.41,1.39,1.57,1.49,1.71,1.75,1.62,1.7,1.97
Equity,Delhivery,Logistics,1.31,1.25,1.14,2.24,2.11,2.22,2.46,2.46,2.56,2.3,2.03
Equity,LG Electronics,Consumer Durables,1.12,0.78,-,-,-,-,-,-,-,-,-
Equity,Max Healthcare,Healthcare,1.11,1.15,-,-,-,-,-,-,-,-,-
Equity,Trent,Retail,1.05,-,-,-,-,-,-,-,1.01,0.95,2.47
Equity,Godrej Consumer,FMCG,1.05,1.03,1.13,1.07,1.12,1.04,1.03,1.11,1.19,1.19,1.09
Equity,Sun Pharma.Inds.,Pharmaceuticals,0.76,1.58,1.38,1.27,1.35,1.43,1.79,1.74,1.74,1.85,1.78
Equity,FSN E-Commerce,E-Commerce/App based Aggregator,0.74,-,-,-,-,-,-,-,-,-,-
Equity,Divi's Lab.,Pharmaceuticals,0.55,0.54,0.51,0.48,-,-,-,-,-,-,-
Equity,H P C L,Refineries,0.52,-,-,-,-,-,-,-,-,-,-
Equity,United Spirits,Alcoholic Beverages,0.37,-,-,-,-,-,-,-,-,-,-
Equity,Tata Motors,Automobile,-,1.18,1.33,1.03,-,-,-,-,-,-,-
Equity,St Bk of India,Banks,-,-,-,-,-,-,-,-,-,-,4.35
Equity,Siemens Ener.Ind,Power Generation & Distribution,-,-,-,-,-,-,-,-,-,-,0.79
Equity,LTIMindtree,IT - Software,-,-,-,-,-,-,-,-,-,-,1.13
Equity,Power Fin.Corpn.,Finance,-,-,-,-,-,0.93999,2.34,2.46,2.28,1.55,-
Equity,Lupin,Pharmaceuticals,-,2.08,1.82,1.71,1.65,1.63,1.56,1.56,1.55,1.57,1.54
Equity,Kwality Wall's,FMCG,-,-,-,0.02,-,-,-,-,-,-,-
Equity,Jubilant Food.,Quick Service Restaurant,-,-,-,-,-,-,1.26,1.35,1.37,1.42,1.49
Equity,ITC,Tobacco Products,-,-,-,-,-,1.05,1.11,1.1,1.12,1.67,1.65
Equity,Hind.Aeronautics,Aerospace & Defence,-,-,-,0.61,0.57,0.59,0.62,0.65,0.59,-,-
Equity,Hind. Unilever,FMCG,-,-,-,-,-,1.61,1.63,1.72,-,-,-
Equity,Eternal Ltd,E-Commerce/App based Aggregator,-,-,-,-,-,3.91,4.2,4.44,4.29,4.16,3.5
Equity,Eicher Motors,Automobile,-,-,1.27,1.13,1.15,1.1,1.11,1.15,1.0,-,-
Equity,Bharti Airtel,Telecomm-Service,-,-,-,-,-,-,-,-,-,3.62,3.73
Equity,Asian Paints,Paints/Varnish,-,-,-,-,-,-,-,-,-,-,1.55
Equity,Ashok Leyland,Automobile,-,-,-,1.04,1.17,1.24,0.75,-,-,-,-
Equity,Siemens,Capital Goods - Electrical Equipment,-,-,-,-,-,-,0.82,1.28,2.51,2.46,2.58
Reverse Repo,TREPS,Debt Others,2.54,1.54,3.51,1.38,3.15,3.93,1.07,1.81,2.25,5.99,3.78
Preference Shares,TVS Motor Co.,Preference n Warrants,-,-,0.04,0.04,0.04,0.04,0.04,0.04,0.04,-,-
Net CA & Others,Net CA & Others,Debt Others,-0.17,-0.29,-0.18,-0.22,1.39,-0.51,-0.07,-0.12,0.05,0.16,-0.93
