Positions Over Time - JM Large Cap Fund - Direct (G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,HDFC Bank,Banks,6.47332,6.64088,7.25175,7.79459,9.02309,8.82745,9.09808,8.50842,8.43383,8.5634,6.73022
Equity,Reliance Industr,Refineries,6.1318,6.23274,5.82233,5.80847,6.25507,5.76507,4.22038,3.96523,3.74209,3.6702,3.75373
Equity,SBI,Banks,4.2849,4.2506,4.74667,4.4582,3.48803,3.09229,2.93269,2.5434,2.31751,2.20258,-
Equity,Bharti Airtel,Telecom-Service,3.98036,4.2979,4.13183,4.31344,4.41448,4.2404,4.10764,4.23488,4.72562,-,-
Equity,ICICI Bank,Banks,3.88886,4.26455,4.44041,4.34838,4.12374,4.5073,4.94805,5.40802,5.55515,5.63721,4.74415
Equity,Larsen & Toubro,Infrastructure Developers & Operators,3.31289,3.78628,4.23693,3.88083,3.85629,3.69864,3.63013,3.30801,4.04504,4.30247,4.11397
Equity,Shriram Finance,Finance,2.65657,2.67478,3.08378,2.90402,2.71397,2.43591,2.12253,1.75293,1.63543,1.70249,1.80747
Equity,Apollo Hospitals,Healthcare,2.54081,2.67132,2.62388,2.32698,2.25288,2.04551,2.12236,2.05516,2.09109,1.75282,1.57003
Equity,Axis Bank,Banks,2.51836,2.49542,2.77301,2.51441,1.21717,1.1809,1.65263,1.72118,2.26647,2.51084,3.37753
Equity,Torrent Pharma.,Pharmaceuticals,2.51118,2.74036,2.61301,2.58517,2.40451,2.23631,2.12037,2.15437,2.10844,2.12211,1.83142
Equity,Bajaj Finance,Finance,2.49999,2.31437,2.69901,3.13913,3.18776,3.2255,3.21248,2.88325,2.51005,2.41256,1.9522
Equity,Infosys,IT - Software,2.45625,2.81287,2.71115,3.41023,3.42102,3.37649,3.25733,3.18065,3.21153,3.1575,3.9623
Equity,Kotak Mah. Bank,Banks,2.44263,2.19229,2.26644,2.00641,2.07152,1.92415,1.17434,1.11749,1.60147,1.54773,1.60354
Equity,Adani Ports,Marine Port & Services,2.42711,2.08029,2.27576,2.117,2.09706,2.08288,1.79608,1.74343,1.61545,1.61785,1.04799
Equity,M & M,Automobile,2.18916,2.25987,2.43997,2.45616,2.54024,2.47642,2.27748,2.24686,2.078,1.99194,1.87566
Equity,Tech Mahindra,IT - Software,2.16667,1.95368,1.68659,2.15771,1.8844,1.72964,2.01851,1.99207,2.08765,1.789,1.9537
Equity,Hindalco Inds.,Non Ferrous Metals,2.0802,1.69116,1.55585,1.61403,1.57543,1.3823,1.66293,1.50025,1.37304,1.46267,1.79734
Equity,JSW Energy,Power Generation & Distribution,1.99628,1.8156,1.65234,1.75924,1.76632,1.72174,1.84154,1.86061,1.4964,1.51084,1.45114
Equity,Divi's Lab.,Pharmaceuticals,1.86463,1.8455,1.74996,1.64664,1.66456,1.62314,1.67318,1.41831,1.30751,1.34669,1.0725
