Positions Over Time - JioBlackRock Large Cap Fund - Direct (G)
Type,Name,Sector,31-May-26,30-Apr-26
Equity,HDFC Bank,Banks,8.93211,9.18077
Equity,ICICI Bank,Banks,7.39213,7.89313
Equity,Bharti Airtel,Telecom-Service,5.43751,6.40974
Equity,Reliance Industr,Refineries,4.80553,3.98985
Equity,M & M,Automobile,4.50598,4.36138
Equity,SBI,Banks,4.47952,5.58551
Equity,Infosys,IT - Software,3.94293,3.5539
Equity,Larsen & Toubro,Infrastructure Developers & Operators,3.81076,4.22314
Equity,NTPC,Power Generation & Distribution,3.1479,3.65505
Equity,I O C L,Refineries,2.60994,2.9809
Equity,Nestle India,FMCG,2.60909,2.04512
Equity,Britannia Inds.,FMCG,2.56806,3.17989
Equity,TCS,IT - Software,2.49288,1.90525
Equity,Tata Steel,Steel,2.19571,2.51088
Equity,Apollo Tyres,Tyres,2.14487,2.49905
Equity,ITC,Tobacco Products,2.11828,2.61673
Equity,Interglobe Aviat,Air Transport Service,1.91301,2.1833
Equity,UltraTech Cem.,Cement,1.75672,0.57931
Equity,Axis Bank,Banks,1.61198,1.78843
Equity,Multi Comm. Exc.,Financial Services,1.56502,1.77065
Equity,Sun Pharma.Inds.,Pharmaceuticals,1.55468,1.23428
Equity,Kotak Mah. Bank,Banks,1.44187,1.61898
Equity,Federal Bank,Banks,1.42767,1.33376
Equity,JSW Steel,Steel,1.36401,0.6188
Equity,Eternal,E-Commerce/App based Aggregator,1.35224,1.50035
Equity,ICICI AMC,Finance,1.31253,1.37355
Equity,Escorts Kubota,Automobile,1.25549,2.82546
Equity,Titan Company,"Diamond, Gems and Jewellery",1.22869,1.48816
Equity,O N G C,Crude Oil & Natural Gas,1.07668,1.18317
Equity,Hero Motocorp,Automobile,1.06078,0.79504
Equity,Samvardh. Mothe.,Auto Ancillaries,1.00057,0.96669
Equity,Vedanta,Non Ferrous Metals,0.96835,0.83934
Equity,SBI Life Insuran,Insurance,0.93862,1.04999
Equity,Tata Motors,Automobile,0.84949,-
Equity,Lenskart Solut.,FMCG,0.83645,0.92721
Equity,S A I L,Steel,0.82038,0.27781
Equity,Tech Mahindra,IT - Software,0.80475,0.89938
Equity,Yes Bank,Banks,0.74336,0.72026
Equity,Life Insurance,Insurance,0.74203,0.80996
Equity,Lupin,Pharmaceuticals,0.6629,-
Equity,Max Financial,Miscellaneous,0.62489,0.6662
Equity,Bajaj Finance,Finance,0.52838,-
Equity,Ipca Labs.,Pharmaceuticals,0.35465,0.40085
Equity,B P C L,Refineries,0.35091,0.39806
Equity,Billionbrains,Stock/ Commodity Brokers,0.34441,0.45072
Equity,Vedanta Iron & S,Miscellaneous,0.33237,-
Equity,Vedanta Power,Power Generation & Distribution,0.33237,-
Equity,Malco Energy,Power Generation & Distribution,0.33237,-
Equity,Vedanta Aluminiu,Miscellaneous,0.33237,-
Equity,Asian Paints,Paints/Varnish,0.32657,0.2148
Equity,Radico Khaitan,Alcoholic Beverages,0.32374,-
Equity,H P C L,Refineries,0.31123,0.33311
Equity,Ashok Leyland,Automobile,0.29416,0.34524
Equity,Power Grid Corpn,Power Generation & Distribution,0.24159,0.29792
Equity,Dr Reddy's Labs,Pharmaceuticals,0.23061,0.3413
Equity,Adani Enterp.,Trading,0.20617,0.19025
Equity,Schaeffler India,Bearings,0.17474,0.19648
Equity,United Spirits,Alcoholic Beverages,0.15424,0.37455
Equity,Maruti Suzuki,Automobile,0.13458,-
Equity,Shriram Finance,Finance,0.10233,-
Equity,LTM,IT - Software,0.08328,0.09853
Equity,Laurus Labs,Pharmaceuticals,0.07268,0.06612
Equity,Eicher Motors,Automobile,0.06792,0.07571
Equity,M & M Fin. Serv.,Finance,0.0526,0.06057
Equity,Nippon Life Ind.,Finance,0.04511,0.04661
Equity,B H E L,Capital Goods - Electrical Equipment,0.04327,-
Equity,Vedanta Aluminiu,Other,-,0.37407
Equity,MALCO Energy,Other,-,0.37407
Equity,Talwandi Sabo,Other,-,0.37407
Equity,Oracle Fin.Serv.,IT - Software,-,0.03165
Equity,MRF,Tyres,-,0.1535
Equity,United Breweries,Alcoholic Beverages,-,0.0712
Equity,Vedanta Iron & S,Other,-,0.37407
Reverse Repo,TREPS,Debt Others,1.9943,1.25434
Derivatives(S),Nifty Future,Unspecified Sector,1.21741,0.46344
Derivatives,Margin on Derivatives,Derivatives - Index,0.2103,0.23669
Net CA & Others,Net CA & Others,Debt Others,-0.08374,-1.17507
