Positions Over Time - LIC MF Large Cap Fund - Direct (G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,ICICI Bank,Banks,8.25,7.97,8.03,7.58,7.21,7.41,7.2,7.48,6.75,7.08,6.7
Equity,HDFC Bank,Banks,7.94,8.7,9.31,9.15,9.37,9.47,9.3,9.29,9.3,9.76,9.39
Equity,Reliance Industr,Refineries,6.96,7.05,6.45,6.4,6.91,6.86,6.52,6.2,6.17,6.26,6.55
Equity,Larsen & Toubro,Infrastructure Developers & Operators,5.56,5.24,5.64,5.14,5.12,5.07,5.04,4.74,4.67,4.01,3.93
Equity,Bharti Airtel,Telecom-Service,4.49,4.37,4.06,4.22,4.33,4.3,4.21,3.99,4.02,-,-
Equity,SBI,Banks,3.56,3.07,3.32,3.54,3.1,3.07,2.95,2.84,2.62,2.57,-
Equity,Axis Bank,Banks,3.2,2.66,2.79,2.74,2.44,2.44,2.36,2.24,2.07,2.1,2.28
Equity,Infosys,IT - Software,2.87,2.98,2.73,3.95,3.74,3.67,3.5,3.79,4.11,4.18,4.3
Equity,ITC,Tobacco Products,2.72,2.68,2.57,2.62,2.87,2.86,2.99,2.96,3.02,3.01,2.56
Equity,Hind. Unilever,FMCG,2.58,2.54,2.55,2.26,2.12,2.24,2.25,2.38,2.71,2.55,2.25
Equity,Sun Pharma.Inds.,Pharmaceuticals,2.58,2.39,2.08,1.9,1.96,2.08,1.92,1.88,1.88,1.99,1.9
Equity,Tata Motors PVeh,Automobile,2.4,2.25,2.46,-,-,-,-,-,-,-,-
Equity,SBI Life Insuran,Insurance,2.36,1.9,1.92,1.87,1.82,1.75,1.75,1.66,1.67,1.69,1.64
Equity,M & M,Automobile,2.17,2.23,2.16,2.17,2.25,1.75,1.63,1.85,1.73,2.45,2.16
Equity,Titan Company,"Diamond, Gems and Jewellery",2.14,2.08,2.01,1.83,1.79,1.72,1.65,1.14,1.03,0.93999,1.01
Equity,Grasim Inds,Textiles,2.13,2.1,2.03,2.02,1.95,1.88,1.99,1.96,1.98,1.94,1.64
Equity,Interglobe Aviat,Air Transport Service,1.98,1.77,1.5,-,-,-,-,-,-,-,-
Equity,Eternal,E-Commerce/App based Aggregator,1.92,1.41,1.34,1.15,-,-,-,-,-,-,-
Equity,UltraTech Cem.,Cement,1.72,1.57,1.48,1.47,1.31,1.28,1.32,1.4,1.45,1.39,1.33
Equity,Pidilite Inds.,Chemicals,1.69,1.49,1.53,1.45,1.45,1.42,1.4,1.48,1.54,1.19,0.77
Equity,Apollo Hospitals,Healthcare,1.67,1.75,1.62,1.43,1.39,1.44,1.51,1.51,1.55,1.36,0.61
Equity,Bharat Dynamics,Aerospace & Defence,1.61,0.68999,0.71,0.78,0.72,-,-,-,-,-,-
Equity,Kotak Mah. Bank,Banks,1.49,1.48,1.54,2.15,2.22,2.13,2.12,2.08,2.66,2.66,2.82
Equity,Trent,Retail,1.49,1.28,1.33,1.14,1.24,0.68,0.76,0.78,0.5,0.47,0.56
Equity,Bharat Electron,Aerospace & Defence,1.45,1.45,1.75,2.24,1.92,1.96,2.04,2.0,1.83,1.88,2.16
Equity,Shriram Finance,Finance,1.41,0.7,0.92,1.0,0.93999,0.8,1.51,1.29,1.22,1.1,0.96
Equity,TCS,IT - Software,1.4,1.44,1.42,1.67,1.64,1.6,1.56,1.78,2.15,2.1,2.32
Equity,Power Fin.Corpn.,Finance,1.4,1.5,1.44,1.59,1.43,1.45,1.61,1.7,1.58,1.68,1.7
Equity,Maruti Suzuki,Automobile,1.27,1.27,1.24,1.02,1.12,1.53,1.56,1.81,1.67,1.18,1.13
Equity,Tata Steel,Steel,1.25,1.07,-,-,-,-,-,-,-,-,-
Equity,Indian Hotels Co,Hotels & Restaurants,1.13,0.91,0.78,0.78,0.82,0.83,0.68,0.68,0.32,0.31,0.31
Equity,MOIL,Mining & Mineral products,1.01,0.99,0.82,0.96,0.93,0.85,0.81,0.85,0.75,-,-
Equity,Nippon Life Ind.,Finance,0.97,0.87,-,-,-,-,-,-,-,-,-
Equity,Blue Star,Consumer Durables,0.97,0.74,0.78,1.1,0.86,0.87,0.96,0.96,0.96,0.88,0.8
Equity,Hero Motocorp,Automobile,0.97,1.04,1.03,0.99,0.99,1.05,1.18,1.71,1.59,1.1,1.06
Equity,Tata Motors,Automobile,0.85,0.57,0.65,1.14,0.77,0.64,-,1.29,1.27,-,-
Equity,Godfrey Phillips,Tobacco Products,0.83,0.74,0.74,0.71,0.38,0.4,0.22,0.26,-,-,-
Equity,Allied Blenders,Alcoholic Beverages,0.79,0.89,1.02,1.03,1.25,1.33,1.35,1.07,1.07,1.08,1.28
Equity,Jubilant Food.,Quick Service Restaurant,0.73,0.71,0.75,0.71,0.77,0.82,0.62,0.67,-,-,-
Equity,Central Mine Pla,Miscellaneous,0.57,0.71,-,-,-,-,-,-,-,-,-
Equity,Fortis Health.,Healthcare,0.56,0.64,0.67,0.6,0.45,-,-,-,-,-,-
Equity,United Spirits,Alcoholic Beverages,-,0.45,0.55,0.54,0.55,0.55,0.54,0.52,-,-,-
Equity,Ujjivan Small,Banks,-,-,0.47,0.9,0.93,0.76,0.53,-,-,-,-
Equity,Texmaco Rail,Capital Goods-Non Electrical Equipment,-,-,-,-,-,-,-,-,-,0.52,0.62
Equity,Team Lease Serv.,Miscellaneous,-,-,-,-,-,-,-,-,-,0.3,0.6
Equity,REC Ltd,Finance,-,-,1.34,1.39,1.3,1.31,1.37,1.41,1.32,1.48,1.46
Equity,Siemens,Capital Goods - Electrical Equipment,-,-,-,-,-,-,-,-,0.18,0.17,0.18
Equity,SEAMEC Ltd,Miscellaneous,-,-,-,-,-,-,-,-,-,0.53,0.62
Equity,Senco Gold,"Diamond, Gems and Jewellery",-,-,-,-,-,-,-,1.09,1.13,0.67,0.71
Equity,Tata Consumer,Plantation & Plantation Products,-,-,-,-,-,-,-,0.41,1.12,1.12,1.05
Equity,TML Commercial,Automobile,-,-,-,-,-,-,0.48,-,-,-,-
Equity,Orkla India,FMCG,-,-,0.03,0.03,0.03,0.03,-,-,-,-,-
