Positions Over Time - Aditya Birla SL Midcap Fund - Direct (G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,Thermax,Capital Goods - Electrical Equipment,3.25391,3.20016,2.74201,2.56863,2.58635,2.38166,2.52566,2.5967,2.62722,2.49904,2.13406
Equity,AU Small Finance,Banks,3.24819,3.08519,3.14407,3.27058,3.47353,3.72769,3.92936,3.4174,3.37619,3.40882,3.69844
Equity,Federal Bank,Banks,3.21301,3.32594,3.44515,3.35514,3.16872,3.07075,2.82029,2.4005,2.40036,2.27923,2.36144
Equity,Max Financial,Miscellaneous,3.08943,3.32573,3.62535,3.27373,3.25183,3.3226,3.02235,3.21487,3.28914,3.01359,-
Equity,Torrent Power,Power Generation & Distribution,3.03573,2.61475,2.81071,2.52678,2.28126,2.30309,2.30926,2.23182,2.26138,2.36001,2.60189
Equity,J K Cements,Cement,2.88236,3.17134,3.16408,3.13576,2.37879,2.48527,2.18293,2.3102,2.56334,2.40254,2.1836
Equity,APL Apollo Tubes,Capital Goods-Non Electrical Equipment,2.64405,3.07854,3.18254,2.9567,2.90097,2.61458,2.72816,2.68026,2.56695,2.50432,2.10941
Equity,Dixon Technolog.,Consumer Durables,2.2415,2.22342,2.16853,2.08246,1.78784,1.87922,1.99646,2.19538,2.25904,2.22873,1.04574
Equity,K P R Mill Ltd,Readymade Garments/ Apparells,2.2334,2.26486,2.1968,2.15922,2.24354,2.57912,2.55794,2.65876,2.47841,2.80057,2.75845
Equity,Navin Fluo.Intl.,Chemicals,2.2177,2.29431,2.0873,2.06492,1.83704,1.78615,1.77321,1.50408,1.38107,1.38279,1.07176
Equity,KEI Industries,Cables,2.17248,2.06799,2.33153,1.87274,1.99151,1.85766,1.65695,1.74261,1.64495,1.62251,1.19697
Equity,Atul,Chemicals,2.14327,2.2926,2.15296,2.03379,1.92742,1.85021,1.50498,1.53548,1.60115,1.58724,1.76123
Equity,Prestige Estates,Realty,2.06163,1.88022,2.08347,2.21833,2.32076,2.44954,2.55091,2.30473,2.39867,2.44242,2.44924
Equity,H U D C O,Finance,1.99897,1.65382,1.73432,1.80621,2.06128,2.16976,1.59256,0.70054,-,-,-
Equity,Jindal Steel,Steel,1.96568,2.04844,2.05182,1.89446,1.69081,1.68172,1.71977,1.9596,1.7533,1.74907,1.67969
Equity,Uno Minda,Auto Ancillaries,1.9126,1.6208,0.99799,1.00751,0.91137,0.92957,0.87965,0.96551,0.95679,0.29548,-
Equity,Ajanta Pharma,Pharmaceuticals,1.82315,2.07465,1.98424,1.87106,1.78546,1.65718,1.59722,1.00966,1.01345,0.97023,0.89327
Equity,Supreme Inds.,Plastic products,1.78128,2.1087,2.00572,1.79904,1.34774,1.25933,1.41725,1.63737,1.74595,1.64435,1.95959
Equity,PB Fintech.,IT - Software,1.77629,1.64001,1.35677,1.02307,1.07122,1.0711,0.9087,-,-,-,-
Equity,Phoenix Mills,Realty,1.57847,1.54256,1.52206,1.55589,1.65489,1.55624,1.50942,1.4566,1.4165,1.36727,1.41598
Equity,Swiggy,E-Commerce/App based Aggregator,1.57227,1.73212,1.80106,1.87621,2.24303,1.46878,0.9216,0.64875,0.63247,0.60933,0.16213
