Positions Over Time - Bandhan Midcap Fund - Direct (G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,GE Vernova T&D,Capital Goods - Electrical Equipment,4.11,3.84,3.72,3.29,3.09,2.81,2.81,2.88,2.67,2.64,2.0
Equity,Federal Bank,Banks,3.12,3.23,3.42,3.47,3.11,2.98,2.44,2.1,2.13,2.27,2.4
Equity,Apar Inds.,Capital Goods - Electrical Equipment,3.06,2.81,2.92,2.0,1.91,2.07,1.99,1.98,1.81,2.04,2.01
Equity,Fortis Health.,Healthcare,2.97,2.93,3.19,3.04,2.91,2.93,2.95,2.94,2.83,1.97,1.14
Equity,Vishal Mega Mart,Retail,2.96,2.92,2.99,1.19,1.25,1.23,1.22,1.26,1.29,1.22,0.95
Equity,Cummins India,Capital Goods-Non Electrical Equipment,2.49,2.44,2.43,2.16,2.36,2.46,2.52,2.4,2.39,2.1,1.93
Equity,Persistent Syste,IT - Software,2.27,2.6,2.23,3.24,3.25,3.25,-,2.54,-,-,-
Equity,BSE,Financial Services,2.25,1.9,1.76,1.91,1.6,1.75,1.52,1.32,1.28,1.5,1.72
Equity,PB Fintech.,IT - Software,2.22,2.18,2.03,2.55,2.59,2.55,2.64,2.54,2.54,2.54,2.43
Equity,L&T Finance Ltd,Finance,2.16,2.12,2.23,2.37,2.56,2.43,1.86,1.8,1.17,1.05,0.81
Equity,Prestige Estates,Realty,2.12,2.03,2.4,2.66,2.81,2.93,3.09,2.82,2.92,3.07,3.14
Equity,CG Power & Ind,Capital Goods - Electrical Equipment,2.03,1.87,1.89,1.45,1.68,1.73,1.92,2.09,2.0,1.92,1.99
Equity,Ipca Labs.,Pharmaceuticals,1.99,2.22,1.61,1.15,1.06,1.08,0.87,0.96,1.02,1.09,1.03
Equity,Indian Bank,Banks,1.98,2.25,2.42,2.35,2.03,1.99,1.99,1.58,1.3,1.25,1.3
Equity,KEI Industries,Cables,1.91,1.73,1.99,1.66,1.74,1.51,1.49,1.52,1.46,1.49,1.45
Equity,Uno Minda,Auto Ancillaries,1.79,1.94,2.05,2.15,2.26,2.28,2.18,2.42,2.43,2.0,2.13
Equity,Sai Life,Pharmaceuticals,1.73,1.8,1.75,1.55,1.63,1.58,1.66,1.64,1.61,0.97,0.93999
Equity,Solar Industries,Aerospace & Defence,1.67,1.49,1.53,1.49,1.31,1.41,1.49,1.51,1.6,1.66,2.27
Equity,Torrent Power,Power Generation & Distribution,1.66,1.27,1.24,1.16,1.05,1.05,1.18,1.15,1.22,1.33,1.5
