Positions Over Time - HDFC Mid Cap Fund - Direct (G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,Max Financial,Miscellaneous,4.37,4.5,4.96,4.51,4.65,4.76,4.46,4.76,4.94,4.59,-
Equity,AU Small Finance,Banks,4.24,3.88,4.0,4.19,4.21,4.06,3.7,3.16,3.04,3.05,2.97
Equity,Federal Bank,Banks,3.87,3.88,4.07,3.99,3.69,3.58,3.38,2.91,2.95,3.09,3.24
Equity,Glenmark Pharma.,Pharmaceuticals,3.41,3.2,2.91,2.77,2.78,2.67,2.67,2.87,2.87,3.07,2.21
Equity,Indian Bank,Banks,3.31,3.65,3.87,3.64,3.33,3.48,3.54,3.26,2.9,2.73,2.82
Equity,Balkrishna Inds,Tyres,3.25,3.29,3.38,3.31,3.31,3.31,3.37,3.54,3.59,3.84,2.76
Equity,Fortis Health.,Healthcare,3.16,2.93,3.09,2.62,2.66,2.78,3.19,3.18,2.96,2.65,2.41
Equity,Ipca Labs.,Pharmaceuticals,2.92,3.38,2.92,2.87,2.74,2.81,2.52,2.8,2.94,3.07,2.8
Equity,Vishal Mega Mart,Retail,2.92,2.71,2.67,2.37,2.36,2.27,2.44,2.65,2.71,2.45,2.24
Equity,Cummins India,Capital Goods-Non Electrical Equipment,2.5,2.37,2.34,2.01,2.15,2.19,2.16,2.06,2.02,1.79,1.23
Equity,Marico,FMCG,2.48,2.59,2.52,2.38,2.38,2.11,2.13,2.18,2.24,1.89,1.9
Equity,H P C L,Refineries,2.2,2.18,2.58,2.57,2.99,2.76,2.96,2.9,2.51,2.77,2.89
Equity,M & M Fin. Serv.,Finance,2.05,2.08,2.46,2.52,2.7,2.5,2.19,2.01,1.89,1.9,1.99
Equity,Coforge,IT - Software,1.97,2.04,1.97,2.8,2.8,3.23,3.11,2.93,3.2,3.17,3.44
Equity,Aurobindo Pharma,Pharmaceuticals,1.96,2.04,1.73,1.75,1.7,1.78,1.7,1.7,1.65,1.81,1.8
Equity,Jindal Steel,Steel,1.9,1.92,1.94,1.81,1.67,1.7,1.82,1.92,1.74,1.76,1.71
Equity,Tata Comm,Telecom-Service,1.86,1.76,1.89,1.9,2.2,2.2,2.34,2.12,2.08,-,-
Equity,Apollo Tyres,Tyres,1.81,2.02,2.02,2.24,2.26,2.34,2.35,2.33,2.33,2.25,2.24
Equity,Alkem Lab,Pharmaceuticals,1.8,1.84,1.69,1.6,1.07,1.11,0.95,0.62,-,-,-
Equity,Persistent Syste,IT - Software,1.7,1.91,1.68,2.19,2.26,2.3,2.21,1.9,-,-,-
Equity,Union Bank (I),Banks,1.7,1.86,2.08,1.9,1.61,1.61,1.61,1.58,1.46,1.51,1.77
Equity,Dabur India,FMCG,1.65,1.48,1.69,1.69,1.32,1.36,1.32,1.4,1.35,1.14,0.44
Equity,Mphasis,IT - Software,1.62,1.37,1.3,1.51,1.34,1.35,1.29,1.31,1.4,1.33,1.21
Equity,Delhivery,Logistics,1.55,1.54,1.45,1.41,1.32,1.4,1.58,1.61,1.71,1.41,1.27
Equity,United Spirits,Alcoholic Beverages,1.53,1.23,1.27,1.24,0.62,0.63,0.64,0.62,0.58,0.45,0.44
Equity,PB Fintech.,IT - Software,1.45,1.19,1.12,1.28,1.4,1.4,1.42,1.43,1.52,1.54,1.54
Equity,Bosch,Auto Ancillaries,1.41,1.25,1.43,1.47,1.44,1.45,1.53,1.62,1.73,1.74,1.35
Equity,AIA Engineering,"Castings, Forgings & Fastners",1.39,1.42,1.36,1.44,1.44,1.39,1.21,1.27,1.3,1.32,1.39
Equity,Bharat Forge,"Castings, Forgings & Fastners",1.28,1.26,1.31,1.01,1.02,1.0,0.95,0.92,0.86,0.9,0.97
Equity,Karur Vysya Bank,Banks,1.23,1.35,1.37,1.3,1.13,1.07,1.08,0.99,1.02,1.04,1.05
Equity,Gland Pharma,Pharmaceuticals,1.17,1.26,1.22,1.22,1.09,1.12,1.26,1.38,1.32,1.39,1.21
Equity,Star Health Insu,Insurance,1.14,1.1,1.02,1.05,1.01,1.09,1.14,1.08,1.11,1.09,1.03
Equity,Nippon Life Ind.,Finance,1.06,0.93,0.98,0.95,0.93999,0.93999,0.97,1.02,0.93999,0.96,0.95
Equity,IndusInd Bank,Banks,1.04,0.81,0.93999,0.9,0.86,0.86,0.82,0.8,0.82,0.88,0.96
Equity,Eternal,E-Commerce/App based Aggregator,1.04,1.07,0.93999,1.07,1.08,-,-,-,-,-,-
Equity,Coromandel Inter,Fertilizers,1.03,1.1,1.16,1.22,1.14,1.14,1.02,1.11,1.13,1.23,0.8
Equity,Escorts Kubota,Automobile,0.98,0.81,0.93,0.88,0.95,0.98,0.99,0.92,0.88,0.8,0.79
Equity,Indian Hotels Co,Hotels & Restaurants,0.95,0.93999,1.0,1.03,1.16,1.24,1.4,1.43,1.54,1.49,1.94
Equity,Indraprastha Gas,Gas Distribution,0.9,0.87,0.93,0.99,1.07,1.11,1.21,1.24,1.26,1.24,1.31
Equity,Godrej Consumer,FMCG,0.84,0.83,0.93,0.9,0.9,0.84,0.73,0.8,0.78,0.72,0.65
Equity,Crompton Gr. Con,Consumer Durables,0.83,0.75,0.79,0.68999,0.78,0.83,0.91,0.99,1.14,1.11,1.22
Equity,Timken India,Bearings,0.8,0.83,0.81,0.7,0.71,0.75,0.76,0.76,0.72,0.8,0.84
Equity,City Union Bank,Banks,0.73,0.72,0.78,0.85,0.81,0.77,0.67,0.66,0.61,0.67,0.68
Equity,Redington,Trading,0.71,0.83,1.06,1.04,1.04,1.08,1.01,1.18,1.03,1.06,1.37
Equity,ACC,Cement,0.71,0.7,0.8,0.84,0.89,0.95,1.0,1.02,1.03,1.01,1.06
Equity,Hexaware Tech.,IT - Software,0.7,0.74,0.75,1.12,1.23,1.22,1.14,1.17,1.32,1.21,1.38
Equity,Sona BLW Precis.,Auto Ancillaries,0.65,0.57,0.57,0.54,0.51,0.55,0.48,0.38,0.42,0.42,0.45
Equity,Sundram Fasten.,Auto Ancillaries,0.64,0.63,0.67,0.75,0.73,0.73,0.77,0.85,0.88,0.85,0.89
Equity,Supreme Inds.,Plastic products,0.63,0.73,0.7,0.63,0.6,0.61,0.71,0.82,0.89,0.85,0.87
Equity,Dixon Technolog.,Consumer Durables,0.61,0.58,0.57,0.58,0.67,0.81,0.89,0.99,1.03,1.03,0.92
Equity,SKF India Indus.,Bearings,0.55,0.57,0.64,0.68999,0.66,0.68999,0.71,-,-,-,-
Equity,Gujarat Fluoroch,Chemicals,0.53,0.49,0.51,0.46,0.55,0.52,0.58,0.61,0.57,0.59,0.6
Equity,KEC Internationa,Infrastructure Developers & Operators,0.53,0.54,0.56,0.65,0.72,0.67,-,-,-,-,-
Equity,SKF India,Bearings,0.43,0.39,0.43,0.43,0.47,0.49,0.56,1.31,1.26,1.38,1.35
Equity,Aarti Industries,Chemicals,0.41,0.36,0.37,0.31,0.31,0.32,0.33,0.34,0.35,0.4,0.45
Equity,Vesuvius India,Refractories,0.4,0.37,0.39,0.4,0.38,0.38,0.41,0.44,0.45,0.45,0.48
Equity,Vardhman Textile,Textiles,0.4,0.45,0.42,0.34,0.34,0.34,0.35,0.35,0.37,0.38,0.43
Equity,Chola Financial,Finance,0.37,0.36,0.39,0.41,0.44,0.45,0.48,0.5,0.47,0.51,0.58
Equity,Oracle Fin.Serv.,IT - Software,0.35,0.27,0.25,0.29,0.28,0.3,0.32,0.34,0.34,0.34,0.36
Equity,Emami,FMCG,0.35,0.34,0.36,0.39,0.42,0.43,0.44,0.47,0.51,0.53,0.5
Equity,Arvind Ltd,Textiles,0.34,0.32,0.3,0.28,0.28,0.31,0.29,0.29,0.28,0.31,0.34
Equity,Symphony,Consumer Durables,0.33,0.3,0.31,0.37,0.35,0.35,0.39,0.4,0.42,0.49,0.47
Equity,CEAT,Tyres,0.29,0.35,0.34,0.37,0.38,0.38,0.41,0.36,0.34,0.36,0.55
Equity,Aster DM Health.,Healthcare,0.27,0.13,0.04,-,-,-,-,-,-,-,-
Equity,ICICI Lombard,Insurance,0.24,0.26,0.27,0.26,0.28,0.28,0.29,0.29,0.29,0.3,0.3
Equity,Navneet Educat.,Printing & Stationery,0.24,0.23,0.24,0.24,0.24,0.25,0.28,0.28,0.29,0.28,0.27
Equity,Greenlam Industr,Plywood Boards/Laminates,0.23,0.26,0.31,0.32,0.32,0.41,0.44,0.42,0.43,0.43,0.44
Equity,Billionbrains,Stock/ Commodity Brokers,0.23,0.18,0.18,0.19,0.17,0.17,-,-,-,-,-
Equity,Bharti Hexacom,Telecom-Service,0.22,0.24,0.23,0.23,0.27,0.26,0.28,0.27,0.29,-,-
