Positions Over Time - Helios Mid Cap Fund - Direct (G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,Hitachi Energy,Capital Goods - Electrical Equipment,3.88,3.4,3.32,2.57,1.09,2.37,1.93,2.2,2.13,2.51,2.77
Equity,Multi Comm. Exc.,Financial Services,3.25,3.18,3.01,2.98,2.82,2.43,2.66,2.45,1.99,2.48,2.48
Equity,One 97,E-Commerce/App based Aggregator,2.89,2.59,2.65,2.63,2.55,2.49,2.35,2.62,2.39,2.5,2.44
Equity,Nippon Life Ind.,Finance,2.75,2.65,2.76,2.73,1.16,2.17,2.44,2.22,2.02,2.46,2.4
Equity,Phoenix Mills,Realty,2.7,2.8,2.62,2.77,2.65,2.42,2.56,2.59,2.36,1.74,1.29
Equity,Fortis Health.,Healthcare,2.68,2.8,3.08,2.92,2.57,2.4,2.39,2.68,2.39,2.53,2.45
Equity,GMR Airports,Miscellaneous,2.56,2.73,3.01,2.72,2.69,2.52,2.38,2.4,2.39,2.47,2.19
Equity,Marico,FMCG,2.52,2.91,2.89,2.81,2.67,2.37,2.67,2.62,2.43,2.49,2.43
Equity,GE Vernova T&D,Capital Goods - Electrical Equipment,2.52,2.49,2.35,-,-,-,-,-,-,-,-
Equity,Aditya Birla Cap,Finance,2.28,2.34,2.3,2.39,2.54,1.63,1.99,1.89,2.08,2.19,2.41
Equity,BSE,Financial Services,2.28,1.1,-,-,-,-,-,-,-,-,-
Equity,Uno Minda,Auto Ancillaries,2.27,2.56,2.63,2.75,2.65,2.42,2.68,2.45,2.38,2.45,1.84
Equity,Escorts Kubota,Automobile,2.25,2.31,2.75,2.77,2.47,-,-,-,-,-,-
Equity,Motil.Oswal.Fin.,Stock/ Commodity Brokers,2.14,2.05,2.08,2.27,2.6,2.48,2.41,2.53,2.33,2.47,2.44
