Positions Over Time - Motilal Oswal Midcap Fund-Dir (G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,One 97,E-Commerce/App based Aggregator,7.287716,7.34104,7.64332,7.6971,7.92478,7.81183,8.6878,8.08515,8.67603,4.49567,2.82235
Equity,Kalyan Jewellers,"Diamond, Gems and Jewellery",7.093437,7.43568,7.47588,6.44753,7.9018,7.9844,8.15501,7.84428,8.69731,8.86095,7.56759
Equity,Eternal,E-Commerce/App based Aggregator,5.833525,6.22383,6.39517,6.85155,5.76762,-,-,-,-,-,-
Equity,Coforge,IT - Software,5.583073,6.13345,6.08648,9.60613,8.90566,9.91952,9.31736,9.04266,9.7916,9.363,10.4804
Equity,KEI Industries,Cables,5.479163,5.2426,6.27797,4.77007,4.8375,4.36348,4.3007,4.67618,4.10864,4.00336,4.01599
Equity,Persistent Systems,IT - Software,5.408473,-,-,-,-,-,-,-,-,-,-
Equity,Aditya Birla Cap,Finance,5.168666,5.03227,5.67036,5.07487,4.60701,4.47531,3.45956,3.15496,3.19554,2.59417,2.50806
Equity,Billionbrains,Stock/ Commodity Brokers,5.090737,4.19552,3.07296,0.9561,-,-,-,-,-,-,-
Equity,Bharti Airtel,Telecom-Service,5.007435,5.44469,5.2904,5.44183,5.43392,5.25363,-,-,-,-,-
Equity,Multi Comm. Exc.,Financial Services,4.331864,4.08624,3.85067,1.76207,-,-,-,-,-,-,-
Equity,BSE,Financial Services,3.827506,3.2474,2.8323,2.86321,2.22994,3.82972,-,-,-,-,-
Equity,Dixon Technolog.,Consumer Durables,3.535691,3.52531,4.28585,4.54403,6.89102,8.0684,8.67644,9.5705,10.07742,10.52295,9.06601
Equity,Tube Investments,Capital Goods-Non Electrical Equipment,3.506297,3.34933,3.18138,2.63984,2.47856,2.5644,2.8214,3.11908,2.98036,1.77506,1.97527
Equity,Bharti Hexacom,Telecom-Service,3.184695,3.6446,3.57733,3.36488,3.70463,3.48982,3.47341,3.22417,3.34115,-,-
Equity,Shriram Finance,Finance,3.025563,3.24003,3.04277,1.19739,-,-,-,-,-,-,-
Equity,Prestige Estates,Realty,2.907924,3.05108,3.27826,2.55539,2.37835,2.4275,2.55883,2.39016,2.57549,2.02588,2.00574
Equity,Bharat Electron,Aerospace & Defence,2.627533,2.80939,2.59504,1.60585,-,-,-,-,-,-,-
Equity,L&T Finance Ltd,Finance,2.614344,2.59504,3.37124,3.32637,3.25049,2.8767,-,-,-,-,-
Equity,Max Healthcare,Healthcare,2.234762,2.05526,1.69573,0.83363,0.85013,1.61251,1.613,1.69055,3.20693,3.69603,3.84862
Equity,PB Fintech.,IT - Software,2.20112,1.91636,1.83259,1.59066,0.56277,0.52648,-,-,0.00632,0.001241,0.00127
Equity,TVS Motor Co.,Automobile,2.080993,2.34162,-,-,-,-,-,-,-,-,-
Equity,ICICI AMC,Finance,1.95756,1.40927,0.64323,0.04518,-,-,-,-,-,-,-
Equity,IDFC First Bank,Banks,1.465281,1.33051,1.53097,1.48429,-,-,-,-,-,-,-
Equity,Premier Energies,Trading,1.254636,1.06869,-,-,-,-,-,-,-,-,-
Equity,Axis Bank,Banks,1.236027,1.30265,2.0035,1.23652,-,-,-,-,-,-,-
Equity,Waaree Energies,Capital Goods - Electrical Equipment,1.038115,1.08588,-,-,-,-,-,-,-,-,-
Equity,AU Small Finance,Banks,1.014704,0.56796,0.54642,-,-,-,-,-,-,-,-
Equity,Trent,Retail,-,-,-,0.21593,1.4503,1.78496,6.25854,6.73002,9.13981,7.83863,9.39053
Equity,Polycab India,Cables,-,-,-,-,3.52653,4.96968,5.49266,6.60479,6.21843,5.58125,5.054
Equity,Phoenix Mills,Realty,-,-,-,-,-,-,-,-,-,-,0.82684
Equity,Persistent Syste,IT - Software,-,6.32532,6.19523,9.84721,10.15256,10.03034,9.46634,8.32688,-,-,-
Equity,Jio Financial,Finance,-,-,-,-,-,-,-,-,-,-,0.09885
Equity,Persistent Sys,IT - Software,-,-,-,-,-,-,-,-,8.39002,8.29156,9.59603
