Positions Over Time - Nippon India Growth Mid Cap Fund - Direct (G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,BSE,Financial Services,4.21,3.58,3.26,3.42,3.19,3.52,3.06,2.65,2.79,3.21,3.62
Equity,Fortis Health.,Healthcare,2.76,2.71,2.9,2.76,2.84,2.96,3.36,3.34,3.22,3.01,2.75
Equity,Federal Bank,Banks,2.57,2.68,2.8,2.83,2.6,2.52,2.35,2.01,2.0,2.1,2.18
Equity,AU Small Finance,Banks,2.44,2.34,2.4,2.59,2.6,2.5,2.45,2.14,2.16,2.22,2.41
Equity,Bharat Forge,"Castings, Forgings & Fastners",2.24,2.3,2.37,1.88,1.9,1.86,1.75,1.68,1.57,1.65,1.82
Equity,Power Fin.Corpn.,Finance,2.17,2.12,2.09,1.92,1.74,1.66,1.88,2.0,1.9,2.04,2.1
Equity,Voltas,Consumer Durables,2.16,2.22,2.45,2.2,2.23,2.26,2.32,2.21,2.22,2.13,1.98
Equity,ICICI Bank,Banks,1.93,2.13,0.97,0.88,-,-,-,-,-,-,-
Equity,GE Vernova T&D,Capital Goods - Electrical Equipment,1.88,1.77,1.68,1.49,1.43,1.31,1.41,1.44,1.38,1.35,1.15
Equity,NTPC Green Ene.,Power Generation & Distribution,1.85,1.8,1.5,1.51,1.54,1.35,1.18,0.99,1.08,1.08,1.02
Equity,Chola Financial,Finance,1.83,1.85,1.98,2.12,2.3,2.34,2.47,2.56,2.4,2.61,2.96
Equity,Varun Beverages,FMCG,1.78,1.53,1.54,1.66,1.6,1.58,1.55,1.46,1.52,1.62,1.4
Equity,Persistent Syste,IT - Software,1.72,2.02,1.77,2.38,2.45,2.48,2.36,2.02,-,-,-
Equity,Max Financial,Miscellaneous,1.7,1.84,2.1,1.97,2.02,2.06,1.91,2.04,2.13,1.98,-
Equity,Eternal,E-Commerce/App based Aggregator,1.67,1.1,1.06,1.25,1.25,-,-,-,-,-,-
Equity,B H E L,Capital Goods - Electrical Equipment,1.62,1.3,1.26,1.16,1.24,1.26,1.17,1.1,0.99,1.12,1.22
Equity,Indus Towers,Telecom Equipment & Infra Services,1.61,1.9,1.86,1.92,1.79,1.72,1.59,1.57,1.59,-,-
Equity,Multi Comm. Exc.,Financial Services,1.56,0.48,-,-,-,-,-,-,-,-,-
Equity,Ashok Leyland,Automobile,1.56,1.71,2.11,2.12,2.21,1.95,1.78,1.88,1.71,1.63,1.66
Equity,Cummins India,Capital Goods-Non Electrical Equipment,1.49,1.47,1.45,1.28,1.37,1.39,1.37,1.3,1.3,1.2,1.13
Equity,Indian Bank,Banks,1.49,1.71,1.8,1.75,1.59,1.66,1.69,1.55,1.38,1.26,0.91
Equity,Tube Investments,Capital Goods-Non Electrical Equipment,1.49,1.59,1.57,1.4,1.42,1.52,1.61,1.73,1.55,1.47,1.19
Equity,Samvardh. Mothe.,Auto Ancillaries,1.38,1.38,1.58,1.41,1.48,1.41,1.1,1.09,0.98,1.02,1.07
Equity,Alkem Lab,Pharmaceuticals,1.37,1.55,1.49,1.58,1.52,1.57,1.55,1.6,1.61,1.52,1.47
Equity,Max Healthcare,Healthcare,1.37,1.53,1.56,1.44,1.56,1.74,1.75,1.79,1.89,2.03,2.06
Equity,Torrent Power,Power Generation & Distribution,1.33,1.15,1.25,1.17,1.09,1.1,1.12,1.09,1.12,1.19,1.32
Equity,One 97,E-Commerce/App based Aggregator,1.32,1.33,1.37,1.5,1.7,1.73,1.74,1.57,1.73,1.55,1.3
Equity,Lupin,Pharmaceuticals,1.28,1.49,1.34,1.32,1.28,1.26,1.21,1.24,1.26,1.28,1.27
Equity,Info Edg.(India),E-Commerce/App based Aggregator,1.27,1.15,1.08,1.31,1.39,1.33,1.12,1.12,1.19,1.21,1.28
Equity,NTPC,Power Generation & Distribution,1.22,1.31,1.22,1.19,1.1,1.09,1.14,1.21,1.19,1.21,1.2
Equity,APL Apollo Tubes,Capital Goods-Non Electrical Equipment,1.21,1.42,1.47,1.47,1.36,1.23,1.3,1.29,1.25,1.25,1.34
Equity,Prestige Estates,Realty,1.15,1.06,1.18,1.31,1.41,1.49,1.58,1.43,1.52,1.57,1.58
Equity,Mankind Pharma,Pharmaceuticals,1.13,0.75,0.76,0.75,0.67,0.68,-,-,-,-,-
Equity,NLC India,Power Generation & Distribution,1.11,1.09,0.95,1.0,0.96,0.93,1.02,1.17,0.93999,1.01,0.95
Equity,Dixon Technolog.,Consumer Durables,1.1,1.1,1.08,1.13,1.29,1.56,1.69,1.87,1.96,1.96,1.73
Equity,ZF Commercial,Auto Ancillaries,1.09,1.18,1.17,1.22,1.14,1.01,0.67,0.73,0.81,0.76,0.76
Equity,Gland Pharma,Pharmaceuticals,1.07,1.2,1.16,1.24,1.14,1.17,1.31,1.42,1.37,1.5,1.31
Equity,Ipca Labs.,Pharmaceuticals,1.04,1.25,1.08,1.09,1.04,1.07,0.95,1.06,1.12,1.18,1.1
Equity,Angel One,Stock/ Commodity Brokers,1.04,0.89,0.73,0.84,0.77,0.89,0.84,0.75,0.8,0.93,1.04
Equity,ICICI Lombard,Insurance,1.04,1.16,1.17,1.17,1.21,1.22,1.26,1.25,1.25,1.3,1.36
Equity,HDB FINANC SER,Finance,1.01,0.99,1.13,1.2,1.28,1.29,1.21,1.16,1.2,0.84,0.1
Equity,FSN E-Commerce,E-Commerce/App based Aggregator,0.97,1.0,1.01,0.96,1.06,1.07,1.01,0.99,1.01,0.91,0.9
Equity,Supreme Inds.,Plastic products,0.97,1.15,1.1,1.03,0.97,0.99,1.13,1.31,1.42,1.36,1.37
Equity,Sundaram Finance,Finance,0.96,1.07,1.22,1.23,1.02,0.83,0.77,0.78,0.81,0.84,0.92
Equity,Bharat Electron,Aerospace & Defence,0.93999,1.01,1.01,1.08,0.95,0.98,1.03,1.03,0.96,0.99,1.08
Equity,Vishal Mega Mart,Retail,0.93,0.93,0.93,1.05,1.13,1.13,1.22,1.32,1.36,1.26,1.2
Equity,CG Power & Ind,Capital Goods - Electrical Equipment,0.91,0.84,0.84,0.71,0.78,0.82,0.91,0.96,0.92,0.87,0.89
Equity,Trent,Retail,0.9,0.66,0.71,0.73,0.71,0.71,0.8,0.83,0.97,0.91,1.11
Equity,HDFC AMC,Finance,0.86,0.81,0.89,0.88,0.92,0.92,0.95,1.02,1.03,1.06,0.97
Equity,H P C L,Refineries,0.86,0.97,0.86,0.88,1.02,0.93,0.99,0.97,0.84,0.93,0.74
Equity,Indian Hotels Co,Hotels & Restaurants,0.83,0.86,0.91,0.97,1.05,1.06,1.08,1.1,1.19,1.15,1.17
Equity,Schaeffler India,Bearings,0.81,0.87,0.89,0.78,0.83,0.84,0.88,0.89,0.84,0.89,0.86
Equity,Radico Khaitan,Alcoholic Beverages,0.81,0.72,0.66,0.42,0.48,0.47,0.47,0.45,0.46,0.44,0.41
Equity,MTAR Technologie,Aerospace & Defence,0.8,0.5,0.49,0.4,0.33,0.34,0.35,0.27,0.21,0.22,0.23
Equity,Union Bank (I),Banks,0.8,0.91,1.01,0.95,0.8,0.8,0.79,0.77,0.72,0.75,0.87
Equity,Page Industries,Readymade Garments/ Apparells,0.77,0.77,0.7,0.76,0.82,0.88,0.96,0.99,1.11,1.21,1.21
Equity,REC Ltd,Finance,0.77,0.77,0.8,0.87,0.85,0.86,0.91,0.95,0.91,1.02,1.03
Equity,Dalmia BharatLtd,Cement,0.75,0.81,0.82,0.89,0.91,0.86,0.91,1.02,1.13,1.04,1.02
Equity,M & M Fin. Serv.,Finance,0.71,0.76,0.89,0.93999,1.0,0.93,0.8,0.73,0.68999,0.7,0.73
Equity,Blue Star,Consumer Durables,0.7,0.73,0.8,0.73,0.68999,0.71,0.79,0.81,0.83,0.72,-
Equity,Endurance Tech.,Auto Ancillaries,0.66,0.73,0.79,0.76,0.8,0.82,0.89,0.91,0.97,0.86,0.92
Equity,United Breweries,Alcoholic Beverages,0.65,0.8,0.75,0.72,0.79,0.82,0.89,0.93999,0.99,1.03,1.02
Equity,ITC Hotels,Hotels & Restaurants,0.64,0.54,0.56,0.61,0.66,-,-,-,-,-,-
Equity,Gujarat Gas,Gas Distribution,0.64,0.6,0.71,0.79,0.74,0.71,0.75,0.83,0.83,0.86,0.92
Equity,Carborundum Uni.,Capital Goods-Non Electrical Equipment,0.64,0.61,0.58,0.57,0.44,0.44,0.37,0.39,0.4,0.4,0.41
Equity,LG Electronics,Consumer Durables,0.6,0.47,0.47,0.46,0.47,0.52,0.53,-,-,-,-
Equity,Colgate-Palmoliv,FMCG,0.59,0.59,0.67,0.66,0.64,0.57,0.49,-,-,-,-
Equity,Container Corpn.,Logistics,0.58,0.56,0.59,0.63,0.65,0.64,0.68999,0.7,0.72,0.78,0.81
Equity,Interglobe Aviat,Air Transport Service,0.56,0.6,0.66,0.66,0.72,0.84,0.82,0.85,0.88,0.92,0.92
Equity,Mphasis,IT - Software,0.55,0.57,0.57,0.73,0.73,0.74,0.74,0.74,0.8,0.8,0.8
Equity,Hind.Aeronautics,Aerospace & Defence,0.52,0.48,0.49,0.61,0.57,0.59,0.62,0.66,0.62,0.65,0.68999
Equity,Coromandel Inter,Fertilizers,0.52,0.58,0.61,0.66,0.65,0.68999,0.62,0.68999,0.73,0.84,0.78
Equity,Prudent Corp.,Stock/ Commodity Brokers,0.52,0.44,0.4,0.43,0.45,0.44,0.46,0.49,0.54,0.56,0.52
Equity,Balkrishna Inds,Tyres,0.52,0.58,0.6,0.61,0.61,0.6,0.61,0.64,0.66,0.76,0.68999
Equity,Swiggy,E-Commerce/App based Aggregator,0.5,0.46,0.48,0.52,-,0.32,0.36,0.39,0.38,0.38,0.37
Equity,Astral,Plastic products,0.5,0.81,0.76,0.71,0.66,0.68999,0.7,0.68999,0.71,0.73,0.77
Equity,Gujarat Fluoroch,Chemicals,0.48,0.46,0.48,0.44,0.53,0.49,0.55,0.57,0.54,0.56,0.56
Equity,Devyani Intl.,Quick Service Restaurant,0.48,0.42,0.51,0.49,0.58,0.54,0.65,0.71,0.75,0.7,0.71
Equity,Timken India,Bearings,0.48,0.53,0.51,0.46,0.46,0.48,0.49,0.49,0.49,0.56,0.58
Equity,3M India,Diversified,0.44,0.46,0.51,0.49,0.5,0.5,0.43,0.45,0.48,0.48,0.44
Equity,Bank of India,Banks,0.44,0.5,0.58,0.57,0.5,0.51,0.49,0.45,0.42,0.42,0.44
Equity,NMDC,Mining & Mineral products,0.44,0.43,0.42,0.44,0.44,0.4,0.41,0.44,0.4,0.41,0.4
Equity,Jubilant Food.,Quick Service Restaurant,0.42,0.73,0.79,0.8,0.89,0.96,0.97,1.05,1.1,1.14,1.2
Equity,Sanofi Consumer,Pharmaceuticals,0.41,0.38,0.36,0.34,0.35,0.37,0.39,0.4,0.45,0.42,0.48
Equity,Sundram Fasten.,Auto Ancillaries,0.39,0.4,0.32,0.37,0.35,0.36,0.37,0.41,0.42,0.41,0.42
