Positions Over Time - Tata Mid Cap Fund - Direct (G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,Mankind Pharma,Pharmaceuticals,3.21,3.21,2.97,2.09,2.0,-,-,-,-,-,-
Equity,Federal Bank,Banks,3.07,3.12,3.27,3.22,2.92,2.86,2.37,1.72,1.74,1.83,1.92
Equity,B H E L,Capital Goods - Electrical Equipment,2.9,1.29,1.02,1.04,1.11,1.14,1.06,1.0,0.63,0.72,0.8
Equity,Indian Bank,Banks,2.79,3.11,3.3,3.12,2.8,2.97,3.01,2.75,2.44,2.31,1.81
Equity,IndusInd Bank,Banks,2.78,2.56,2.61,1.0,-,-,-,-,-,-,-
Equity,AU Small Finance,Banks,2.72,2.53,2.61,2.75,2.71,3.0,2.82,2.47,2.47,2.53,2.79
Equity,Max Financial,Miscellaneous,2.69,2.84,2.47,2.26,2.28,2.36,2.2,2.34,3.56,3.31,-
Equity,UPL,Agro Chemicals,2.63,2.62,2.66,3.02,3.33,2.94,2.32,2.21,2.46,2.4,1.99
Equity,Glenmark Pharma.,Pharmaceuticals,2.58,2.56,2.33,2.26,2.22,2.15,2.15,2.32,1.56,1.71,1.41
Equity,Marico,FMCG,2.42,2.58,2.15,2.04,2.05,1.99,0.98,1.0,-,-,-
Equity,Indus Towers,Telecom Equipment & Infra Services,2.27,2.6,2.07,1.66,1.52,0.84,1.06,1.05,1.05,-,-
Equity,One 97,E-Commerce/App based Aggregator,2.15,2.11,2.19,1.81,2.01,-,-,-,-,-,-
Equity,Mphasis,IT - Software,2.04,1.61,1.63,2.01,1.99,2.03,1.85,1.86,1.99,1.98,2.02
Equity,L&T Finance Ltd,Finance,2.0,1.92,2.06,2.14,2.3,2.31,2.3,2.22,1.76,1.63,1.65
Equity,Uno Minda,Auto Ancillaries,1.99,2.07,2.16,2.21,2.34,2.41,2.34,2.58,2.59,2.09,2.22
Equity,BSE,Financial Services,1.95,1.61,0.98,-,-,-,-,-,-,-,-
Equity,Bharti Hexacom,Telecom-Service,1.9,2.12,1.83,1.81,2.08,2.05,2.21,2.06,2.25,-,-
Equity,ICICI Lombard,Insurance,1.89,2.06,2.07,2.03,2.14,2.18,2.26,2.25,2.23,2.32,2.46
Equity,Bharat Forge,"Castings, Forgings & Fastners",1.85,1.84,1.91,1.48,1.47,1.45,1.38,1.32,1.23,1.29,1.44
Equity,Aurobindo Pharma,Pharmaceuticals,1.74,1.83,1.55,1.58,2.15,2.26,2.16,2.15,2.08,2.29,2.28
Equity,Cummins India,Capital Goods-Non Electrical Equipment,1.69,1.62,1.6,1.38,1.45,2.73,3.04,2.88,2.86,2.64,2.52
Equity,J K Cements,Cement,1.63,1.76,1.64,1.65,1.61,1.7,1.88,2.0,2.25,2.14,2.16
Equity,Patanjali Foods,FMCG,1.56,1.75,1.76,1.78,1.89,2.0,2.17,2.18,2.28,2.39,1.32
Equity,Jubilant Food.,Quick Service Restaurant,1.54,1.57,1.7,1.67,1.83,2.0,2.04,2.2,2.28,2.37,2.53
Equity,Voltas,Consumer Durables,1.53,1.53,1.7,1.49,1.49,1.52,1.05,1.07,1.11,1.07,0.92
Equity,Oberoi Realty,Realty,1.49,1.42,1.38,1.39,1.52,1.52,1.68,1.57,1.63,1.64,1.91
Equity,Lupin,Pharmaceuticals,1.48,1.67,1.67,1.61,1.53,1.54,2.23,2.27,2.3,2.32,2.33
Equity,ZF Commercial,Auto Ancillaries,1.48,1.56,1.56,1.58,1.53,1.38,1.33,1.45,1.61,1.5,1.52
Equity,Adani Ports,Marine Port & Services,1.48,1.31,1.38,1.33,1.34,1.4,1.37,1.39,1.33,1.38,1.45
Equity,Thermax,Capital Goods - Electrical Equipment,1.4,1.25,1.09,1.03,1.05,1.03,1.17,1.21,1.24,1.52,1.32
Equity,P I Industries,Agro Chemicals,1.36,1.36,1.42,1.49,1.47,1.57,1.69,1.74,1.87,2.13,2.06
Equity,JSW Infrast,Marine Port & Services,1.36,1.35,1.3,1.35,1.45,1.4,1.54,1.75,1.68,1.71,1.76
Equity,Max Healthcare,Healthcare,1.33,1.45,1.49,1.34,1.43,1.61,1.63,1.66,1.75,1.87,2.09
Equity,Phoenix Mills,Realty,1.26,1.21,0.9,0.93999,1.01,0.96,0.96,0.93,0.91,0.89,0.93999
Equity,Bharat Electron,Aerospace & Defence,1.23,1.28,1.29,1.34,1.16,1.22,1.29,1.28,1.2,1.23,1.35
Equity,Muthoot Finance,Finance,1.22,1.27,1.04,1.22,1.18,1.17,1.5,1.53,1.33,1.31,1.32
Equity,H P C L,Refineries,1.2,1.21,1.43,1.43,1.63,1.52,1.62,1.58,1.37,1.51,1.58
Equity,HDB FINANC SER,Finance,1.2,1.15,1.32,1.36,1.43,0.99,0.97,0.3,-,-,-
Equity,The Ramco Cement,Cement,1.17,1.29,1.44,1.47,1.35,1.34,1.38,1.37,1.48,1.65,1.51
Equity,Ashok Leyland,Automobile,1.16,1.23,1.53,1.47,1.3,1.17,1.07,1.13,1.03,0.97,1.01
Equity,Navin Fluo.Intl.,Chemicals,1.1,1.11,1.14,1.14,1.08,1.06,1.4,1.19,1.23,1.32,1.26
Equity,Jindal Steel,Steel,1.09,1.11,1.13,1.06,0.96,0.96,1.01,1.05,0.96,0.97,0.93999
Equity,Indraprastha Gas,Gas Distribution,1.06,1.05,1.11,1.19,1.27,1.32,1.44,1.48,1.5,1.48,1.57
Equity,G R Infraproject,Infrastructure Developers & Operators,1.05,0.61,0.66,0.68,0.68999,0.75,0.84,0.92,0.96,0.93,1.01
Equity,Persistent Syste,IT - Software,1.03,1.17,1.03,1.35,1.37,1.41,1.34,1.15,-,-,-
Equity,Apollo Hospitals,Healthcare,1.0,1.1,1.41,1.29,1.28,1.35,1.45,1.46,1.53,1.5,1.45
Equity,Balkrishna Inds,Tyres,0.97,1.05,1.09,1.08,1.06,1.07,1.09,1.15,1.17,1.35,1.24
Equity,Bosch,Auto Ancillaries,0.95,0.85,0.98,1.01,0.97,0.99,1.04,1.12,1.19,1.2,0.97
Equity,Hexaware Tech.,IT - Software,0.9,0.96,0.97,1.47,1.57,1.01,0.91,0.93,1.07,-,-
Equity,Tata Chemicals,Chemicals,0.89,0.72,0.8,0.86,0.86,0.91,1.04,1.12,1.15,1.21,1.16
Equity,IDFC First Bank,Banks,0.87,0.83,0.93,1.09,1.09,-,-,-,-,-,-
Equity,Billionbrains,Stock/ Commodity Brokers,0.85,0.66,0.33,0.37,0.31,0.29,-,-,-,-,-
Equity,K P R Mill Ltd,Readymade Garments/ Apparells,0.8,0.8,0.78,0.78,0.82,0.95,0.97,1.01,0.96,1.1,1.1
Equity,Linde India,Chemicals,0.78,0.82,0.73,0.67,0.65,0.66,0.46,0.51,0.53,0.54,0.53
Equity,Metro Brands,Leather,0.74,0.73,0.78,0.8,0.89,0.88,0.87,1.04,0.93999,0.43,-
Equity,Mahindra Logis.,Logistics,0.74,0.68999,0.78,0.68999,0.59,0.62,0.68999,0.7,0.66,0.51,0.51
Equity,Carborundum Uni.,Capital Goods-Non Electrical Equipment,0.68,0.62,0.6,0.59,0.62,0.63,0.68,0.73,0.74,0.75,0.77
Equity,Page Industries,Readymade Garments/ Apparells,0.66,0.64,0.58,0.62,0.66,0.71,0.78,0.81,0.9,0.98,0.99
Equity,Torrent Power,Power Generation & Distribution,0.62,0.52,0.57,0.52,0.48,0.49,0.5,0.48,0.5,0.53,0.59
Equity,3M India,Diversified,0.62,0.63,0.72,0.68,0.67,0.68,0.59,0.61,0.65,0.65,0.57
Equity,Swiggy,E-Commerce/App based Aggregator,0.48,0.52,0.55,0.58,0.7,-,-,-,-,-,-
Equity,SKF India Indus.,Bearings,0.41,0.44,0.49,0.53,0.5,0.53,0.55,-,-,-,-
Equity,Shriram Finance,Finance,-,-,-,-,-,2.58,-,-,-,-,-
Equity,Sobha,Realty,-,-,-,-,-,-,-,0.72,0.71,0.79,0.72
Equity,Sonata Software,IT - Software,-,-,-,-,0.72,0.73,0.77,0.75,0.78,0.87,0.9
Equity,ACC,Cement,-,-,-,-,-,0.71,0.74,0.75,0.76,0.75,0.8
Equity,SKF India,Bearings,-,-,-,-,-,0.22,0.4,0.98,0.93999,1.03,1.01
Equity,Power Fin.Corpn.,Finance,-,-,-,-,-,0.84,0.95,1.02,0.96,1.03,1.07
Equity,Team Lease Serv.,Miscellaneous,-,-,0.58,0.68,0.74,0.8,0.83,0.93,0.95,0.97,1.07
Equity,Astral,Plastic products,-,-,-,-,-,-,0.96,0.95,0.96,0.98,1.06
Equity,AIA Engineering,"Castings, Forgings & Fastners",-,-,-,-,-,-,1.17,1.15,1.17,1.19,1.26
Equity,Alkem Lab,Pharmaceuticals,-,-,-,1.9,2.79,2.93,2.91,3.0,2.99,2.82,2.67
Equity,Meesho,E-Commerce/App based Aggregator,-,-,0.13,0.15,0.37,-,-,-,-,-,-
Equity,Max Financial,Finance,-,-,-,-,-,-,-,-,-,-,4.13
Equity,Bharti Hexacom,Telecomm-Service,-,-,-,-,-,-,-,-,-,2.14,2.26
Equity,Biocon,Pharmaceuticals,-,-,-,-,-,-,1.1,1.06,1.1,1.23,1.12
Equity,Kajaria Ceramics,Ceramic Products,-,1.11,1.04,1.01,1.06,1.18,1.37,1.39,1.47,1.77,1.63
Equity,Brigade Enterpr.,Realty,-,-,-,-,-,-,0.64,0.58,0.61,0.66,0.73
Equity,Indus Towers,Telecomm Equipment & Infra Services,-,-,-,-,-,-,-,-,-,1.12,1.3
Equity,Granules India,Pharmaceuticals,-,-,1.06,1.07,1.09,1.03,1.07,1.03,1.0,0.95,0.99
Equity,I R C T C,Railways,-,-,-,-,-,0.7,0.75,0.76,0.77,0.8,0.86
Equity,Persistent Sys,IT - Software,-,-,-,-,-,-,-,-,1.29,1.24,1.45
Reverse Repo,Reverse Repo,Debt Others,2.44,5.0,3.96,4.7,3.84,6.22,2.52,-,3.07,2.58,3.71
Reverse Repo,TREPS,Debt Others,2.01,-,-,0.54,-,-,-,-,-,-,-
Net CA & Others,Net CA & Others,Debt Others,1.92,1.29,2.59,-0.51,0.28,0.08,2.09,1.21,2.28,2.95,2.21
Reverse Repo,Repo in Corporate Debt Securities,Debt Others,-,-,-,-,-,-,-,3.47,-,-,-
Derivatives - Stock Future,ICICI Bank,Debt Others,-,-,-,3.56,-,-,-,-,-,-,-
Derivatives - Stock Future,Manappuram Fin.,Finance,-,0.54,-,-,-,-,-,-,-,-,-
Derivatives - Stock Future,Shriram Finance,Debt Others,-,-,-,-,1.95,-,-,-,-,-,-
Rights,Mahindra Logis.,Debt Others,-,-,-,-,-,-,-,-,-,0.03,-
