Positions Over Time - Aditya Birla SL Multi-Cap Fund - Dir (G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,Reliance Industr,Refineries,3.63696,3.83152,3.5726,3.62134,2.78789,1.35916,1.29514,1.23344,1.24503,1.25595,1.32959
Equity,SBI,Banks,3.38431,2.81784,3.10814,2.82097,2.5002,2.45923,2.36524,2.28558,1.60062,1.56464,-
Equity,ICICI Bank,Banks,2.76555,3.46991,3.56688,3.54905,3.41876,3.48905,3.39629,2.70256,2.84292,2.96724,2.84018
Equity,Larsen & Toubro,Infrastructure Developers & Operators,2.60874,2.55432,1.63431,1.52099,1.5352,1.50982,1.50278,0.99423,0.99262,0.98719,0.97705
Equity,Indus Towers,Telecom Equipment & Infra Services,2.55476,2.92278,2.58357,2.55476,1.49557,1.41349,1.28777,0.9967,0.99843,-,-
Equity,Eternal,E-Commerce/App based Aggregator,2.21262,2.30038,2.03742,2.29165,2.26364,-,-,-,-,-,-
Equity,RBL Bank,Banks,1.90597,1.8405,1.82588,1.63057,1.43935,1.4051,1.47502,1.30049,1.24221,1.25045,0.2621
Equity,Axis Bank,Banks,1.86216,1.91243,2.31144,2.31762,2.08663,2.07586,2.00956,2.57677,1.69918,1.71054,1.88299
Equity,HDFC Bank,Banks,1.85934,1.97697,2.15673,2.28589,3.08614,3.09589,3.77988,3.7786,3.83566,4.00571,3.89608
Equity,TD Power Systems,Capital Goods - Electrical Equipment,1.83423,1.51946,1.44931,1.18515,1.10858,1.2107,1.21341,1.05106,0.90565,0.90657,0.87064
Equity,One 97,E-Commerce/App based Aggregator,1.67109,1.64034,1.68882,1.59617,1.77156,1.77743,0.3288,0.07822,0.08522,-,-
Equity,Avenue Super.,Retail,1.62776,1.57527,1.37705,1.33704,1.33221,1.38916,1.45079,1.62234,1.74884,1.5455,1.553
Equity,SJS Enterprises,Auto Ancillaries,1.62171,1.88505,1.92277,1.84578,1.88601,1.85635,1.77673,1.83892,1.73584,1.62,1.66683
Equity,Persistent Syste,IT - Software,1.58199,1.80293,1.39321,1.23336,1.24586,1.24533,-,0.80045,-,-,-
Equity,Varun Beverages,FMCG,1.54716,0.97314,1.02812,1.0868,1.09803,1.06521,1.04397,1.02358,1.14007,1.20448,0.75845
Equity,Sansera Enginee.,Auto Ancillaries,1.48863,1.378,1.39865,1.04919,0.98557,1.01441,0.88217,0.82995,0.77943,0.80682,0.79932
Equity,M & M,Automobile,1.48201,1.58562,1.63901,1.95748,2.0564,2.05564,1.58967,1.62131,1.53557,1.51397,1.47559
Equity,Max Financial,Miscellaneous,1.45174,1.53075,1.674,1.50826,1.51885,1.52602,1.39329,1.17052,1.20726,1.11414,-
Equity,Sai Life,Pharmaceuticals,1.44656,1.47465,1.36148,1.11989,0.89103,0.85607,0.89313,0.86886,0.84456,-,-
Equity,Power Fin.Corpn.,Finance,1.43826,2.00628,1.96662,1.82552,1.66233,1.67413,1.8704,1.97483,1.8542,1.97154,2.01589
Equity,Shriram Finance,Finance,1.41225,-,-,-,-,-,-,-,-,-,-
Equity,Infosys,IT - Software,1.40986,1.67338,1.56388,1.99872,1.91238,1.98316,1.89347,1.91139,1.33443,1.34941,1.40482
Equity,Tata Steel,Steel,1.40045,1.42585,1.41856,-,-,-,-,-,-,-,-
Equity,Craftsman Auto,Auto Ancillaries,1.33371,1.35757,1.31645,1.29596,1.32376,1.19335,1.0881,1.14844,1.18545,1.14036,0.92269
Equity,Fortis Health.,Healthcare,1.32103,1.27628,1.36044,1.24432,1.1235,1.15272,1.51678,2.55511,2.87527,2.66373,2.42065
Equity,City Union Bank,Banks,1.3062,1.30103,1.38025,1.47251,1.21832,1.12075,0.95003,0.92154,0.42224,0.28988,0.27681
Equity,UltraTech Cem.,Cement,1.2552,1.30566,1.38481,1.40407,1.26688,1.23068,1.27369,2.76203,2.89779,2.76555,3.02888
