Positions Over Time - Canara Robeco Multi Cap Fund - Direct (G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,HDFC Bank,Banks,4.57,4.77,4.92,4.89,5.0,5.19,5.24,5.31,5.43,5.66,5.29
Equity,ICICI Bank,Banks,3.42,3.65,3.8,3.77,3.68,3.89,3.88,4.1,4.14,4.33,4.23
Equity,Bharti Airtel,Telecom-Service,2.52,2.32,1.97,1.95,2.06,2.1,2.11,1.77,1.72,-,-
Equity,SBI,Banks,2.39,1.64,1.95,2.04,1.93,1.97,1.94,1.81,1.57,1.56,-
Equity,Infosys,IT - Software,2.11,2.36,2.15,2.74,2.66,2.53,2.48,2.54,2.65,2.72,2.68
Equity,Larsen & Toubro,Infrastructure Developers & Operators,2.07,2.02,2.03,1.89,1.93,1.97,2.01,1.92,1.85,1.87,1.65
Equity,Reliance Industr,Refineries,2.01,2.11,1.99,2.23,3.08,3.14,3.06,2.96,3.01,3.09,2.92
Equity,Ajanta Pharma,Pharmaceuticals,1.76,1.96,1.9,1.85,1.82,1.72,1.68,1.65,1.63,1.72,1.61
Equity,Eternal,E-Commerce/App based Aggregator,1.74,1.8,1.67,1.42,1.2,-,-,-,-,-,-
Equity,TBO Tek,E-Commerce/App based Aggregator,1.57,1.41,1.45,1.53,1.8,1.83,1.55,1.68,1.6,1.62,1.5
Equity,J K Cements,Cement,1.48,1.5,1.4,1.38,1.07,1.14,1.19,1.19,1.27,1.36,1.54
Equity,J B Chemicals &,Pharmaceuticals,1.44,1.63,1.48,1.36,1.3,1.3,1.27,1.36,1.4,1.44,1.27
Equity,M & M,Automobile,1.42,1.51,1.52,1.55,1.65,1.56,1.44,1.49,1.53,1.5,1.49
Equity,Axis Bank,Banks,1.36,1.39,1.43,1.43,1.01,1.04,1.03,1.24,1.17,1.2,1.35
Equity,GE Vernova T&D,Capital Goods - Electrical Equipment,1.29,1.59,1.55,1.48,1.44,1.54,1.67,1.71,1.64,1.73,1.58
Equity,Radico Khaitan,Alcoholic Beverages,1.27,1.09,0.79,0.3,-,-,-,-,-,-,-
Equity,Bajaj Finance,Finance,1.26,1.21,1.22,1.06,1.01,1.09,1.13,1.14,0.93999,0.95,1.01
Equity,KEI Industries,Cables,1.23,1.16,1.41,1.13,1.23,1.17,1.17,1.24,1.19,1.2,1.19
Equity,Varun Beverages,FMCG,1.23,1.03,1.1,1.12,1.15,0.99,0.99,0.99,1.11,1.19,0.99
Equity,TVS Motor Co.,Automobile,1.21,1.31,1.32,1.26,1.26,1.22,1.25,1.29,1.32,1.13,1.18
Equity,Federal Bank,Banks,1.21,1.22,1.4,1.36,1.24,1.38,1.41,1.21,1.23,1.3,1.37
Equity,Multi Comm. Exc.,Financial Services,1.2,1.08,1.0,1.05,1.19,1.1,1.16,1.03,0.99,1.04,1.68
Equity,PB Fintech.,IT - Software,1.18,1.13,1.07,1.21,1.01,1.03,1.04,1.04,0.93,0.74,0.48
Equity,Sun Pharma.Inds.,Pharmaceuticals,1.16,1.26,1.13,1.05,1.2,1.31,1.24,1.23,1.26,1.29,0.85
Equity,Jubilant Food.,Quick Service Restaurant,1.15,1.17,1.27,1.23,0.93,0.63,-,-,-,-,-
Equity,Vishal Mega Mart,Retail,1.11,1.07,1.05,1.14,1.02,0.83,0.74,0.8,0.82,1.07,1.03
Equity,Tata Consumer,Plantation & Plantation Products,1.11,1.1,1.13,1.13,1.25,1.26,1.29,1.31,1.27,1.28,1.43
Equity,Uno Minda,Auto Ancillaries,1.1,1.14,1.2,1.21,1.29,1.34,1.31,1.59,1.6,1.3,1.38
Equity,Bharat Electron,Aerospace & Defence,1.09,1.26,1.32,1.34,1.26,1.32,1.41,1.41,1.31,1.2,1.41
Equity,Max Financial,Miscellaneous,1.09,1.07,1.3,1.17,1.2,1.25,1.13,1.21,1.26,1.18,-
Equity,Affle 3i,IT - Software,1.09,1.2,0.84,0.96,1.05,0.95,1.05,0.78,0.78,0.74,0.5
Equity,Shriram Finance,Finance,1.08,1.12,1.26,1.2,1.16,0.84,0.76,0.66,0.64,0.68999,0.93
Equity,Tech Mahindra,IT - Software,1.06,1.11,0.99,1.29,1.16,1.13,1.09,1.13,1.06,1.0,1.15
Equity,Karur Vysya Bank,Banks,1.06,1.16,1.1,1.03,0.89,0.85,0.86,0.78,0.81,0.78,-
Equity,Wework India,Co-Working,1.05,0.98,0.91,1.02,-,-,-,-,-,-,-
Equity,PNB Housing,Finance,1.03,0.79,0.78,0.79,0.9,0.88,0.93,0.91,0.81,1.06,1.19
Equity,Max Healthcare,Healthcare,1.03,1.12,1.15,1.02,1.1,1.16,1.18,1.2,1.27,1.38,1.41
Equity,Motherson Wiring,Auto Ancillaries,1.02,0.95,1.02,1.03,1.09,1.05,1.12,1.14,0.92,0.82,0.62
Equity,Crompton Gr. Con,Consumer Durables,1.0,0.92,0.96,0.83,0.93999,1.01,1.1,1.2,1.39,1.25,1.32
Equity,DOMS Industries,Printing & Stationery,1.0,1.12,1.04,1.07,1.16,1.14,-,-,-,-,-
Equity,Solar Industries,Aerospace & Defence,1.0,0.87,0.73,0.53,-,-,-,-,-,-,-
Equity,Cams Services,Financial Services,0.99,0.93999,0.92,0.96,1.01,0.92,0.78,0.66,0.67,0.67,0.78
Equity,EIH,Hotels & Restaurants,0.93999,0.9,0.93999,0.96,1.11,1.15,1.23,1.2,1.36,1.28,1.26
Equity,Tata Power Co.,Power Generation & Distribution,0.89,0.85,0.77,0.76,0.77,0.81,0.87,0.88,0.86,0.92,0.93999
Equity,P I Industries,Agro Chemicals,0.88,0.88,0.92,0.8,0.61,0.65,0.71,0.58,0.57,0.54,0.47
Equity,CG Power & Ind,Capital Goods - Electrical Equipment,0.88,0.87,0.87,0.71,0.65,0.68999,0.78,0.82,0.79,0.75,0.61
Equity,Kotak Mah. Bank,Banks,0.88,0.91,0.97,0.96,1.02,1.01,1.03,0.3,-,-,-
Equity,Sagility,IT - Software,0.86,0.92,0.6,0.62,0.53,0.45,0.16,-,-,-,-
Equity,HDFC AMC,Finance,0.86,0.78,0.87,0.82,0.86,0.88,0.91,0.98,0.99,1.03,1.21
Equity,Cholaman.Inv.&Fn,Finance,0.84,0.67,0.77,0.74,0.76,0.79,0.8,0.8,0.8,0.81,0.91
Equity,A B Real Estate,Realty,0.83,0.7,0.73,0.68,0.89,0.93,1.01,0.89,0.93999,1.01,1.21
Equity,FSN E-Commerce,E-Commerce/App based Aggregator,0.83,0.9,0.93,0.79,0.87,0.9,1.04,1.15,1.16,1.06,1.06
Equity,Britannia Inds.,FMCG,0.79,0.83,0.84,0.68,0.68999,0.68,-,-,-,-,-
Equity,Mphasis,IT - Software,0.77,0.78,0.79,0.96,0.96,0.99,1.0,1.01,1.09,1.09,1.11
Equity,Indian Hotels Co,Hotels & Restaurants,0.76,0.76,0.81,0.6,-,-,-,-,-,-,-
Equity,Dr Lal Pathlabs,Healthcare,0.76,0.81,0.79,0.8,0.83,0.87,0.92,0.74,0.43,0.26,-
Equity,Cera Sanitary.,Ceramic Products,0.75,0.73,0.71,0.74,0.76,0.82,0.95,0.99,1.03,0.93,0.47
Equity,V-Guard Industri,Capital Goods - Electrical Equipment,0.72,0.77,0.7,0.79,0.73,0.78,0.84,0.92,0.91,0.96,0.97
Equity,ITC,Tobacco Products,0.71,0.72,0.72,0.75,1.39,1.42,1.48,1.42,1.03,0.72,0.73
Equity,K P R Mill Ltd,Readymade Garments/ Apparells,0.71,0.7,0.68999,0.68,0.72,0.84,0.86,0.9,0.86,0.91,0.92
