Positions Over Time - Groww Multicap Fund - Direct (G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,TD Power Systems,Capital Goods - Electrical Equipment,4.54445,4.36663,4.64889,2.7961,2.54751,3.09268,3.75867,-,-,-,-
Equity,Larsen & Toubro,Infrastructure Developers & Operators,3.53221,4.01161,4.36407,4.61182,3.81144,4.16679,5.0292,4.92348,4.39451,3.06365,1.65025
Equity,Apar Inds.,Capital Goods - Electrical Equipment,2.97637,3.10287,3.52291,-,-,1.35869,1.56734,1.77335,1.69459,2.26621,2.1622
Equity,Navin Fluo.Intl.,Chemicals,2.94356,2.67686,2.72696,2.06829,2.08506,2.21596,2.67763,1.05613,1.28799,1.61006,1.79107
Equity,Multi Comm. Exc.,Financial Services,2.77846,2.90664,2.7483,3.26941,2.51744,2.00303,1.96491,1.69961,1.3153,1.09617,2.04811
Equity,BSE,Financial Services,2.6436,2.53518,2.33824,2.28917,1.40269,-,-,1.1895,0.37437,0.50325,0.66904
Equity,ICICI Bank,Banks,2.57678,2.13288,2.16013,2.44057,3.93867,4.46827,4.77267,3.15106,3.92868,4.83331,4.2794
Equity,HDFC Bank,Banks,2.4902,2.40828,2.7548,2.44404,4.55683,5.08141,6.06724,4.84369,4.31601,4.18965,4.50919
Equity,Schaeffler India,Bearings,2.36042,2.03898,2.3186,2.21607,1.99023,1.65744,1.82169,1.79216,1.56419,1.57837,1.80557
Equity,SBI,Banks,2.27255,1.53954,1.55962,2.11929,1.59255,1.74128,1.77789,1.98398,-,-,-
Equity,Ujjivan Small,Banks,2.09476,1.2448,0.997,1.29064,-,-,-,-,-,-,-
Equity,Bank of Maha,Banks,2.00511,2.04144,2.49696,2.50646,-,-,-,-,-,-,-
Equity,Bajaj Finance,Finance,1.99539,1.775,1.7124,1.83826,2.02614,2.3368,2.86208,2.71161,2.47344,2.62896,2.98786
Equity,Adani Ports,Marine Port & Services,1.99265,0.69697,-,-,-,-,-,-,-,-,-
Equity,Tube Investments,Capital Goods-Non Electrical Equipment,1.9473,1.70529,1.87159,1.82496,1.04097,1.21631,1.51722,1.08846,0.88701,0.66928,0.85334
Equity,Yatharth Hospit.,Healthcare,1.85942,1.82066,1.65024,1.5702,1.2794,1.45624,-,0.55529,1.55288,1.6701,1.6172
Equity,Cummins India,Capital Goods-Non Electrical Equipment,1.79055,1.99053,2.17405,2.09863,2.35022,2.60422,2.04132,1.74912,1.92513,2.07665,2.31302
Equity,Coforge,IT - Software,1.70117,1.5763,0.60508,0.97027,-,3.12063,3.54247,2.94522,1.79377,2.11113,2.70743
Equity,Prudent Corp.,Stock/ Commodity Brokers,1.66195,1.66404,1.33008,1.55986,1.16543,1.24072,1.29423,1.344,1.42115,1.46833,1.58616
Equity,Max Financial,Miscellaneous,1.63068,1.99439,1.28127,1.31083,1.41052,1.57534,1.50427,1.48623,1.81681,1.55252,-
Equity,Star Health Insu,Insurance,1.62089,1.83537,1.80118,2.0876,1.47224,1.73195,0.70593,-,-,-,-
Equity,T N Merc. Bank,Banks,1.52469,0.91382,-,-,-,-,-,-,-,-,-
