Positions Over Time - Invesco India Multicap Fund - Direct (G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,Eternal,E-Commerce/App based Aggregator,3.6,3.76,3.58,3.78,3.66,-,-,-,-,-,-
Equity,ICICI Bank,Banks,3.38,3.45,3.51,3.68,3.47,3.8,3.7,4.11,4.3,5.02,5.22
Equity,Interglobe Aviat,Air Transport Service,2.89,2.13,2.31,2.24,2.16,2.07,1.99,1.93,1.96,2.04,1.61
Equity,Axis Bank,Banks,2.89,2.98,2.34,1.28,-,-,-,-,-,-,-
Equity,BSE,Financial Services,2.8,2.79,2.7,2.84,2.54,2.72,2.34,1.99,2.07,1.49,-
Equity,Krishna Institu.,Healthcare,2.69,2.82,3.0,2.65,2.55,2.78,2.95,2.45,2.27,1.47,-
Equity,HDFC Bank,Banks,2.6,2.93,3.16,3.36,3.42,2.65,2.61,2.61,2.63,3.75,4.3
Equity,Sai Life,Pharmaceuticals,2.53,2.59,2.8,2.39,2.47,2.33,2.44,2.07,1.83,1.44,-
Equity,AU Small Finance,Banks,2.46,2.29,2.31,2.41,2.33,2.17,1.94,-,-,-,-
Equity,Nippon Life Ind.,Finance,2.31,2.06,2.13,2.46,2.35,2.27,1.86,1.91,1.74,1.79,-
Equity,TVS Motor Co.,Automobile,2.28,2.47,2.52,2.43,2.35,2.16,1.8,1.82,1.76,1.49,-
Equity,Dr Agarwal's Hea,Healthcare,2.27,2.33,2.3,2.24,2.5,2.63,2.52,2.61,1.96,0.73,-
Equity,Delhivery,Logistics,2.23,2.24,2.07,2.05,1.87,1.91,2.11,1.91,1.95,1.26,-
Equity,Multi Comm. Exc.,Financial Services,2.23,2.19,2.13,2.57,2.58,2.27,2.09,1.83,2.23,2.31,2.61
Equity,Cholaman.Inv.&Fn,Finance,2.22,2.46,3.34,3.87,3.85,3.8,3.75,3.68,3.28,3.31,2.68
Equity,Max Healthcare,Healthcare,2.22,2.42,2.44,2.17,2.26,2.44,2.16,2.01,1.94,2.08,2.07
